length,condition,representation,representation_label,n_features,n_pairs,retrieval_top1,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95,mean_pair_margin,margin_positive_rate
69,substitution_1pct,ck4p_msp,CK4P-MSP,222,500,1.0,0.991665763279321,0.9719629093941585,0.09107410804771585,0.236799867055223,0.11584375628986127,1.0
69,N_3pct,ck4p_msp,CK4P-MSP,222,500,1.0,0.9872618092105945,0.9822451171380131,0.15835301375693298,0.18844034030069304,0.11491391313188598,1.0
69,trim_5bp,ck4p_msp,CK4P-MSP,222,500,1.0,0.9918758781522645,0.9891524220310475,0.12677546882031046,0.14729275247657825,0.1166981653731136,1.0
69,substitution_1pct_N_3pct,ck4p_msp,CK4P-MSP,222,500,1.0,0.9783124391042543,0.9533321236495805,0.20163062166096427,0.3055089879919364,0.10683732052780026,1.0
69,local_mismatch_6bp,ck4p_msp,CK4P-MSP,222,500,1.0,0.9727186160266333,0.9628810338039505,0.23191789853338157,0.2724663390514262,0.10002001922661226,1.0
69,short_indel,ck4p_msp,CK4P-MSP,222,500,1.0,0.9940286000598971,0.9789421060655643,0.07505912103400755,0.20522034199676464,0.11788066285873174,1.0
69,substitution_1pct,pkm_weight_w010,PKM weight=0.1,297,500,1.0,0.99156405014714,0.971812625560649,0.09166327731232615,0.23743367069704968,0.11861615417825885,1.0
69,N_3pct,pkm_weight_w010,PKM weight=0.1,297,500,1.0,0.9870985844271866,0.9821270391484669,0.15940578105082506,0.1890659147503858,0.1176010459822279,1.0
69,trim_5bp,pkm_weight_w010,PKM weight=0.1,297,500,0.998,0.9913479021438885,0.988625266639989,0.13089872082190102,0.15082925587282228,0.1190333673894882,0.998
69,substitution_1pct_N_3pct,pkm_weight_w010,PKM weight=0.1,297,500,1.0,0.9780191548081434,0.9529776463775613,0.20304787664487606,0.30666708284335453,0.10943011543711233,1.0
