label,length,status,n_rows,n_pairs,fq_path,sam_path
Acinetobacter_calcoaceticus,50,generated,780,390,results/stage3/contract_v2/art_current_contract/fastq/Acinetobacter_calcoaceticus_L50_ART_.fq,results/stage3/contract_v2/art_current_contract/fastq/Acinetobacter_calcoaceticus_L50_ART_.sam
Acinetobacter_calcoaceticus,60,generated,650,325,results/stage3/contract_v2/art_current_contract/fastq/Acinetobacter_calcoaceticus_L60_ART_.fq,results/stage3/contract_v2/art_current_contract/fastq/Acinetobacter_calcoaceticus_L60_ART_.sam
Acinetobacter_calcoaceticus,69,reused_external,564,282,results/stage3/contract_v2/art_current_contract/fastq/Acinetobacter_calcoaceticus_L69_ART_.fq,results/stage3/contract_v2/art_current_contract/fastq/Acinetobacter_calcoaceticus_L69_ART_.sam
Acinetobacter_calcoaceticus,75,reused_external,518,259,results/stage3/contract_v2/art_current_contract/fastq/Acinetobacter_calcoaceticus_L75_ART_.fq,results/stage3/contract_v2/art_current_contract/fastq/Acinetobacter_calcoaceticus_L75_ART_.sam
Acinetobacter_calcoaceticus,100,reused_external,388,194,results/stage3/contract_v2/art_current_contract/fastq/Acinetobacter_calcoaceticus_L100_ART_.fq,results/stage3/contract_v2/art_current_contract/fastq/Acinetobacter_calcoaceticus_L100_ART_.sam
Acinetobacter_calcoaceticus,125,reused_external,310,155,results/stage3/contract_v2/art_current_contract/fastq/Acinetobacter_calcoaceticus_L125_ART_.fq,results/stage3/contract_v2/art_current_contract/fastq/Acinetobacter_calcoaceticus_L125_ART_.sam
Acinetobacter_calcoaceticus,150,reused_external,258,129,results/stage3/contract_v2/art_current_contract/fastq/Acinetobacter_calcoaceticus_L150_ART_.fq,results/stage3/contract_v2/art_current_contract/fastq/Acinetobacter_calcoaceticus_L150_ART_.sam
Acinetobacter_nosocomialis,50,generated,818,409,results/stage3/contract_v2/art_current_contract/fastq/Acinetobacter_nosocomialis_L50_ART_.fq,results/stage3/contract_v2/art_current_contract/fastq/Acinetobacter_nosocomialis_L50_ART_.sam
Acinetobacter_nosocomialis,60,generated,680,340,results/stage3/contract_v2/art_current_contract/fastq/Acinetobacter_nosocomialis_L60_ART_.fq,results/stage3/contract_v2/art_current_contract/fastq/Acinetobacter_nosocomialis_L60_ART_.sam
Acinetobacter_nosocomialis,69,reused_external,592,296,results/stage3/contract_v2/art_current_contract/fastq/Acinetobacter_nosocomialis_L69_ART_.fq,results/stage3/contract_v2/art_current_contract/fastq/Acinetobacter_nosocomialis_L69_ART_.sam
Acinetobacter_nosocomialis,75,reused_external,544,272,results/stage3/contract_v2/art_current_contract/fastq/Acinetobacter_nosocomialis_L75_ART_.fq,results/stage3/contract_v2/art_current_contract/fastq/Acinetobacter_nosocomialis_L75_ART_.sam
Acinetobacter_nosocomialis,100,reused_external,408,204,results/stage3/contract_v2/art_current_contract/fastq/Acinetobacter_nosocomialis_L100_ART_.fq,results/stage3/contract_v2/art_current_contract/fastq/Acinetobacter_nosocomialis_L100_ART_.sam
Acinetobacter_nosocomialis,125,reused_external,326,163,results/stage3/contract_v2/art_current_contract/fastq/Acinetobacter_nosocomialis_L125_ART_.fq,results/stage3/contract_v2/art_current_contract/fastq/Acinetobacter_nosocomialis_L125_ART_.sam
Acinetobacter_nosocomialis,150,reused_external,272,136,results/stage3/contract_v2/art_current_contract/fastq/Acinetobacter_nosocomialis_L150_ART_.fq,results/stage3/contract_v2/art_current_contract/fastq/Acinetobacter_nosocomialis_L150_ART_.sam
Acinetobacter_pittii,50,generated,754,377,results/stage3/contract_v2/art_current_contract/fastq/Acinetobacter_pittii_L50_ART_.fq,results/stage3/contract_v2/art_current_contract/fastq/Acinetobacter_pittii_L50_ART_.sam
Acinetobacter_pittii,60,generated,626,313,results/stage3/contract_v2/art_current_contract/fastq/Acinetobacter_pittii_L60_ART_.fq,results/stage3/contract_v2/art_current_contract/fastq/Acinetobacter_pittii_L60_ART_.sam
Acinetobacter_pittii,69,reused_external,544,272,results/stage3/contract_v2/art_current_contract/fastq/Acinetobacter_pittii_L69_ART_.fq,results/stage3/contract_v2/art_current_contract/fastq/Acinetobacter_pittii_L69_ART_.sam
Acinetobacter_pittii,75,reused_external,500,250,results/stage3/contract_v2/art_current_contract/fastq/Acinetobacter_pittii_L75_ART_.fq,results/stage3/contract_v2/art_current_contract/fastq/Acinetobacter_pittii_L75_ART_.sam
Acinetobacter_pittii,100,reused_external,372,186,results/stage3/contract_v2/art_current_contract/fastq/Acinetobacter_pittii_L100_ART_.fq,results/stage3/contract_v2/art_current_contract/fastq/Acinetobacter_pittii_L100_ART_.sam
Acinetobacter_pittii,125,reused_external,300,150,results/stage3/contract_v2/art_current_contract/fastq/Acinetobacter_pittii_L125_ART_.fq,results/stage3/contract_v2/art_current_contract/fastq/Acinetobacter_pittii_L125_ART_.sam
Acinetobacter_pittii,150,reused_external,246,123,results/stage3/contract_v2/art_current_contract/fastq/Acinetobacter_pittii_L150_ART_.fq,results/stage3/contract_v2/art_current_contract/fastq/Acinetobacter_pittii_L150_ART_.sam
Acinetobacter_baumannii,50,generated,688,344,results/stage3/contract_v2/art_current_contract/fastq/Acinetobacter_baumannii_L50_ART_.fq,results/stage3/contract_v2/art_current_contract/fastq/Acinetobacter_baumannii_L50_ART_.sam
Acinetobacter_baumannii,60,generated,548,274,results/stage3/contract_v2/art_current_contract/fastq/Acinetobacter_baumannii_L60_ART_.fq,results/stage3/contract_v2/art_current_contract/fastq/Acinetobacter_baumannii_L60_ART_.sam
Acinetobacter_baumannii,69,reused_external,466,233,results/stage3/contract_v2/art_current_contract/fastq/Acinetobacter_baumannii_L69_ART_.fq,results/stage3/contract_v2/art_current_contract/fastq/Acinetobacter_baumannii_L69_ART_.sam
Acinetobacter_baumannii,75,reused_external,424,212,results/stage3/contract_v2/art_current_contract/fastq/Acinetobacter_baumannii_L75_ART_.fq,results/stage3/contract_v2/art_current_contract/fastq/Acinetobacter_baumannii_L75_ART_.sam
Acinetobacter_baumannii,100,reused_external,298,149,results/stage3/contract_v2/art_current_contract/fastq/Acinetobacter_baumannii_L100_ART_.fq,results/stage3/contract_v2/art_current_contract/fastq/Acinetobacter_baumannii_L100_ART_.sam
Acinetobacter_baumannii,125,reused_external,218,109,results/stage3/contract_v2/art_current_contract/fastq/Acinetobacter_baumannii_L125_ART_.fq,results/stage3/contract_v2/art_current_contract/fastq/Acinetobacter_baumannii_L125_ART_.sam
Acinetobacter_baumannii,150,reused_external,162,81,results/stage3/contract_v2/art_current_contract/fastq/Acinetobacter_baumannii_L150_ART_.fq,results/stage3/contract_v2/art_current_contract/fastq/Acinetobacter_baumannii_L150_ART_.sam
Burkholderia_cenocepacia,50,generated,1608,804,results/stage3/contract_v2/art_current_contract/fastq/Burkholderia_cenocepacia_L50_ART_.fq,results/stage3/contract_v2/art_current_contract/fastq/Burkholderia_cenocepacia_L50_ART_.sam
Burkholderia_cenocepacia,60,generated,1338,669,results/stage3/contract_v2/art_current_contract/fastq/Burkholderia_cenocepacia_L60_ART_.fq,results/stage3/contract_v2/art_current_contract/fastq/Burkholderia_cenocepacia_L60_ART_.sam
Burkholderia_cenocepacia,69,reused_external,1164,582,results/stage3/contract_v2/art_current_contract/fastq/Burkholderia_cenocepacia_L69_ART_.fq,results/stage3/contract_v2/art_current_contract/fastq/Burkholderia_cenocepacia_L69_ART_.sam
Burkholderia_cenocepacia,75,reused_external,1072,536,results/stage3/contract_v2/art_current_contract/fastq/Burkholderia_cenocepacia_L75_ART_.fq,results/stage3/contract_v2/art_current_contract/fastq/Burkholderia_cenocepacia_L75_ART_.sam
Burkholderia_cenocepacia,100,reused_external,800,400,results/stage3/contract_v2/art_current_contract/fastq/Burkholderia_cenocepacia_L100_ART_.fq,results/stage3/contract_v2/art_current_contract/fastq/Burkholderia_cenocepacia_L100_ART_.sam
Burkholderia_cenocepacia,125,reused_external,640,320,results/stage3/contract_v2/art_current_contract/fastq/Burkholderia_cenocepacia_L125_ART_.fq,results/stage3/contract_v2/art_current_contract/fastq/Burkholderia_cenocepacia_L125_ART_.sam
Burkholderia_cenocepacia,150,reused_external,536,268,results/stage3/contract_v2/art_current_contract/fastq/Burkholderia_cenocepacia_L150_ART_.fq,results/stage3/contract_v2/art_current_contract/fastq/Burkholderia_cenocepacia_L150_ART_.sam
