retrieval_top1,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95,mean_pair_margin,margin_positive_rate,length,condition,representation,n_pairs,n_features,density,avg_nnz_per_read
0.995,0.9290249461461292,0.8148848030742794,0.3029645678482526,0.6040613113498284,0.3322129337734728,0.995,50,art_illumina,ck4,400,136,0.26900735294117645,36.585
0.9975,0.9664284474975144,0.907466884912452,0.21600020531256228,0.43019324707560025,0.1670462464727841,0.995,50,art_illumina,ck4_p,400,147,0.3167091836734694,46.55625
0.9975,0.9667254551388451,0.9074847927351706,0.21559545198956848,0.4301515945038054,0.1701534759193315,0.995,50,art_illumina,ck4_msp,400,211,0.4560841232227488,96.23375
0.9975,0.9775427020972003,0.9381134576775364,0.1767568617400088,0.35181399108276706,0.11403195061728212,0.995,50,art_illumina,ck4p_msp,400,222,0.4784009009009009,106.205
0.995,0.8908814137289334,0.7180592071149886,0.38198915506240766,0.7483709466241592,0.5327624183659255,0.995,50,art_illumina,ckmer5_count_l2,400,512,0.08107421875,41.51
1.0,0.9266219679555069,0.8268985769009014,0.34308387381733424,0.588390028105397,0.30707456734877075,1.0,60,art_illumina,ck4,400,136,0.3153860294117647,42.8925
1.0,0.9632821545710906,0.9134351516899911,0.24270068729339292,0.41608855576093196,0.1542235401006028,1.0,60,art_illumina,ck4_p,400,147,0.359812925170068,52.8925
1.0,0.963156111890277,0.9132501566011321,0.24312983464160187,0.4165328913324581,0.15701523752507401,1.0,60,art_illumina,ck4_msp,400,211,0.48731042654028434,102.8225
1.0,0.9754181883224092,0.9421573465604484,0.19859894069265238,0.34012539190234264,0.10509151155145531,1.0,60,art_illumina,ck4p_msp,400,222,0.5082094594594595,112.8225
1.0,0.877476817992545,0.7189994062783119,0.4448055473916145,0.7496671516090021,0.5087142602455115,1.0,60,art_illumina,ckmer5_count_l2,400,512,0.09806640625,50.21
1.0,0.9263558927639071,0.8251480251151011,0.3508479759020322,0.5913569030329483,0.28952323485526443,1.0,69,art_illumina,ck4,400,136,0.34908088235294116,47.475
1.0,0.9631544040314358,0.9125046268163232,0.24818880665085338,0.41831841784837653,0.14526008460098722,1.0,69,art_illumina,ck4_p,400,147,0.39098639455782314,57.475
1.0,0.963032505468766,0.9122861242297421,0.24863860388085904,0.4188404272759981,0.14754063599109146,1.0,69,art_illumina,ck4_msp,400,211,0.5091824644549763,107.4375
1.0,0.9753393087454987,0.9414971051484322,0.20308310083573874,0.34206066560606585,0.0986813626436374,1.0,69,art_illumina,ck4p_msp,400,222,0.5289977477477478,117.4375
1.0,0.8744790000300035,0.7200836050869444,0.46043649580295876,0.7482190756270478,0.5008983746535652,1.0,69,art_illumina,ckmer5_count_l2,400,512,0.1118603515625,57.2725
0.9975,0.919493520981382,0.827700547862661,0.3685115619817101,0.5807039086316262,0.2756688903068488,0.9975,75,art_illumina,ck4,400,136,0.37432904411764706,50.90875
1.0,0.960913893944824,0.9156430375227675,0.2612038308193421,0.4107467458717195,0.1404868349499877,1.0,75,art_illumina,ck4_p,400,147,0.4142517006802721,60.895
1.0,0.9608554199178099,0.9153914483324787,0.2611974414679917,0.41135892093251164,0.1428137615697046,1.0,75,art_illumina,ck4_msp,400,211,0.5250770142180095,110.79125
1.0,0.9738591268702024,0.9435602310922602,0.21361045293655118,0.33597459957407705,0.0961591224265664,1.0,75,art_illumina,ck4p_msp,400,222,0.5440427927927928,120.7775
0.9975,0.8630889770706506,0.730505676290376,0.4860125075894304,0.7336285323332862,0.48296072915571686,0.9975,75,art_illumina,ckmer5_count_l2,400,512,0.12145263671875,62.18375
0.9925,0.8857298746629347,0.7961586885290112,0.45373586918210407,0.636171750486365,0.2034585014378912,0.9925,100,art_illumina,ck4,400,136,0.4491176470588235,61.08
0.995,0.9443516720316029,0.8979698689933142,0.3240295500526698,0.4517302123768124,0.10203154361549222,0.9925,100,art_illumina,ck4_p,400,147,0.48341836734693877,71.0625
0.995,0.9449872751294549,0.8985886012761399,0.32272596009440874,0.45035850248498527,0.10366309783934069,0.9925,100,art_illumina,ck4_msp,400,211,0.573175355450237,120.94
