retrieval_top1,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95,mean_pair_margin,margin_positive_rate,length,quality_bin,mean_phred_min,mean_phred_mean,mean_phred_max,observed_base_difference_rate_mean,representation,representation_label,n_pairs,n_features,density,avg_nnz_per_read
1.0,0.9233234352513422,0.8014487101610281,0.33940675191120534,0.6301605694620446,0.3142252063340113,1.0,50,low,20.0,23.146866381359963,23.92,0.031799999999999995,ck4,CK4,400,136,0.2675183823529412,36.3825
1.0,0.9616285670153633,0.9006121873838111,0.24011478640762388,0.44584247211141736,0.15789342472893042,1.0,50,low,20.0,23.146866381359963,23.92,0.031799999999999995,ck4_p,CK4+P,400,147,0.31552721088435376,46.3825
1.0,0.9614648636978248,0.8998125201840745,0.24064892027150267,0.44763257371898485,0.16114675257682898,1.0,50,low,20.0,23.146866381359963,23.92,0.031799999999999995,ck4_msp,CK4+MSP,400,211,0.45587677725118486,96.19
1.0,0.9742878087250112,0.9331335683249146,0.19658470308176723,0.3656950077641967,0.107907837666307,1.0,50,low,20.0,23.146866381359963,23.92,0.031799999999999995,ck4p_msp,CK4P-MSP,400,222,0.47833333333333333,106.19
1.0,0.8766331627958389,0.6921650223454296,0.43103114285804334,0.7846459900836986,0.5056602951323691,1.0,50,low,20.0,23.146866381359963,23.92,0.031799999999999995,ckmer5_count_l2,canonical 5-mer,400,512,0.081044921875,41.495
0.995,0.9306029972742289,0.8294000178122709,0.3009637088565892,0.5817835280359839,0.3343806559433723,0.995,50,mid,23.92,24.430589633856396,24.9,0.0271,ck4,CK4,400,136,0.26801470588235293,36.45
0.9975,0.9674637831652612,0.9153531456518216,0.214659159550865,0.41145316422118905,0.1679405056013368,0.995,50,mid,23.92,24.430589633856396,24.9,0.0271,ck4_p,CK4+P,400,147,0.31581632653061226,46.425
0.9975,0.9676103863579337,0.9151035503459247,0.21392873131133258,0.41205931266362505,0.17090378150945618,0.995,50,mid,23.92,24.430589633856396,24.9,0.0271,ck4_msp,CK4+MSP,400,211,0.45569312796208533,96.15125
0.9975,0.9782393957520881,0.9433598435144038,0.17558115195695234,0.3365713921285639,0.11442026546064492,0.995,50,mid,23.92,24.430589633856396,24.9,0.0271,ck4p_msp,CK4P-MSP,400,222,0.47804617117117115,106.12625
0.995,0.8945907345015445,0.7347350883001638,0.37558727303942235,0.7140047634797279,0.5332882432322112,0.995,50,mid,23.92,24.430589633856396,24.9,0.0271,ckmer5_count_l2,canonical 5-mer,400,512,0.081015625,41.48
1.0,0.9487680685101119,0.8431275502495854,0.24766253179760084,0.5601293545249731,0.35074832143988344,1.0,50,high,24.9,25.603213691466603,28.44,0.021400000000000002,ck4,CK4,400,136,0.26875,36.55
1.0,0.9743651665720625,0.9215186916253877,0.17519275923323568,0.3961850767178716,0.1760926409752058,1.0,50,high,24.9,25.603213691466603,28.44,0.021400000000000002,ck4_p,CK4+P,400,147,0.31666666666666665,46.55
1.0,0.9742609728355166,0.9212407966717354,0.17556453220411833,0.39688588618732984,0.17941028529770853,1.0,50,high,24.9,25.603213691466603,28.44,0.021400000000000002,ck4_msp,CK4+MSP,400,211,0.4569075829383886,96.4075
1.0,0.9828280701016822,0.9474765921765312,0.14340390488129903,0.324109264806521,0.12007047225160374,1.0,50,high,24.9,25.603213691466603,28.44,0.021400000000000002,ck4p_msp,CK4P-MSP,400,222,0.47931306306306304,106.4075
1.0,0.9184369335116136,0.7677708295984296,0.3128219459084931,0.6815115824807486,0.5587055842570305,1.0,50,high,24.9,25.603213691466603,28.44,0.021400000000000002,ckmer5_count_l2,canonical 5-mer,400,512,0.081396484375,41.675
1.0,0.9145406714812918,0.8173693316168014,0.3828723129557099,0.6043685234705504,0.300543058600006,1.0,60,low,20.666666666666668,23.516957475209765,24.283333333333335,0.03708333333333333,ck4,CK4,400,136,0.3126470588235294,42.52
1.0,0.9572378641556051,0.9085984847040485,0.2708391486344331,0.42755470299811704,0.1509293051284875,1.0,60,low,20.666666666666668,23.516957475209765,24.283333333333335,0.03708333333333333,ck4_p,CK4+P,400,147,0.3572789115646258,52.52
1.0,0.9570883705292772,0.9084257617086191,0.2713341470229993,0.4279584853481184,0.1534358097550314,1.0,60,low,20.666666666666668,23.516957475209765,24.283333333333335,0.03708333333333333,ck4_msp,CK4+MSP,400,211,0.48546800947867297,102.43375
1.0,0.9713705992961578,0.938893053736178,0.22163094219497204,0.34959103049206497,0.10270669073777328,1.0,60,low,20.666666666666668,23.516957475209765,24.283333333333335,0.03708333333333333,ck4p_msp,CK4P-MSP,400,222,0.5064583333333333,112.43375
