retrieval_top1,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95,mean_pair_margin,margin_positive_rate,length,condition,representation,n_pairs,n_features,density,avg_nnz_per_read
1.0,0.9643064348150465,0.9497005790148415,0.264852987575492,0.31717317195385347,0.31244117890775663,1.0,69,N_3pct,ck4,4000,136,0.3426387867647059,46.598875
1.0,0.9811623415277656,0.9738215499839104,0.1926165793492566,0.22881629822040342,0.15684727014659322,1.0,69,N_3pct,ck4_p,4000,147,0.3884277210884354,57.098875
1.0,0.9871122403894115,0.9822770227396032,0.15940504050459964,0.18827096036721236,0.10648684473209785,1.0,69,N_3pct,ck4p_msp,4000,222,0.5426717342342342,120.473125
1.0,0.9383489041353622,0.9187795405622855,0.34868689805745284,0.40303959963684616,0.5461253374320126,1.0,69,N_3pct,ckmer5_count_l2,4000,512,0.106566650390625,54.562125
1.0,0.9761954915607707,0.9189457590847255,0.150352800260798,0.4026269601495203,0.31684712697757317,1.0,69,substitution_1pct,ck4,4000,136,0.3582720588235294,48.725
1.0,0.9880913353362887,0.9594574471250885,0.10635833530291401,0.2847544565747758,0.15891376275409966,1.0,69,substitution_1pct,ck4_p,4000,147,0.39948979591836736,58.725
1.0,0.9920328480026872,0.9729073628591397,0.08701582359881242,0.2327772896802131,0.10782772825484571,1.0,69,substitution_1pct,ck4p_msp,4000,222,0.5347010135135135,118.703625
1.0,0.9591081805530786,0.8618595781025761,0.19790691588161843,0.5256242420159564,0.56211719198024,1.0,69,substitution_1pct,ckmer5_count_l2,4000,512,0.113952880859375,58.343875
1.0,0.9406955774325415,0.8779001887709912,0.3330344362864206,0.4941655759932207,0.2902137163457126,1.0,69,substitution_1pct_N_3pct,ck4,4000,136,0.3430597426470588,46.656125
1.0,0.9693454976409303,0.9377734055880842,0.23999007607001852,0.352779233640827,0.14572148208165783,1.0,69,substitution_1pct_N_3pct,ck4_p,4000,147,0.3888171768707483,57.156125
1.0,0.9792088806282939,0.9579242359420308,0.19784058003506372,0.2900888268452637,0.099032955182619,1.0,69,substitution_1pct_N_3pct,ck4p_msp,4000,222,0.5429211711711712,120.5285
1.0,0.8986073119001133,0.7962452629227079,0.4368351652014774,0.6383646591245002,0.5089989649709855,1.0,69,substitution_1pct_N_3pct,ckmer5_count_l2,4000,512,0.10654052734375,54.54875
0.99975,0.9682928973631777,0.95558386756491,0.24970881326116948,0.29804742050583316,0.30664992363549454,0.99975,75,N_3pct,ck4,4000,136,0.3662251838235294,49.806625
0.99975,0.9832921176753256,0.9769846557084308,0.1814484183504755,0.21454763707657865,0.15390961364469377,0.99975,75,N_3pct,ck4_p,4000,147,0.4102491496598639,60.306625
1.0,0.9885832925912413,0.9843902378374665,0.15006082585664074,0.1766904758210096,0.10439538521718844,1.0,75,N_3pct,ck4p_msp,4000,222,0.5571644144144144,123.6905
1.0,0.9440381458231413,0.9268167183939952,0.3323654220859962,0.3825788326763636,0.5468868509553144,1.0,75,N_3pct,ckmer5_count_l2,4000,512,0.116072998046875,59.429375
1.0,0.9769951750546171,0.9248524487942379,0.1516705956677618,0.38767911661170334,0.30849494581772074,1.0,75,substitution_1pct,ck4,4000,136,0.3812536764705882,51.8505
1.0,0.9884917091670915,0.9624257178554716,0.10728792877194201,0.27413237850689937,0.15470896964055544,1.0,75,substitution_1pct,ck4_p,4000,147,0.4207517006802721,61.8505
1.0,0.9923018671309012,0.9748635529645093,0.08776768820077278,0.2242161769566996,0.10490357780246633,1.0,75,substitution_1pct,ck4p_msp,4000,222,0.548830518018018,121.840375
1.0,0.9596522184549594,0.8708293286898486,0.20176827942114756,0.5082729017174764,0.5577081710759525,1.0,75,substitution_1pct,ckmer5_count_l2,4000,512,0.123425537109375,63.193875
1.0,0.9453779012718933,0.8850067544418387,0.31917028207000675,0.47956906473781213,0.28564235353874823,1.0,75,substitution_1pct_N_3pct,ck4,4000,136,0.3667224264705882,49.87425
1.0,0.9718231135839968,0.9415274782707074,0.22975471754043672,0.3419722846272501,0.1433914445167154,1.0,75,substitution_1pct_N_3pct,ck4_p,4000,147,0.41070918367346937,60.37425
1.0,0.9809113959615838,0.9607664936044553,0.18928983774190733,0.2801196400940795,0.09733319986324222,1.0,75,substitution_1pct_N_3pct,ck4p_msp,4000,222,0.5575309684684685,123.771875
1.0,0.9049556455554829,0.8049630870428865,0.4222598516880945,0.624558896416869,0.5093397459089212,1.0,75,substitution_1pct_N_3pct,ckmer5_count_l2,4000,512,0.11610205078125,59.44425
1.0,0.9686169726579649,0.9555543794969236,0.24855195656505202,0.29814634114432875,0.27489345025539624,1.0,100,N_3pct,ck4,4000,136,0.4484678308823529,60.991625
1.0,0.9832803117438653,0.9767967461238022,0.18162439213916753,0.21542169722290724,0.13793015929351818,1.0,100,N_3pct,ck4_p,4000,147,0.4863375850340136,71.491625
1.0,0.9886107375251062,0.9843365263301712,0.14995957405497556,0.17699420056239254,0.09333293470179907,1.0,100,N_3pct,ck4p_msp,4000,222,0.612043918918919,135.87375
1.0,0.9406068126091093,0.9222196143846028,0.34283309306433923,0.3944119308930655,0.5255111032788916,1.0,100,N_3pct,ckmer5_count_l2,4000,512,0.151133056640625,77.380125
1.0,0.9799413699460714,0.9413470046431667,0.15443355777387655,0.34249962147423,0.2781604627563534,1.0,100,substitution_1pct,ck4,4000,136,0.46688970588235296,63.497
1.0,0.989966266445218,0.9706699975739521,0.10923601423954506,0.2421982753754637,0.13943549743048814,1.0,100,substitution_1pct,ck4_p,4000,147,0.4999795918367347,73.497
1.0,0.9932915945383336,0.9803967442402818,0.0893358449162456,0.19800634118495347,0.09431497588586792,1.0,100,substitution_1pct,ck4p_msp,4000,222,0.6013254504504505,133.49425
1.0,0.9619626466131059,0.8917116665502756,0.21360211978403948,0.46537798229766225,0.5382333451051265,1.0,100,substitution_1pct,ckmer5_count_l2,4000,512,0.161537841796875,82.707375
1.0,0.9482106485151823,0.9009201471064733,0.3137247257508061,0.4451513274093644,0.25615389377696857,1.0,100,substitution_1pct_N_3pct,ck4,4000,136,0.4490533088235294,61.07125
1.0,0.9730665553793931,0.949504799230793,0.22671426329104805,0.31778986998158837,0.1285369977335727,1.0,100,substitution_1pct_N_3pct,ck4_p,4000,147,0.48687925170068025,71.57125
1.0,0.9817780470217526,0.9660354900302286,0.18660140340762812,0.26063195640246833,0.087018602328216,1.0,100,substitution_1pct_N_3pct,ck4p_msp,4000,222,0.612383445945946,135.949125
1.0,0.9031213054658292,0.824135663550918,0.4305105243729618,0.5930671728558482,0.48997616959108725,1.0,100,substitution_1pct_N_3pct,ckmer5_count_l2,4000,512,0.151259765625,77.445
