representation,representation_label,probe_scaling,n_features,length,condition,n_test_sources,accuracy,balanced_accuracy,mcc,macro_f1,auroc,auprc,macro_f1_ci_low,macro_f1_ci_high,baseline_macro_f1,delta_macro_f1,label_retention_ratio
ck4,CK4,contract,136,69,N_3pct,2486,0.8817377312952535,0.8817377312952535,0.7637612377341306,0.881715606307776,0.9459350480146584,0.9269525431141401,0.8687554035312435,0.8941523622570963,0.9011820288778148,-0.019466422570038833,0.9783990115800698
ck4,CK4,contract,136,69,clean,2486,0.8861625100563154,0.8861625100563153,0.7733189292090318,0.8860893552001894,0.9481123252401704,0.9284046073463166,0.8739797551425619,0.897795943681623,0.9011820288778148,-0.015092673677625457,0.9832523583538174
ck4,CK4,contract,136,69,substitution_1pct,2486,0.8805309734513275,0.8805309734513274,0.7616539806246593,0.8804845418146766,0.9467110751827289,0.9273521818340396,0.8684033479424701,0.8937855524070092,0.9011820288778148,-0.02069748706313823,0.9770329562730945
ck4,CK4,contract,136,75,N_3pct,2486,0.8789219629927595,0.8789219629927594,0.7586419993827106,0.8788582773982034,0.9485964522808013,0.9300091555985885,0.8656116143766193,0.8909600118854764,0.9011820288778148,-0.02232375147961141,0.9752283658969434
ck4,CK4,contract,136,75,clean,2486,0.8877715205148834,0.8877715205148833,0.7772778238955759,0.8876462809965551,0.9510403877158589,0.9324275411152962,0.8755428650519527,0.8998074763304978,0.9011820288778148,-0.013535747881259774,0.9849800068715141
ck4,CK4,contract,136,75,substitution_1pct,2486,0.8901850362027354,0.8901850362027353,0.7813114705452524,0.8901188784865154,0.9506009194530399,0.9339718166160785,0.8771613278584656,0.9021731430888447,0.9011820288778148,-0.011063150391299459,0.9877237338997142
ck4,CK4,contract,136,100,N_3pct,2486,0.8930008045052292,0.8930008045052293,0.789097578175749,0.8927909033841237,0.956572898335263,0.9427043744039052,0.8802081659980397,0.9056681852758968,0.9011820288778148,-0.008391125493691143,0.9906887562947299
ck4,CK4,contract,136,100,clean,2486,0.9014481094127111,0.9014481094127111,0.8072552723838649,0.9011820288778148,0.9590330144869191,0.9460202336554095,0.8897888593082368,0.9125691188743114,0.9011820288778148,0.0,1.0
ck4,CK4,contract,136,100,substitution_1pct,2486,0.9002413515687852,0.9002413515687853,0.8039913834706803,0.9000236753941304,0.957983856822664,0.9445859684247181,0.8878262712957963,0.9114117705405401,0.9011820288778148,-0.0011583534836844267,0.9987146287358539
ck4,CK4,train_zscore,136,69,N_3pct,2486,0.8616251005631537,0.8616251005631537,0.7234337694283925,0.8616075445365999,0.9344881618641221,0.9116766928395754,0.84754463089319,0.8756737425665344,0.9017272228281402,-0.040119678291540284,0.9555079659614683
