representation,representation_label,c_value,mean_shifted_macro_f1,mean_retention,min_macro_f1
ck4,CK4,0.1,0.7844760836484136,0.97781242518485,0.6719465874577233
ck4,CK4,1.0,0.7935414097672293,0.9626630945003217,0.6513358372900574
ck4,CK4,10.0,0.7770249676910511,0.9373724857649606,0.5944610793053251
ck4_msp,CK4+MSP,0.1,0.7770619998273695,0.9796994043755364,0.6614823626196484
ck4_msp,CK4+MSP,1.0,0.7933158328070046,0.9686111837263739,0.6674521997616039
ck4_msp,CK4+MSP,10.0,0.7824092030915253,0.943714906102226,0.6098438215422105
ck4_p,CK4+P,0.1,0.7776925888097491,0.9802443260029055,0.6637741697078325
ck4_p,CK4+P,1.0,0.7944622625344064,0.9703119853001877,0.6703688352279835
ck4_p,CK4+P,10.0,0.7887299489138067,0.9515477992310246,0.629709952123841
ck4p_msp,CK4P-MSP,0.1,0.7732397832823037,0.9810548932842885,0.658163709494872
ck4p_msp,CK4P-MSP,1.0,0.793446649397597,0.9713745369489623,0.669472431978612
ck4p_msp,CK4P-MSP,10.0,0.7903122329386996,0.9538119534984392,0.6401140786712346
ck5,CK5,0.1,0.7855800396532008,0.9790878042861549,0.6719530272349938
ck5,CK5,1.0,0.7947855091867813,0.9722773995953508,0.6771491417774838
ck5,CK5,10.0,0.7749666776047771,0.9526841243024337,0.6396228466688414
pseeiip,PseEIIP,0.1,0.768252512661126,0.9780437940897478,0.647444913267698
pseeiip,PseEIIP,1.0,0.7814131147315768,0.9654632722010484,0.6386257800447612
pseeiip,PseEIIP,10.0,0.7768836641227589,0.9521684985458577,0.6214984669999861
pseknc_k3_l3,PseKNC,0.1,0.7624676352319463,0.9790921090519067,0.6414486980524716
pseknc_k3_l3,PseKNC,1.0,0.7832897130934513,0.9738825613732178,0.6680973136452588
pseknc_k3_l3,PseKNC,10.0,0.7852442679679336,0.9622442644468775,0.6557068557653631
