target_label,representation,representation_label,n_features,baseline_macro_f1,mean_shifted_macro_f1,worst_shifted_macro_f1,mean_retention,worst_retention
tax_1050222,ck4,CK4,136,0.7380842520023553,0.693045718129853,0.6513358372900574,0.9389791426245488,0.8824681403553085
tax_1050222,ck4_msp,CK4+MSP,211,0.7336377009281736,0.6975258064425334,0.6674521997616039,0.9507769373902777,0.9097844875163393
tax_1050222,ck4_p,CK4+P,147,0.7319109137038589,0.6982060568173651,0.6703688352279835,0.9539495090790091,0.9159158890466059
tax_1050222,ck4p_msp,CK4P-MSP,222,0.731214120888054,0.6991885117109204,0.669472431978612,0.956202146180877,0.9155627781990079
tax_1050222,ck5,CK5,512,0.7247399378924471,0.6979048951972951,0.6771491417774838,0.9629728661384543,0.9343339677769684
tax_1050222,pseeiip,PseEIIP,64,0.7180653594771242,0.6780200660248971,0.6386257800447612,0.9442316873753845,0.8893699878654379
tax_1050222,pseknc_k3_l3,PseKNC,67,0.7132420356526639,0.6841477880889608,0.6680973136452588,0.9592084508352345,0.936704905556927
tax_1097667,ck4,CK4,136,0.9005415193884836,0.8931517439553038,0.8866004381725716,0.9917940758154073,0.984519224360273
tax_1097667,ck4_msp,CK4+MSP,211,0.8962505159584556,0.8898418001486471,0.8835597941150745,0.99284941464948,0.9858402069316416
tax_1097667,ck4_p,CK4+P,147,0.8966633667974586,0.8900620834241244,0.8839652173913044,0.9926379468396133,0.9858384429693976
tax_1097667,ck4p_msp,CK4P-MSP,222,0.8957572903175164,0.8871332643005766,0.8826746627896882,0.9903723630160098,0.9853948969556353
tax_1097667,ck5,CK5,512,0.9010227475410122,0.8888012241705983,0.8770233608716473,0.9864359435943567,0.9733642832715803
tax_1097667,pseeiip,PseEIIP,64,0.8949556203189729,0.8869802829109719,0.8814353833276162,0.9910885665982426,0.9848928408466355
tax_1097667,pseknc_k3_l3,PseKNC,67,0.8907208879939694,0.883762309483314,0.8782175554398591,0.9921877003172934,0.9859626817753544
tax_1122939,ck4,CK4,136,0.9051990029190284,0.8945357650186802,0.8837054002133804,0.9882200070194928,0.9762553840245771
tax_1122939,ck4_msp,CK4+MSP,211,0.9005324439763618,0.8910395605672766,0.8832450373928616,0.989458588113529,0.9808031274174127
tax_1122939,ck4_p,CK4+P,147,0.9001190874408982,0.8906875952241203,0.8824055978271446,0.9895219506525605,0.9803209487934377
tax_1122939,ck4p_msp,CK4P-MSP,222,0.896293322628128,0.888025309379332,0.8815283674901048,0.9907753265141456,0.9835266482910648
tax_1122939,ck5,CK5,512,0.9023094355586696,0.8868296257898248,0.8674469787915167,0.9828442337419863,0.9613630807866177
tax_1122939,pseeiip,PseEIIP,64,0.8958485649288168,0.8863472882762388,0.8752372986232464,0.9893941040656431,0.9769924660121455
tax_1122939,pseknc_k3_l3,PseKNC,67,0.8895800976491157,0.8811464234936794,0.8742085578230558,0.990519488714143,0.982720454440604
tax_247639,ck4,CK4,136,0.7932638470152468,0.7338337277291499,0.6800006316721492,0.9250815229892172,0.8572187352678879
tax_247639,ck4_msp,CK4+MSP,211,0.7895093327081135,0.7367616780026047,0.696795676751447,0.9331893208601121,0.8825680050688606
tax_247639,ck4_p,CK4+P,147,0.7907752153375938,0.7399348165789873,0.7084203128925728,0.9357081535023807,0.8958554835208606
tax_247639,ck4p_msp,CK4P-MSP,222,0.7874219070755855,0.74012832889244,0.7108828716162485,0.9399387066092819,0.9027979349170052
tax_247639,ck5,CK5,512,0.7778842362226845,0.741271486837629,0.7075580327621591,0.9529329073914098,0.9095929700259497
tax_247639,pseeiip,PseEIIP,64,0.7748497434746382,0.7214940990201993,0.6813235207713781,0.9311406567482652,0.8792976012563896
tax_247639,pseknc_k3_l3,PseKNC,67,0.7669016704164061,0.7349036028560438,0.7182340711752476,0.9582761796007195,0.9365399749165583
tax_434085,ck4,CK4,136,0.7776634113962102,0.7342539788585357,0.7018986948145363,0.9441796644904027,0.9025738957608322
tax_434085,ck4_msp,CK4+MSP,211,0.7696615304155272,0.7356783934087302,0.7065070449746282,0.9558466473068361,0.9179451188020233
