target_label,representation,representation_label,n_features,n_variant_rows,feature_seconds,model_seconds
tax_434085,ck4,CK4,136,21600,1.9712144000004628,0.31907720000162954
tax_434085,ck4_p,CK4+P,147,21600,1.7945330000002286,0.2976699999999255
tax_434085,ck4_msp,CK4+MSP,211,21600,1.9241623999987496,0.2801979000068968
tax_434085,ck4p_msp,CK4P-MSP,222,21600,1.8000067000029958,0.27868129999842495
tax_434085,ck5,CK5,512,21600,1.4776172999991104,0.31900989999849116
tax_434085,pseknc_k3_l3,PseKNC,67,21600,31.393373999999312,0.253387600001588
tax_434085,ncp_anf,NCP+ANF,400,21600,1.1710361000004923,0.28105650000361493
tax_434085,pseeiip,PseEIIP,64,21600,0.7780783999987761,0.24304539999866392
tax_434085,hash_k15_d222,Hashed k=15,222,21600,3.431735199999821,0.23706170000514248
tax_247639,ck4,CK4,136,21600,1.9322291999997105,0.24526850000256673
tax_247639,ck4_p,CK4+P,147,21600,1.77304610000283,0.2408415000027162
tax_247639,ck4_msp,CK4+MSP,211,21600,1.920349099993473,0.2457591999991564
tax_247639,ck4p_msp,CK4P-MSP,222,21600,1.8149684999953024,0.24488389999896754
tax_247639,ck5,CK5,512,21600,1.6907508000003872,0.37132019999990007
tax_247639,pseknc_k3_l3,PseKNC,67,21600,33.903316500000074,0.3116213999965112
tax_247639,ncp_anf,NCP+ANF,400,21600,1.0915108999979566,0.3479892000032123
tax_247639,pseeiip,PseEIIP,64,21600,0.7958190999997896,0.2770124000016949
tax_247639,hash_k15_d222,Hashed k=15,222,21600,3.962335600001097,0.27850349999789614
tax_1050222,ck4,CK4,136,21600,1.8804014999986975,0.2900484999991022
tax_1050222,ck4_p,CK4+P,147,21600,1.7021522999930312,0.2493654999998398
tax_1050222,ck4_msp,CK4+MSP,211,21600,1.7094503000043915,0.26616529999591876
tax_1050222,ck4p_msp,CK4P-MSP,222,21600,1.701323000001139,0.26053919999685604
tax_1050222,ck5,CK5,512,21600,1.5746140999981435,0.33064269999886164
tax_1050222,pseknc_k3_l3,PseKNC,67,21600,30.151604899998347,0.25332679999701213
tax_1050222,ncp_anf,NCP+ANF,400,21600,1.0277458999989904,0.3194761999984621
tax_1050222,pseeiip,PseEIIP,64,21600,0.7742350000044098,0.2579305999970529
tax_1050222,hash_k15_d222,Hashed k=15,222,21600,3.286716200003866,0.24104130000341684
tax_552396,ck4,CK4,136,21600,1.751458899998397,0.25481800000125077
tax_552396,ck4_p,CK4+P,147,21600,1.7479260000036447,0.2655957999959355
tax_552396,ck4_msp,CK4+MSP,211,21600,1.7741246000005049,0.2849666000038269
tax_552396,ck4p_msp,CK4P-MSP,222,21600,1.8099761999983457,0.3404249000013806
tax_552396,ck5,CK5,512,21600,1.53206539999519,0.3245701999985613
tax_552396,pseknc_k3_l3,PseKNC,67,21600,29.91682550000405,0.22727999999915482
tax_552396,ncp_anf,NCP+ANF,400,21600,1.0202825000014855,0.3014770000008866
tax_552396,pseeiip,PseEIIP,64,21600,0.7403169000026537,0.23013630000059493
tax_552396,hash_k15_d222,Hashed k=15,222,21600,3.4292244000025676,0.257188399998995
tax_1122939,ck4,CK4,136,21600,1.652305499999784,0.29473809999763034
tax_1122939,ck4_p,CK4+P,147,21600,1.7530227000024752,0.3135885999945458
tax_1122939,ck4_msp,CK4+MSP,211,21600,1.7624989000032656,0.26250440000148956
tax_1122939,ck4p_msp,CK4P-MSP,222,21600,1.7843243999959668,0.257585300001665
tax_1122939,ck5,CK5,512,21600,1.5198416999992332,0.3919861999966088
tax_1122939,pseknc_k3_l3,PseKNC,67,21600,30.428415100002894,0.24420699999609496
tax_1122939,ncp_anf,NCP+ANF,400,21600,1.0826950999980909,0.2892834000012954
tax_1122939,pseeiip,PseEIIP,64,21600,0.7351798999952734,0.28321499999583466
tax_1122939,hash_k15_d222,Hashed k=15,222,21600,3.5050606000004336,0.24307750000298256
tax_1097667,ck4,CK4,136,21600,1.6769624000007752,0.28557610000279965
tax_1097667,ck4_p,CK4+P,147,21600,1.7422718000016175,0.24938729999848874
tax_1097667,ck4_msp,CK4+MSP,211,21600,1.9170038000011118,0.27240140000503743
tax_1097667,ck4p_msp,CK4P-MSP,222,21600,1.7807443999990937,0.28275140000187093
tax_1097667,ck5,CK5,512,21600,1.55061520000163,0.3371578999940539
tax_1097667,pseknc_k3_l3,PseKNC,67,21600,29.71568180000031,0.23523500000010245
tax_1097667,ncp_anf,NCP+ANF,400,21600,1.0524097999950754,0.3339075999974739
tax_1097667,pseeiip,PseEIIP,64,21600,0.7192467000058969,0.2250287999995635
tax_1097667,hash_k15_d222,Hashed k=15,222,21600,3.3450761000058264,0.2647086000069976
