representation,classifier,n_samples,n_classes,n_features,accuracy,macro_f1,task,length,condition,label_col
ck4,nearest_centroid,2252,30,136,0.2781065088757396,0.26371773576212826,label_probe,69,clean,label
ck4,logistic,2252,30,136,0.23964497041420119,0.22665624978298785,label_probe,69,clean,label
ck4_p,nearest_centroid,2252,30,147,0.2781065088757396,0.26347301274710744,label_probe,69,clean,label
ck4_p,logistic,2252,30,147,0.23964497041420119,0.22764850170768278,label_probe,69,clean,label
ck4p_msp,nearest_centroid,2252,30,222,0.28106508875739644,0.2653408718205153,label_probe,69,clean,label
ck4p_msp,logistic,2252,30,222,0.22781065088757396,0.2177493994023047,label_probe,69,clean,label
ckmer5_count_l2,nearest_centroid,2252,30,512,0.257396449704142,0.24395925405197305,label_probe,69,clean,label
ckmer5_count_l2,logistic,2252,30,512,0.1878698224852071,0.17612902837765992,label_probe,69,clean,label
ck4,nearest_centroid,160,2,136,0.8958333333333334,0.8946906537955244,target_background,69,clean,target_binary
ck4,logistic,160,2,136,0.8125,0.8124185844550587,target_background,69,clean,target_binary
ck4_p,nearest_centroid,160,2,147,0.8958333333333334,0.8946906537955244,target_background,69,clean,target_binary
ck4_p,logistic,160,2,147,0.8125,0.8124185844550587,target_background,69,clean,target_binary
ck4p_msp,nearest_centroid,160,2,222,0.8958333333333334,0.8946906537955244,target_background,69,clean,target_binary
ck4p_msp,logistic,160,2,222,0.8541666666666666,0.8541033434650456,target_background,69,clean,target_binary
ckmer5_count_l2,nearest_centroid,160,2,512,0.8958333333333334,0.8946906537955244,target_background,69,clean,target_binary
ckmer5_count_l2,logistic,160,2,512,0.8333333333333334,0.8306878306878307,target_background,69,clean,target_binary
ck4,nearest_centroid,2252,30,136,0.2781065088757396,0.2641606714470651,label_probe,69,N_3pct,label
ck4,logistic,2252,30,136,0.22337278106508876,0.21406079851740956,label_probe,69,N_3pct,label
ck4_p,nearest_centroid,2252,30,147,0.2781065088757396,0.26426816509355655,label_probe,69,N_3pct,label
ck4_p,logistic,2252,30,147,0.2411242603550296,0.23026014415882312,label_probe,69,N_3pct,label
ck4p_msp,nearest_centroid,2252,30,222,0.27958579881656803,0.26558828361662357,label_probe,69,N_3pct,label
ck4p_msp,logistic,2252,30,222,0.22189349112426035,0.2129701361472941,label_probe,69,N_3pct,label
ckmer5_count_l2,nearest_centroid,2252,30,512,0.2559171597633136,0.24455015309586395,label_probe,69,N_3pct,label
ckmer5_count_l2,logistic,2252,30,512,0.1834319526627219,0.17449369831808578,label_probe,69,N_3pct,label
ck4,nearest_centroid,160,2,136,0.875,0.873015873015873,target_background,69,N_3pct,target_binary
ck4,logistic,160,2,136,0.8125,0.8124185844550587,target_background,69,N_3pct,target_binary
ck4_p,nearest_centroid,160,2,147,0.875,0.873015873015873,target_background,69,N_3pct,target_binary
ck4_p,logistic,160,2,147,0.8125,0.8124185844550587,target_background,69,N_3pct,target_binary
ck4p_msp,nearest_centroid,160,2,222,0.875,0.873015873015873,target_background,69,N_3pct,target_binary
ck4p_msp,logistic,160,2,222,0.8541666666666666,0.8535947712418301,target_background,69,N_3pct,target_binary
ckmer5_count_l2,nearest_centroid,160,2,512,0.9166666666666666,0.916083916083916,target_background,69,N_3pct,target_binary
ckmer5_count_l2,logistic,160,2,512,0.7916666666666666,0.7902097902097902,target_background,69,N_3pct,target_binary
ck4,nearest_centroid,2252,30,136,0.27514792899408286,0.25913624861751794,label_probe,69,substitution_1pct,label
ck4,logistic,2252,30,136,0.22928994082840237,0.21773250762796184,label_probe,69,substitution_1pct,label
ck4_p,nearest_centroid,2252,30,147,0.27514792899408286,0.2589902043238587,label_probe,69,substitution_1pct,label
ck4_p,logistic,2252,30,147,0.22485207100591717,0.21608084951511236,label_probe,69,substitution_1pct,label
ck4p_msp,nearest_centroid,2252,30,222,0.2781065088757396,0.2614396416817437,label_probe,69,substitution_1pct,label
ck4p_msp,logistic,2252,30,222,0.23520710059171598,0.22635755810004515,label_probe,69,substitution_1pct,label
ckmer5_count_l2,nearest_centroid,2252,30,512,0.25,0.23184961880490168,label_probe,69,substitution_1pct,label
ckmer5_count_l2,logistic,2252,30,512,0.20266272189349113,0.19531786669505438,label_probe,69,substitution_1pct,label
ck4,nearest_centroid,160,2,136,0.875,0.873015873015873,target_background,69,substitution_1pct,target_binary
ck4,logistic,160,2,136,0.8541666666666666,0.8541033434650456,target_background,69,substitution_1pct,target_binary
ck4_p,nearest_centroid,160,2,147,0.875,0.873015873015873,target_background,69,substitution_1pct,target_binary
ck4_p,logistic,160,2,147,0.8541666666666666,0.8541033434650456,target_background,69,substitution_1pct,target_binary
ck4p_msp,nearest_centroid,160,2,222,0.875,0.873015873015873,target_background,69,substitution_1pct,target_binary
ck4p_msp,logistic,160,2,222,0.9166666666666666,0.9165217391304348,target_background,69,substitution_1pct,target_binary
ckmer5_count_l2,nearest_centroid,160,2,512,0.9166666666666666,0.916083916083916,target_background,69,substitution_1pct,target_binary
ckmer5_count_l2,logistic,160,2,512,0.8333333333333334,0.8306878306878307,target_background,69,substitution_1pct,target_binary
ck4,nearest_centroid,2252,30,136,0.3091715976331361,0.28977362526975164,label_probe,75,clean,label
ck4,logistic,2252,30,136,0.24260355029585798,0.23357264092309465,label_probe,75,clean,label
ck4_p,nearest_centroid,2252,30,147,0.3121301775147929,0.2927475820592719,label_probe,75,clean,label
ck4_p,logistic,2252,30,147,0.2485207100591716,0.23941520318999251,label_probe,75,clean,label
ck4p_msp,nearest_centroid,2252,30,222,0.3091715976331361,0.28946345847782384,label_probe,75,clean,label
ck4p_msp,logistic,2252,30,222,0.23668639053254437,0.22931308088664218,label_probe,75,clean,label
ckmer5_count_l2,nearest_centroid,2252,30,512,0.3062130177514793,0.28779975218956505,label_probe,75,clean,label
ckmer5_count_l2,logistic,2252,30,512,0.2485207100591716,0.23645129626563405,label_probe,75,clean,label
ck4,nearest_centroid,160,2,136,0.9375,0.9372549019607843,target_background,75,clean,target_binary
ck4,logistic,160,2,136,0.8541666666666666,0.8541033434650456,target_background,75,clean,target_binary
ck4_p,nearest_centroid,160,2,147,0.9375,0.9372549019607843,target_background,75,clean,target_binary
ck4_p,logistic,160,2,147,0.8541666666666666,0.8541033434650456,target_background,75,clean,target_binary
ck4p_msp,nearest_centroid,160,2,222,0.9375,0.9372549019607843,target_background,75,clean,target_binary
ck4p_msp,logistic,160,2,222,0.9166666666666666,0.9166666666666666,target_background,75,clean,target_binary
ckmer5_count_l2,nearest_centroid,160,2,512,0.9583333333333334,0.9582608695652174,target_background,75,clean,target_binary
ckmer5_count_l2,logistic,160,2,512,0.9166666666666666,0.9166666666666666,target_background,75,clean,target_binary
ck4,nearest_centroid,2252,30,136,0.2988165680473373,0.2802574258108911,label_probe,75,N_3pct,label
ck4,logistic,2252,30,136,0.23668639053254437,0.2247378590424758,label_probe,75,N_3pct,label
ck4_p,nearest_centroid,2252,30,147,0.2988165680473373,0.2812078690499217,label_probe,75,N_3pct,label
ck4_p,logistic,2252,30,147,0.2455621301775148,0.23347788730260563,label_probe,75,N_3pct,label
ck4p_msp,nearest_centroid,2252,30,222,0.30177514792899407,0.28390816579692346,label_probe,75,N_3pct,label
ck4p_msp,logistic,2252,30,222,0.2470414201183432,0.2358120742810645,label_probe,75,N_3pct,label
ckmer5_count_l2,nearest_centroid,2252,30,512,0.29289940828402367,0.27620081669004215,label_probe,75,N_3pct,label
ckmer5_count_l2,logistic,2252,30,512,0.23076923076923078,0.21917759842490867,label_probe,75,N_3pct,label
ck4,nearest_centroid,160,2,136,0.9583333333333334,0.9582608695652174,target_background,75,N_3pct,target_binary
ck4,logistic,160,2,136,0.8958333333333334,0.8954248366013071,target_background,75,N_3pct,target_binary
ck4_p,nearest_centroid,160,2,147,0.9583333333333334,0.9582608695652174,target_background,75,N_3pct,target_binary
ck4_p,logistic,160,2,147,0.8958333333333334,0.8954248366013071,target_background,75,N_3pct,target_binary
ck4p_msp,nearest_centroid,160,2,222,0.9583333333333334,0.9582608695652174,target_background,75,N_3pct,target_binary
ck4p_msp,logistic,160,2,222,0.9166666666666666,0.9166666666666666,target_background,75,N_3pct,target_binary
ckmer5_count_l2,nearest_centroid,160,2,512,0.9583333333333334,0.9582608695652174,target_background,75,N_3pct,target_binary
ckmer5_count_l2,logistic,160,2,512,0.9375,0.9374728614850196,target_background,75,N_3pct,target_binary
ck4,nearest_centroid,2252,30,136,0.3136094674556213,0.29287437718244397,label_probe,75,substitution_1pct,label
ck4,logistic,2252,30,136,0.23668639053254437,0.22717650127077857,label_probe,75,substitution_1pct,label
ck4_p,nearest_centroid,2252,30,147,0.3121301775147929,0.2921906339983041,label_probe,75,substitution_1pct,label
ck4_p,logistic,2252,30,147,0.2411242603550296,0.23063960295836863,label_probe,75,substitution_1pct,label
ck4p_msp,nearest_centroid,2252,30,222,0.3121301775147929,0.29228897769593215,label_probe,75,substitution_1pct,label
ck4p_msp,logistic,2252,30,222,0.23520710059171598,0.22616695108337964,label_probe,75,substitution_1pct,label
