representation,classifier,n_samples,n_classes,n_features,accuracy,macro_f1,task,genus,length,condition,label_col
ck4,nearest_centroid,116,4,136,0.22857142857142856,0.21666666666666667,within_genus_species,Acinetobacter,69,clean,label
ck4,logistic,116,4,136,0.17142857142857143,0.16884889920880633,within_genus_species,Acinetobacter,69,clean,label
ck4_p,nearest_centroid,116,4,147,0.22857142857142856,0.21666666666666667,within_genus_species,Acinetobacter,69,clean,label
ck4_p,logistic,116,4,147,0.17142857142857143,0.16884889920880633,within_genus_species,Acinetobacter,69,clean,label
ck4p_msp,nearest_centroid,116,4,222,0.22857142857142856,0.21666666666666667,within_genus_species,Acinetobacter,69,clean,label
ck4p_msp,logistic,116,4,222,0.2,0.19664867296446245,within_genus_species,Acinetobacter,69,clean,label
ckmer5_count_l2,nearest_centroid,116,4,511,0.2,0.18906641604010024,within_genus_species,Acinetobacter,69,clean,label
ckmer5_count_l2,logistic,116,4,511,0.14285714285714285,0.14478844169246646,within_genus_species,Acinetobacter,69,clean,label
cspaced_count_l2,nearest_centroid,116,4,136,0.22857142857142856,0.2270833333333333,within_genus_species,Acinetobacter,69,clean,label
cspaced_count_l2,logistic,116,4,136,0.3142857142857143,0.29010695187165775,within_genus_species,Acinetobacter,69,clean,label
cspaced_property_l2,nearest_centroid,116,4,147,0.22857142857142856,0.2270833333333333,within_genus_species,Acinetobacter,69,clean,label
cspaced_property_l2,logistic,116,4,147,0.2571428571428571,0.2437908496732026,within_genus_species,Acinetobacter,69,clean,label
hybrid_ckmer5_csp,nearest_centroid,116,4,658,0.22857142857142856,0.21715686274509804,within_genus_species,Acinetobacter,69,clean,label
hybrid_ckmer5_csp,logistic,116,4,658,0.2571428571428571,0.25212418300653594,within_genus_species,Acinetobacter,69,clean,label
minhash_k5_s128,nearest_centroid,116,4,128,0.2571428571428571,0.24488095238095237,within_genus_species,Acinetobacter,69,clean,label
minhash_k5_s128,logistic,116,4,128,0.37142857142857144,0.36963626030122193,within_genus_species,Acinetobacter,69,clean,label
eiip_l2,nearest_centroid,116,4,69,0.2571428571428571,0.25073529411764706,within_genus_species,Acinetobacter,69,clean,label
eiip_l2,logistic,116,4,69,0.11428571428571428,0.11785130718954248,within_genus_species,Acinetobacter,69,clean,label
eiip_summary_l2,nearest_centroid,116,4,8,0.37142857142857144,0.28937728937728935,within_genus_species,Acinetobacter,69,clean,label
eiip_summary_l2,logistic,116,4,8,0.37142857142857144,0.3571428571428571,within_genus_species,Acinetobacter,69,clean,label
ck4,nearest_centroid,72,3,136,0.36363636363636365,0.3420479302832244,within_genus_species,Burkholderia,69,clean,label
ck4,logistic,72,3,136,0.36363636363636365,0.34117647058823525,within_genus_species,Burkholderia,69,clean,label
ck4_p,nearest_centroid,72,3,147,0.4090909090909091,0.407843137254902,within_genus_species,Burkholderia,69,clean,label
ck4_p,logistic,72,3,147,0.45454545454545453,0.43973063973063975,within_genus_species,Burkholderia,69,clean,label
ck4p_msp,nearest_centroid,72,3,222,0.4090909090909091,0.407843137254902,within_genus_species,Burkholderia,69,clean,label
ck4p_msp,logistic,72,3,222,0.2727272727272727,0.26794871794871794,within_genus_species,Burkholderia,69,clean,label
ckmer5_count_l2,nearest_centroid,72,3,463,0.36363636363636365,0.3394249512670566,within_genus_species,Burkholderia,69,clean,label
ckmer5_count_l2,logistic,72,3,463,0.3181818181818182,0.2965034965034965,within_genus_species,Burkholderia,69,clean,label
cspaced_count_l2,nearest_centroid,72,3,131,0.36363636363636365,0.3544973544973545,within_genus_species,Burkholderia,69,clean,label
cspaced_count_l2,logistic,72,3,131,0.4090909090909091,0.41269841269841273,within_genus_species,Burkholderia,69,clean,label
cspaced_property_l2,nearest_centroid,72,3,142,0.36363636363636365,0.3544973544973545,within_genus_species,Burkholderia,69,clean,label
cspaced_property_l2,logistic,72,3,142,0.4090909090909091,0.41269841269841273,within_genus_species,Burkholderia,69,clean,label
hybrid_ckmer5_csp,nearest_centroid,72,3,605,0.36363636363636365,0.3398148148148148,within_genus_species,Burkholderia,69,clean,label
hybrid_ckmer5_csp,logistic,72,3,605,0.5,0.4871269081795398,within_genus_species,Burkholderia,69,clean,label
minhash_k5_s128,nearest_centroid,72,3,128,0.3181818181818182,0.30277777777777776,within_genus_species,Burkholderia,69,clean,label
minhash_k5_s128,logistic,72,3,128,0.36363636363636365,0.33783175888439043,within_genus_species,Burkholderia,69,clean,label
eiip_l2,nearest_centroid,72,3,69,0.3181818181818182,0.2962148962148962,within_genus_species,Burkholderia,69,clean,label
eiip_l2,logistic,72,3,69,0.45454545454545453,0.4497354497354497,within_genus_species,Burkholderia,69,clean,label
eiip_summary_l2,nearest_centroid,72,3,8,0.45454545454545453,0.4166666666666667,within_genus_species,Burkholderia,69,clean,label
eiip_summary_l2,logistic,72,3,8,0.4090909090909091,0.41623931623931626,within_genus_species,Burkholderia,69,clean,label
ck4,nearest_centroid,72,2,136,0.5,0.4989648033126294,target_background,Burkholderia,69,clean,target_binary
ck4,logistic,72,2,136,0.6818181818181818,0.6178660049627791,target_background,Burkholderia,69,clean,target_binary
ck4_p,nearest_centroid,72,2,147,0.5,0.4989648033126294,target_background,Burkholderia,69,clean,target_binary
ck4_p,logistic,72,2,147,0.6363636363636364,0.5416666666666666,target_background,Burkholderia,69,clean,target_binary
ck4p_msp,nearest_centroid,72,2,222,0.5,0.4989648033126294,target_background,Burkholderia,69,clean,target_binary
ck4p_msp,logistic,72,2,222,0.6818181818181818,0.6178660049627791,target_background,Burkholderia,69,clean,target_binary
ckmer5_count_l2,nearest_centroid,72,2,463,0.5909090909090909,0.5448275862068965,target_background,Burkholderia,69,clean,target_binary
ckmer5_count_l2,logistic,72,2,463,0.6363636363636364,0.48235294117647054,target_background,Burkholderia,69,clean,target_binary
cspaced_count_l2,nearest_centroid,72,2,132,0.6818181818181818,0.6644880174291938,target_background,Burkholderia,69,clean,target_binary
cspaced_count_l2,logistic,72,2,132,0.6818181818181818,0.5757575757575757,target_background,Burkholderia,69,clean,target_binary
cspaced_property_l2,nearest_centroid,72,2,143,0.6363636363636364,0.6239316239316239,target_background,Burkholderia,69,clean,target_binary
cspaced_property_l2,logistic,72,2,143,0.6363636363636364,0.5416666666666666,target_background,Burkholderia,69,clean,target_binary
hybrid_ckmer5_csp,nearest_centroid,72,2,606,0.5909090909090909,0.5448275862068965,target_background,Burkholderia,69,clean,target_binary
hybrid_ckmer5_csp,logistic,72,2,606,0.7272727272727273,0.611764705882353,target_background,Burkholderia,69,clean,target_binary
minhash_k5_s128,nearest_centroid,72,2,128,0.7272727272727273,0.6857142857142857,target_background,Burkholderia,69,clean,target_binary
minhash_k5_s128,logistic,72,2,128,0.6363636363636364,0.5416666666666666,target_background,Burkholderia,69,clean,target_binary
eiip_l2,nearest_centroid,72,2,69,0.4090909090909091,0.3769063180827886,target_background,Burkholderia,69,clean,target_binary
eiip_l2,logistic,72,2,69,0.5,0.39950372208436724,target_background,Burkholderia,69,clean,target_binary
