retrieval_top1,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95,mean_pair_margin,margin_positive_rate,length,condition,representation,n_pairs,n_features,density,avg_nnz_per_read
1.0,0.9758913217635918,0.9168354459079028,0.15176089076968402,0.40783453046192325,0.3534040436905701,1.0,69,substitution_1pct,ckmer4_count_l2,400,136,0.3561764705882353,48.44
1.0,0.9973784433156403,0.9911200696364453,0.05001861693916219,0.1332660757813383,0.03869230307027188,1.0,69,substitution_1pct,ckmer4_property_l2,400,147,0.39755102040816326,58.44
1.0,0.9919328715675249,0.9721627469882035,0.08781325452029705,0.235954380564648,0.11994513938548916,1.0,69,substitution_1pct,ck4p_msp,400,222,0.5334234234234234,118.42
1.0,0.9585133731090982,0.8629227225899937,0.19964316512245453,0.5235971587161837,0.5973620247944387,1.0,69,substitution_1pct,ckmer5_count_l2,400,512,0.11314453125,57.93
1.0,0.9972510092814207,0.9906143176471816,0.05090584194656747,0.1370086071332905,0.04157819513847991,1.0,69,substitution_1pct,cspaced_property_l2,400,147,0.39462585034013603,58.01
1.0,0.9646795909211383,0.9493311975587314,0.2630551263279819,0.3183356795625308,0.3499449795650557,1.0,69,N_3pct,ckmer4_count_l2,400,136,0.3405422794117647,46.31375
1.0,0.994409663126828,0.9927244768665228,0.10528078769717225,0.12062771759000249,0.03885678830641266,1.0,69,N_3pct,ckmer4_property_l2,400,147,0.38648809523809524,56.81375
1.0,0.9872452060538971,0.9821628353909231,0.15838489873094916,0.1888764807469055,0.11896434951297387,1.0,69,N_3pct,ck4p_msp,400,222,0.5415540540540541,120.225
1.0,0.9391468409741088,0.9192754070086769,0.34592191671002837,0.40180739868445275,0.5804969077195508,1.0,69,N_3pct,ckmer5_count_l2,400,512,0.10571533203125,54.12625
1.0,0.994199759142161,0.992626528655824,0.10722230814571518,0.12143688358592733,0.04172867610544945,1.0,69,N_3pct,cspaced_property_l2,400,147,0.38362244897959186,56.3925
0.9975,0.976730908097236,0.9683342567918946,0.21444938485134935,0.2516574783633685,0.35696108589251724,0.9975,69,trim_5bp,ckmer4_count_l2,400,136,0.3456433823529412,47.0075
1.0,0.997419172109124,0.9965273475229304,0.07136672728886849,0.08333848156672466,0.03927950387776877,1.0,69,trim_5bp,ckmer4_property_l2,400,147,0.3878061224489796,57.0075
1.0,0.9918126180917372,0.9890755470843037,0.12725947879476437,0.14781374977591114,0.12090711469923004,1.0,69,trim_5bp,ck4p_msp,400,222,0.5269538288288288,116.98375
0.9975,0.967414015099225,0.9576887325581288,0.2543517995380886,0.29089932451062844,0.607278696920664,0.9975,69,trim_5bp,ckmer5_count_l2,400,512,0.108916015625,55.765
