representation,representation_label,classifier,n_samples,n_classes,n_features,accuracy,macro_f1,task,genus,length,condition,label_col
ck4,CK4,nearest_centroid,116,4,136,0.2,0.18421052631578946,within_genus_species,Acinetobacter,69,clean,label
ck4,CK4,logistic,116,4,136,0.2,0.19885620915032678,within_genus_species,Acinetobacter,69,clean,label
ck4_p,CK4+P,nearest_centroid,116,4,147,0.2,0.18421052631578946,within_genus_species,Acinetobacter,69,clean,label
ck4_p,CK4+P,logistic,116,4,147,0.17142857142857143,0.1655486756105951,within_genus_species,Acinetobacter,69,clean,label
ck4p_msp,CK4P-MSP,nearest_centroid,116,4,222,0.2,0.18421052631578946,within_genus_species,Acinetobacter,69,clean,label
ck4p_msp,CK4P-MSP,logistic,116,4,222,0.2857142857142857,0.27549019607843134,within_genus_species,Acinetobacter,69,clean,label
ckmer5_count_l2,CK5,nearest_centroid,116,4,511,0.2,0.1863095238095238,within_genus_species,Acinetobacter,69,clean,label
ckmer5_count_l2,CK5,logistic,116,4,511,0.17142857142857143,0.16228070175438597,within_genus_species,Acinetobacter,69,clean,label
ck5_pca147,CK5 PCA-147,nearest_centroid,116,4,80,0.2,0.18154761904761904,within_genus_species,Acinetobacter,69,clean,label
ck5_pca147,CK5 PCA-147,logistic,116,4,80,0.2,0.20394736842105263,within_genus_species,Acinetobacter,69,clean,label
ck5_pca222,CK5 PCA-222,nearest_centroid,116,4,80,0.2,0.18154761904761904,within_genus_species,Acinetobacter,69,clean,label
ck5_pca222,CK5 PCA-222,logistic,116,4,80,0.2,0.20394736842105263,within_genus_species,Acinetobacter,69,clean,label
ck5_svd147,CK5 SVD-147,nearest_centroid,116,4,80,0.2,0.19157268170426064,within_genus_species,Acinetobacter,69,clean,label
ck5_svd147,CK5 SVD-147,logistic,116,4,80,0.14285714285714285,0.13171355498721227,within_genus_species,Acinetobacter,69,clean,label
ck5_svd222,CK5 SVD-222,nearest_centroid,116,4,80,0.2,0.19157268170426064,within_genus_species,Acinetobacter,69,clean,label
ck5_svd222,CK5 SVD-222,logistic,116,4,80,0.14285714285714285,0.13171355498721227,within_genus_species,Acinetobacter,69,clean,label
ck7_pca147,CK7 PCA-147,nearest_centroid,116,4,80,0.3142857142857143,0.3113820089439284,within_genus_species,Acinetobacter,69,clean,label
ck7_pca147,CK7 PCA-147,logistic,116,4,80,0.2571428571428571,0.26151315789473684,within_genus_species,Acinetobacter,69,clean,label
ck7_pca222,CK7 PCA-222,nearest_centroid,116,4,80,0.3142857142857143,0.3113820089439284,within_genus_species,Acinetobacter,69,clean,label
ck7_pca222,CK7 PCA-222,logistic,116,4,80,0.2571428571428571,0.26151315789473684,within_genus_species,Acinetobacter,69,clean,label
ck7_svd147,CK7 SVD-147,nearest_centroid,116,4,80,0.2571428571428571,0.2572362278244631,within_genus_species,Acinetobacter,69,clean,label
ck7_svd147,CK7 SVD-147,logistic,116,4,80,0.2,0.19233058608058606,within_genus_species,Acinetobacter,69,clean,label
ck7_svd222,CK7 SVD-222,nearest_centroid,116,4,80,0.2571428571428571,0.2572362278244631,within_genus_species,Acinetobacter,69,clean,label
ck7_svd222,CK7 SVD-222,logistic,116,4,80,0.2,0.19233058608058606,within_genus_species,Acinetobacter,69,clean,label
ck4,CK4,nearest_centroid,72,3,136,0.3181818181818182,0.31544925662572726,within_genus_species,Burkholderia,69,clean,label
ck4,CK4,logistic,72,3,136,0.3181818181818182,0.301994301994302,within_genus_species,Burkholderia,69,clean,label
ck4_p,CK4+P,nearest_centroid,72,3,147,0.3181818181818182,0.31544925662572726,within_genus_species,Burkholderia,69,clean,label
ck4_p,CK4+P,logistic,72,3,147,0.3181818181818182,0.3033828916181857,within_genus_species,Burkholderia,69,clean,label
