representation,representation_label,classifier,n_cells,macro_f1,accuracy,median_features
ck7_pca147,CK7 PCA-147,logistic,132,0.4161692972660824,0.4293090836963233,49.5
ck7_pca222,CK7 PCA-222,logistic,132,0.4161692972660824,0.4293090836963233,49.5
ck5_pca147,CK5 PCA-147,nearest_centroid,132,0.4097038916717684,0.4234042207674156,49.5
ck5_pca222,CK5 PCA-222,nearest_centroid,132,0.4097038916717684,0.4234042207674156,49.5
ck7_svd147,CK7 SVD-147,nearest_centroid,132,0.40635295387532194,0.41931636743520045,49.5
ck7_svd222,CK7 SVD-222,nearest_centroid,132,0.40635295387532194,0.41931636743520045,49.5
ck5_svd147,CK5 SVD-147,nearest_centroid,132,0.4062531279228531,0.4227954685983113,49.5
ck5_svd222,CK5 SVD-222,nearest_centroid,132,0.4062531279228531,0.4227954685983113,49.5
ck5_pca147,CK5 PCA-147,logistic,132,0.4026381110432185,0.4187461395942339,49.5
ck5_pca222,CK5 PCA-222,logistic,132,0.4026381110432185,0.4187461395942339,49.5
ck7_svd147,CK7 SVD-147,logistic,132,0.40252763128179403,0.42896245750406553,49.5
ck7_svd222,CK7 SVD-222,logistic,132,0.40252763128179403,0.42896245750406553,49.5
ckmer5_count_l2,CK5,nearest_centroid,132,0.4023919255237706,0.4229578713022741,507.0
ck4_p,CK4+P,logistic,132,0.4019643601833102,0.4202904724802172,147.0
ck7_pca147,CK7 PCA-147,nearest_centroid,132,0.40163267476105935,0.414378934817878,49.5
ck7_pca222,CK7 PCA-222,nearest_centroid,132,0.40163267476105935,0.414378934817878,49.5
ck4p_msp,CK4P-MSP,logistic,132,0.40069155448216737,0.42298349627250087,222.0
ck4p_msp,CK4P-MSP,nearest_centroid,132,0.4005284158763085,0.41752326771671516,222.0
ck4_p,CK4+P,nearest_centroid,132,0.39911667515854504,0.4158646732650585,147.0
ck4,CK4,nearest_centroid,132,0.39744475089741005,0.41402079098639366,136.0
ck5_svd147,CK5 SVD-147,logistic,132,0.3899411556860493,0.4174239416676661,49.5
ck5_svd222,CK5 SVD-222,logistic,132,0.3899411556860493,0.4174239416676661,49.5
ck4,CK4,logistic,132,0.38943597433284954,0.407375368440956,136.0
ckmer5_count_l2,CK5,logistic,132,0.3881856329719551,0.41462957858568633,507.0
