retrieval_top1,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95,mean_pair_margin,margin_positive_rate,length,condition,representation,representation_label,n_pairs,n_features,base_representation,reducer,target_dim
1.0,0.976230758164592,0.9165332965478393,0.14810189744303923,0.4085741857793175,0.3637810502760318,1.0,69,substitution_1pct,ck4,CK4,250,136,,,
1.0,0.9881082041073109,0.9582357458647315,0.10476992609139629,0.2890124827254438,0.18233480378820094,1.0,69,substitution_1pct,ck4_p,CK4+P,250,147,,,
1.0,0.99204410836631,0.9720594176733495,0.08571711480203945,0.23639157224423618,0.12341601075389956,1.0,69,substitution_1pct,ck4p_msp,CK4P-MSP,250,222,,,
1.0,0.9593046803144504,0.8643161307110806,0.1941790315373006,0.5209296259761839,0.6124820302201245,1.0,69,substitution_1pct,ckmer5_count_l2,CK5,250,512,,,
1.0,0.9755887332840888,0.9181520732098597,0.14808356463488806,0.4045732618581966,0.6734563813100936,1.0,69,substitution_1pct,ck5_pca147,CK5 PCA-147,250,147,ckmer5_count_l2,pca,147.0
1.0,0.969450277090493,0.8958267121436763,0.1669948837639551,0.4564413340026056,0.7076276939523266,1.0,69,substitution_1pct,ck5_pca222,CK5 PCA-222,250,222,ckmer5_count_l2,pca,222.0
1.0,0.9790135799290364,0.9290330301003388,0.13734551382412774,0.3767385133955315,0.5797244113574249,1.0,69,substitution_1pct,ck5_svd147,CK5 SVD-147,250,147,ckmer5_count_l2,svd,147.0
1.0,0.9733444146553074,0.908429880645269,0.15600115395519695,0.4279471414910672,0.617023719668789,1.0,69,substitution_1pct,ck5_svd222,CK5 SVD-222,250,222,ckmer5_count_l2,svd,222.0
1.0,0.9952355631207985,0.9823663937217486,0.06199285355150744,0.187782852933328,0.7246750683389754,1.0,69,substitution_1pct,ck7_pca147,CK7 PCA-147,250,147,ckmer7_count_l2,pca,147.0
1.0,0.9949687200665969,0.9817198873861838,0.06444614689349125,0.19118483344243706,0.8476566914937492,1.0,69,substitution_1pct,ck7_pca222,CK7 PCA-222,250,222,ckmer7_count_l2,pca,222.0
1.0,0.9953515211596414,0.9824414833282349,0.06128596380692372,0.18738173703256014,0.7008385889335894,1.0,69,substitution_1pct,ck7_svd147,CK7 SVD-147,250,147,ckmer7_count_l2,svd,147.0
1.0,0.9950437255112927,0.9819351537927767,0.06403365651369862,0.19005457840635492,0.8310561643350279,1.0,69,substitution_1pct,ck7_svd222,CK7 SVD-222,250,222,ckmer7_count_l2,svd,222.0
1.0,0.9644108061229669,0.9510376370854681,0.26449397717881745,0.3129290479474686,0.3594129530907742,1.0,69,N_3pct,ck4,CK4,250,136,,,
1.0,0.9812182295211315,0.9744904619127628,0.19235049395879003,0.2258733734681806,0.18027232508948557,1.0,69,N_3pct,ck4_p,CK4+P,250,147,,,
1.0,0.9871427560679167,0.9826093939724306,0.15921381387931008,0.18649711330526245,0.1221906466702911,1.0,69,N_3pct,ck4p_msp,CK4P-MSP,250,222,,,
1.0,0.9394694404196443,0.9203422776343144,0.34566167920965585,0.3991412091532767,0.5926825643552986,1.0,69,N_3pct,ckmer5_count_l2,CK5,250,512,,,
1.0,0.9655253978306837,0.9496848213856451,0.2598561038843527,0.3172174204281235,0.6558657996501278,1.0,69,N_3pct,ck5_pca147,CK5 PCA-147,250,147,ckmer5_count_l2,pca,147.0
1.0,0.9567748717897884,0.9414464327681967,0.29162678882812154,0.34220894783092753,0.6867998299328565,1.0,69,N_3pct,ck5_pca222,CK5 PCA-222,250,222,ckmer5_count_l2,pca,222.0
1.0,0.970203979414169,0.9567179990598551,0.2417286979520724,0.29421300430243424,0.5681833159379239,1.0,69,N_3pct,ck5_svd147,CK5 SVD-147,250,147,ckmer5_count_l2,svd,147.0
1.0,0.962105151872617,0.9488618470454444,0.2731582945175465,0.3198060414053206,0.6026125061286439,1.0,69,N_3pct,ck5_svd222,CK5 SVD-222,250,222,ckmer5_count_l2,svd,222.0
1.0,0.9939195017822091,0.9875240622783843,0.10651642285636934,0.1579616198318949,0.7187772165922509,1.0,69,N_3pct,ck7_pca147,CK7 PCA-147,250,147,ckmer7_count_l2,pca,147.0
1.0,0.9934654364662191,0.9876285153097206,0.11108051163830063,0.15729561185967766,0.8400219162518741,1.0,69,N_3pct,ck7_pca222,CK7 PCA-222,250,222,ckmer7_count_l2,pca,222.0
1.0,0.994063151662994,0.9878196573056871,0.10524636533165832,0.15607768210544512,0.6955539952591981,1.0,69,N_3pct,ck7_svd147,CK7 SVD-147,250,147,ckmer7_count_l2,svd,147.0
1.0,0.9935793110084156,0.9879301499567,0.11013214708980462,0.1553657372936268,0.8239234586071719,1.0,69,N_3pct,ck7_svd222,CK7 SVD-222,250,222,ckmer7_count_l2,svd,222.0
1.0,0.9766893043730028,0.9690731833210825,0.21469832197132627,0.24868735114292614,0.36802676809999046,1.0,69,trim_5bp,ck4,CK4,250,136,,,
1.0,0.9883086739966741,0.9844869969964771,0.15205326260094384,0.1761309785041181,0.18451484915705038,1.0,69,trim_5bp,ck4_p,CK4+P,250,147,,,
1.0,0.991810620774223,0.9890637524078308,0.1272891306188642,0.14789350522256123,0.12468298464481448,1.0,69,trim_5bp,ck4p_msp,CK4P-MSP,250,222,,,
1.0,0.9671591626755376,0.9572523150378109,0.2554310467032348,0.29239591297482076,0.6195737754683813,1.0,69,trim_5bp,ckmer5_count_l2,CK5,250,512,,,
1.0,0.9811766433483826,0.9717647922792824,0.19198057658559856,0.2376329365354927,0.6770707187132398,1.0,69,trim_5bp,ck5_pca147,CK5 PCA-147,250,147,ckmer5_count_l2,pca,147.0
1.0,0.9765103165932468,0.9670302876733955,0.21540671085915342,0.2567824461410678,0.7115273506876588,1.0,69,trim_5bp,ck5_pca222,CK5 PCA-222,250,222,ckmer5_count_l2,pca,222.0
1.0,0.9837711284886165,0.9762081181838673,0.17837785972530293,0.21813485091325052,0.5852372268965641,1.0,69,trim_5bp,ck5_svd147,CK5 SVD-147,250,147,ckmer5_count_l2,svd,147.0
1.0,0.9794504923313946,0.9711291520796314,0.2015555969197122,0.24029353984095558,0.6231964979552534,1.0,69,trim_5bp,ck5_svd222,CK5 SVD-222,250,222,ckmer5_count_l2,svd,222.0
1.0,0.9975470574617343,0.9937042607839733,0.06546342718675671,0.11219458332453464,0.7265597971083497,1.0,69,trim_5bp,ck7_pca147,CK7 PCA-147,250,147,ckmer7_count_l2,pca,147.0
1.0,0.9973979560500491,0.9933596452564292,0.06824757390540703,0.11524109432719928,0.8508647446183162,1.0,69,trim_5bp,ck7_pca222,CK7 PCA-222,250,222,ckmer7_count_l2,pca,222.0
