representation,representation_label,n_cells,paired_cosine,l2_drift,retrieval_top1,median_features
ck7_svd147,CK7 SVD-147,24,0.9939314945287613,0.09336882236036252,0.9996666666666667,147.0
ck7_pca147,CK7 PCA-147,24,0.9937638803883946,0.09465895793257045,0.9996666666666667,147.0
ck7_svd222,CK7 SVD-222,24,0.9934883387833112,0.09732231777966267,0.9996666666666667,222.0
ck7_pca222,CK7 PCA-222,24,0.9933669538852551,0.09822178691328413,0.9996666666666667,222.0
ck4p_msp,CK4P-MSP,24,0.989360224287672,0.12847849195551744,1.0,222.0
ck4_p,CK4+P,24,0.9842890617402502,0.15593478991781232,1.0,147.0
ck5_svd147,CK5 SVD-147,24,0.9723714652887373,0.20612263641589976,1.0,147.0
ck4,CK4,24,0.9692173672763856,0.2180705931230711,1.0,136.0
ck5_pca147,CK5 PCA-147,24,0.9665858402552437,0.22697262351666983,1.0,147.0
ck5_svd222,CK5 SVD-222,24,0.9647895668813137,0.2335550190041177,1.0,222.0
ck5_pca222,CK5 PCA-222,24,0.9580997627363542,0.2551562006078663,1.0,222.0
ckmer5_count_l2,CK5,24,0.9456735238342818,0.2917451446218155,1.0,512.0
