representation,classifier,split,fold,task,length,condition,n_samples,n_groups,n_classes,n_features,accuracy,macro_f1,genus,label_col
ck4,nearest_centroid,5fold_grouped_cv,1,within_genus_species,69,clean,116,116,4,136,0.17391304347826086,0.1717948717948718,Acinetobacter,label
ck4,logistic,5fold_grouped_cv,1,within_genus_species,69,clean,116,116,4,136,0.30434782608695654,0.28205128205128205,Acinetobacter,label
ck4,nearest_centroid,5fold_grouped_cv,2,within_genus_species,69,clean,116,116,4,136,0.21739130434782608,0.22525252525252523,Acinetobacter,label
ck4,logistic,5fold_grouped_cv,2,within_genus_species,69,clean,116,116,4,136,0.2608695652173913,0.26047286047286045,Acinetobacter,label
ck4,nearest_centroid,5fold_grouped_cv,3,within_genus_species,69,clean,116,116,4,136,0.3333333333333333,0.28406593406593406,Acinetobacter,label
ck4,logistic,5fold_grouped_cv,3,within_genus_species,69,clean,116,116,4,136,0.25,0.2257326007326007,Acinetobacter,label
ck4,nearest_centroid,5fold_grouped_cv,4,within_genus_species,69,clean,116,116,4,136,0.08333333333333333,0.06666666666666667,Acinetobacter,label
ck4,logistic,5fold_grouped_cv,4,within_genus_species,69,clean,116,116,4,136,0.125,0.11450216450216451,Acinetobacter,label
ck4,nearest_centroid,5fold_grouped_cv,5,within_genus_species,69,clean,116,116,4,136,0.0,0.0,Acinetobacter,label
ck4,logistic,5fold_grouped_cv,5,within_genus_species,69,clean,116,116,4,136,0.18181818181818182,0.1932234432234432,Acinetobacter,label
ck4_p,nearest_centroid,5fold_grouped_cv,1,within_genus_species,69,clean,116,116,4,147,0.17391304347826086,0.1717948717948718,Acinetobacter,label
ck4_p,logistic,5fold_grouped_cv,1,within_genus_species,69,clean,116,116,4,147,0.21739130434782608,0.21270396270396272,Acinetobacter,label
ck4_p,nearest_centroid,5fold_grouped_cv,2,within_genus_species,69,clean,116,116,4,147,0.21739130434782608,0.22384559884559885,Acinetobacter,label
ck4_p,logistic,5fold_grouped_cv,2,within_genus_species,69,clean,116,116,4,147,0.2608695652173913,0.2589285714285714,Acinetobacter,label
ck4_p,nearest_centroid,5fold_grouped_cv,3,within_genus_species,69,clean,116,116,4,147,0.3333333333333333,0.28406593406593406,Acinetobacter,label
ck4_p,logistic,5fold_grouped_cv,3,within_genus_species,69,clean,116,116,4,147,0.25,0.22252747252747251,Acinetobacter,label
ck4_p,nearest_centroid,5fold_grouped_cv,4,within_genus_species,69,clean,116,116,4,147,0.08333333333333333,0.06666666666666667,Acinetobacter,label
ck4_p,logistic,5fold_grouped_cv,4,within_genus_species,69,clean,116,116,4,147,0.125,0.11458333333333331,Acinetobacter,label
ck4_p,nearest_centroid,5fold_grouped_cv,5,within_genus_species,69,clean,116,116,4,147,0.0,0.0,Acinetobacter,label
ck4_p,logistic,5fold_grouped_cv,5,within_genus_species,69,clean,116,116,4,147,0.18181818181818182,0.18601190476190477,Acinetobacter,label
ck4p_msp,nearest_centroid,5fold_grouped_cv,1,within_genus_species,69,clean,116,116,4,222,0.17391304347826086,0.1717948717948718,Acinetobacter,label
ck4p_msp,logistic,5fold_grouped_cv,1,within_genus_species,69,clean,116,116,4,222,0.21739130434782608,0.21025641025641026,Acinetobacter,label
ck4p_msp,nearest_centroid,5fold_grouped_cv,2,within_genus_species,69,clean,116,116,4,222,0.21739130434782608,0.22384559884559885,Acinetobacter,label
ck4p_msp,logistic,5fold_grouped_cv,2,within_genus_species,69,clean,116,116,4,222,0.391304347826087,0.3896270396270397,Acinetobacter,label
ck4p_msp,nearest_centroid,5fold_grouped_cv,3,within_genus_species,69,clean,116,116,4,222,0.3333333333333333,0.28406593406593406,Acinetobacter,label
ck4p_msp,logistic,5fold_grouped_cv,3,within_genus_species,69,clean,116,116,4,222,0.25,0.22023809523809523,Acinetobacter,label
ck4p_msp,nearest_centroid,5fold_grouped_cv,4,within_genus_species,69,clean,116,116,4,222,0.125,0.10267857142857142,Acinetobacter,label
ck4p_msp,logistic,5fold_grouped_cv,4,within_genus_species,69,clean,116,116,4,222,0.125,0.11724941724941726,Acinetobacter,label
ck4p_msp,nearest_centroid,5fold_grouped_cv,5,within_genus_species,69,clean,116,116,4,222,0.0,0.0,Acinetobacter,label
ck4p_msp,logistic,5fold_grouped_cv,5,within_genus_species,69,clean,116,116,4,222,0.22727272727272727,0.2414252414252414,Acinetobacter,label
ckmer5_count_l2,nearest_centroid,5fold_grouped_cv,1,within_genus_species,69,clean,116,116,4,512,0.2608695652173913,0.24835164835164836,Acinetobacter,label
ckmer5_count_l2,logistic,5fold_grouped_cv,1,within_genus_species,69,clean,116,116,4,512,0.30434782608695654,0.3066544566544567,Acinetobacter,label
ckmer5_count_l2,nearest_centroid,5fold_grouped_cv,2,within_genus_species,69,clean,116,116,4,512,0.21739130434782608,0.20833333333333331,Acinetobacter,label
