task,length,condition,representation,classifier,macro_f1_mean,macro_f1_sd,accuracy_mean,n_cells
target_background,69,N_3pct,ck4,logistic,0.5059686747438192,0.09838802989912968,0.5715708971335569,25
target_background,69,N_3pct,ck4,nearest_centroid,0.4728210026340014,0.11072221986033538,0.5062965312607256,25
target_background,69,N_3pct,ck4_p,logistic,0.5198742398716244,0.09782061523926137,0.5834528256625443,25
target_background,69,N_3pct,ck4_p,nearest_centroid,0.4761643912715076,0.10664800320204082,0.5089631979273923,25
target_background,69,N_3pct,ck4p_msp,logistic,0.4681615420549356,0.1101308442327435,0.5514240339086887,25
target_background,69,N_3pct,ck4p_msp,nearest_centroid,0.47481415552573436,0.11084236844135324,0.5077466203872854,25
target_background,69,N_3pct,ckmer5_count_l2,logistic,0.47906056026876453,0.11475633599037545,0.584839675527655,25
target_background,69,N_3pct,ckmer5_count_l2,nearest_centroid,0.4689340154767534,0.13479406518360718,0.5369381649893159,25
target_background,69,clean,ck4,logistic,0.4840288360712542,0.11322563663956925,0.546018949081609,25
target_background,69,clean,ck4,nearest_centroid,0.4890786166660246,0.1056597253252993,0.5280762871683587,25
target_background,69,clean,ck4_p,logistic,0.4804331968641332,0.11926591238130589,0.544897142783332,25
target_background,69,clean,ck4_p,nearest_centroid,0.4925338737745075,0.11196219931437146,0.5323944689865406,25
target_background,69,clean,ck4p_msp,logistic,0.4833364575993487,0.1318948073041349,0.548484512645638,25
target_background,69,clean,ck4p_msp,nearest_centroid,0.4938115123781223,0.11357113195824063,0.5351110465266475,25
target_background,69,clean,ckmer5_count_l2,logistic,0.4591770246713605,0.0871861541611697,0.5626641644800212,25
target_background,69,clean,ckmer5_count_l2,nearest_centroid,0.4749398174568117,0.12384103822822194,0.551442875964615,25
target_background,69,substitution_1pct,ck4,logistic,0.49022621654120707,0.1074819279345733,0.5458500256492583,25
target_background,69,substitution_1pct,ck4,nearest_centroid,0.47870147211565517,0.08296921134762626,0.5200868974730867,25
target_background,69,substitution_1pct,ck4_p,logistic,0.4854266928794543,0.09787789997382441,0.54623116440252,25
target_background,69,substitution_1pct,ck4_p,nearest_centroid,0.47765894601430553,0.08334628118660545,0.5183477670383041,25
target_background,69,substitution_1pct,ck4p_msp,logistic,0.4906681653302318,0.11371297175933523,0.5508527584947022,25
target_background,69,substitution_1pct,ck4p_msp,nearest_centroid,0.47459147585006123,0.08480106878183172,0.5165295852201223,25
target_background,69,substitution_1pct,ckmer5_count_l2,logistic,0.4629081721476929,0.09655887919665913,0.5625123356325402,25
target_background,69,substitution_1pct,ckmer5_count_l2,nearest_centroid,0.47425370700014857,0.11293358794472888,0.5423077689573853,25
target_background,69,substitution_1pct_N_3pct,ck4,logistic,0.505758888566963,0.10813372152464322,0.5674454501168057,25
target_background,69,substitution_1pct_N_3pct,ck4,nearest_centroid,0.5064518543022212,0.1147715464431571,0.5446138218133103,25
target_background,69,substitution_1pct_N_3pct,ck4_p,logistic,0.5036324666727411,0.10266675461025071,0.5680312828688787,25
target_background,69,substitution_1pct_N_3pct,ck4_p,nearest_centroid,0.5064518543022212,0.1147715464431571,0.5446138218133103,25
target_background,69,substitution_1pct_N_3pct,ck4p_msp,logistic,0.5090065532839035,0.1376649089302245,0.5648445064455294,25
target_background,69,substitution_1pct_N_3pct,ck4p_msp,nearest_centroid,0.5052945061920601,0.11813501374390672,0.5440903259854667,25
target_background,69,substitution_1pct_N_3pct,ckmer5_count_l2,logistic,0.47500163753724123,0.10759585252809642,0.5728556168185324,25
