error,representation,classifier,n_classes,n_groups,task,genus,label_col,split,fold,length,condition,n_samples,n_features,accuracy,macro_f1
not enough labels or groups,ck4,all,4,20,within_genus_species,Acinetobacter,label,,,,,,,,
not enough labels or groups,ck4p_msp,all,4,20,within_genus_species,Acinetobacter,label,,,,,,,,
,ck4,nearest_centroid,3,15,within_genus_species,Burkholderia,label,3fold_grouped_cv,1.0,69.0,clean,15.0,136.0,0.4,0.35555555555555557
,ck4,logistic,3,15,within_genus_species,Burkholderia,label,3fold_grouped_cv,1.0,69.0,clean,15.0,136.0,0.4,0.35555555555555557
,ck4,nearest_centroid,3,15,within_genus_species,Burkholderia,label,3fold_grouped_cv,2.0,69.0,clean,15.0,136.0,0.8,0.6
,ck4,logistic,3,15,within_genus_species,Burkholderia,label,3fold_grouped_cv,2.0,69.0,clean,15.0,136.0,0.6,0.4444444444444444
,ck4,nearest_centroid,3,15,within_genus_species,Burkholderia,label,3fold_grouped_cv,3.0,69.0,clean,15.0,136.0,0.2,0.1111111111111111
,ck4,logistic,3,15,within_genus_species,Burkholderia,label,3fold_grouped_cv,3.0,69.0,clean,15.0,136.0,0.4,0.35555555555555557
,ck4p_msp,nearest_centroid,3,15,within_genus_species,Burkholderia,label,3fold_grouped_cv,1.0,69.0,clean,15.0,222.0,0.4,0.35555555555555557
,ck4p_msp,logistic,3,15,within_genus_species,Burkholderia,label,3fold_grouped_cv,1.0,69.0,clean,15.0,222.0,0.4,0.3
,ck4p_msp,nearest_centroid,3,15,within_genus_species,Burkholderia,label,3fold_grouped_cv,2.0,69.0,clean,15.0,222.0,0.8,0.6
,ck4p_msp,logistic,3,15,within_genus_species,Burkholderia,label,3fold_grouped_cv,2.0,69.0,clean,15.0,222.0,0.8,0.6
,ck4p_msp,nearest_centroid,3,15,within_genus_species,Burkholderia,label,3fold_grouped_cv,3.0,69.0,clean,15.0,222.0,0.2,0.1111111111111111
,ck4p_msp,logistic,3,15,within_genus_species,Burkholderia,label,3fold_grouped_cv,3.0,69.0,clean,15.0,222.0,0.4,0.35555555555555557
,ck4,nearest_centroid,2,15,target_background,Burkholderia,target_binary,3fold_grouped_cv,1.0,69.0,clean,15.0,136.0,0.6,0.5833333333333333
,ck4,logistic,2,15,target_background,Burkholderia,target_binary,3fold_grouped_cv,1.0,69.0,clean,15.0,136.0,0.8,0.7619047619047619
,ck4,nearest_centroid,2,15,target_background,Burkholderia,target_binary,3fold_grouped_cv,2.0,69.0,clean,15.0,136.0,1.0,1.0
,ck4,logistic,2,15,target_background,Burkholderia,target_binary,3fold_grouped_cv,2.0,69.0,clean,15.0,136.0,0.8,0.7619047619047619
,ck4,nearest_centroid,2,15,target_background,Burkholderia,target_binary,3fold_grouped_cv,3.0,69.0,clean,15.0,136.0,0.8,0.7619047619047619
,ck4,logistic,2,15,target_background,Burkholderia,target_binary,3fold_grouped_cv,3.0,69.0,clean,15.0,136.0,0.8,0.7619047619047619
,ck4p_msp,nearest_centroid,2,15,target_background,Burkholderia,target_binary,3fold_grouped_cv,1.0,69.0,clean,15.0,222.0,0.6,0.5833333333333333
,ck4p_msp,logistic,2,15,target_background,Burkholderia,target_binary,3fold_grouped_cv,1.0,69.0,clean,15.0,222.0,0.8,0.7619047619047619
,ck4p_msp,nearest_centroid,2,15,target_background,Burkholderia,target_binary,3fold_grouped_cv,2.0,69.0,clean,15.0,222.0,1.0,1.0
,ck4p_msp,logistic,2,15,target_background,Burkholderia,target_binary,3fold_grouped_cv,2.0,69.0,clean,15.0,222.0,0.8,0.7619047619047619
,ck4p_msp,nearest_centroid,2,15,target_background,Burkholderia,target_binary,3fold_grouped_cv,3.0,69.0,clean,15.0,222.0,0.8,0.7619047619047619
,ck4p_msp,logistic,2,15,target_background,Burkholderia,target_binary,3fold_grouped_cv,3.0,69.0,clean,15.0,222.0,0.8,0.7619047619047619
not enough labels or groups,ck4,all,4,18,within_genus_species,Candida,label,,,,,,,,
not enough labels or groups,ck4p_msp,all,4,18,within_genus_species,Candida,label,,,,,,,,
not enough labels or groups,ck4,all,2,18,target_background,Candida,target_binary,,,,,,,,
not enough labels or groups,ck4p_msp,all,2,18,target_background,Candida,target_binary,,,,,,,,
,ck4,nearest_centroid,5,27,within_genus_species,Enterobacter,label,3fold_grouped_cv,1.0,69.0,clean,27.0,136.0,0.3333333333333333,0.3333333333333333
,ck4,logistic,5,27,within_genus_species,Enterobacter,label,3fold_grouped_cv,1.0,69.0,clean,27.0,136.0,0.2222222222222222,0.21333333333333332
,ck4,nearest_centroid,5,27,within_genus_species,Enterobacter,label,3fold_grouped_cv,2.0,69.0,clean,27.0,136.0,0.2222222222222222,0.13714285714285715
,ck4,logistic,5,27,within_genus_species,Enterobacter,label,3fold_grouped_cv,2.0,69.0,clean,27.0,136.0,0.1111111111111111,0.05714285714285714
,ck4,nearest_centroid,5,27,within_genus_species,Enterobacter,label,3fold_grouped_cv,3.0,69.0,clean,27.0,136.0,0.3333333333333333,0.22666666666666666
,ck4,logistic,5,27,within_genus_species,Enterobacter,label,3fold_grouped_cv,3.0,69.0,clean,27.0,136.0,0.3333333333333333,0.2333333333333333
,ck4p_msp,nearest_centroid,5,27,within_genus_species,Enterobacter,label,3fold_grouped_cv,1.0,69.0,clean,27.0,222.0,0.3333333333333333,0.3333333333333333
,ck4p_msp,logistic,5,27,within_genus_species,Enterobacter,label,3fold_grouped_cv,1.0,69.0,clean,27.0,222.0,0.1111111111111111,0.13333333333333333
,ck4p_msp,nearest_centroid,5,27,within_genus_species,Enterobacter,label,3fold_grouped_cv,2.0,69.0,clean,27.0,222.0,0.2222222222222222,0.13714285714285715
,ck4p_msp,logistic,5,27,within_genus_species,Enterobacter,label,3fold_grouped_cv,2.0,69.0,clean,27.0,222.0,0.1111111111111111,0.05714285714285714
,ck4p_msp,nearest_centroid,5,27,within_genus_species,Enterobacter,label,3fold_grouped_cv,3.0,69.0,clean,27.0,222.0,0.3333333333333333,0.22666666666666666
,ck4p_msp,logistic,5,27,within_genus_species,Enterobacter,label,3fold_grouped_cv,3.0,69.0,clean,27.0,222.0,0.2222222222222222,0.21333333333333332
,ck4,nearest_centroid,2,25,target_background,Enterobacter,target_binary,3fold_grouped_cv,1.0,69.0,clean,25.0,136.0,0.7777777777777778,0.4375
,ck4,logistic,2,25,target_background,Enterobacter,target_binary,3fold_grouped_cv,1.0,69.0,clean,25.0,136.0,0.7777777777777778,0.4375
,ck4,nearest_centroid,2,25,target_background,Enterobacter,target_binary,3fold_grouped_cv,2.0,69.0,clean,25.0,136.0,0.75,0.42857142857142855
,ck4,logistic,2,25,target_background,Enterobacter,target_binary,3fold_grouped_cv,2.0,69.0,clean,25.0,136.0,0.75,0.42857142857142855
,ck4,nearest_centroid,2,25,target_background,Enterobacter,target_binary,3fold_grouped_cv,3.0,69.0,clean,25.0,136.0,0.625,0.38461538461538464
,ck4,logistic,2,25,target_background,Enterobacter,target_binary,3fold_grouped_cv,3.0,69.0,clean,25.0,136.0,0.75,0.42857142857142855
,ck4p_msp,nearest_centroid,2,25,target_background,Enterobacter,target_binary,3fold_grouped_cv,1.0,69.0,clean,25.0,222.0,0.7777777777777778,0.4375
,ck4p_msp,logistic,2,25,target_background,Enterobacter,target_binary,3fold_grouped_cv,1.0,69.0,clean,25.0,222.0,0.8888888888888888,0.47058823529411764
,ck4p_msp,nearest_centroid,2,25,target_background,Enterobacter,target_binary,3fold_grouped_cv,2.0,69.0,clean,25.0,222.0,0.75,0.42857142857142855
,ck4p_msp,logistic,2,25,target_background,Enterobacter,target_binary,3fold_grouped_cv,2.0,69.0,clean,25.0,222.0,0.75,0.42857142857142855
,ck4p_msp,nearest_centroid,2,25,target_background,Enterobacter,target_binary,3fold_grouped_cv,3.0,69.0,clean,25.0,222.0,0.625,0.38461538461538464
,ck4p_msp,logistic,2,25,target_background,Enterobacter,target_binary,3fold_grouped_cv,3.0,69.0,clean,25.0,222.0,0.75,0.42857142857142855
,ck4,nearest_centroid,2,9,within_genus_species,Escherichia,label,3fold_grouped_cv,1.0,69.0,clean,9.0,136.0,0.6666666666666666,0.4
,ck4,logistic,2,9,within_genus_species,Escherichia,label,3fold_grouped_cv,1.0,69.0,clean,9.0,136.0,0.6666666666666666,0.4
,ck4,nearest_centroid,2,9,within_genus_species,Escherichia,label,3fold_grouped_cv,2.0,69.0,clean,9.0,136.0,1.0,1.0
,ck4,logistic,2,9,within_genus_species,Escherichia,label,3fold_grouped_cv,2.0,69.0,clean,9.0,136.0,0.6666666666666666,0.4
,ck4,nearest_centroid,2,9,within_genus_species,Escherichia,label,3fold_grouped_cv,3.0,69.0,clean,9.0,136.0,0.6666666666666666,0.4
,ck4,logistic,2,9,within_genus_species,Escherichia,label,3fold_grouped_cv,3.0,69.0,clean,9.0,136.0,0.6666666666666666,0.4
,ck4p_msp,nearest_centroid,2,9,within_genus_species,Escherichia,label,3fold_grouped_cv,1.0,69.0,clean,9.0,222.0,0.6666666666666666,0.4
,ck4p_msp,logistic,2,9,within_genus_species,Escherichia,label,3fold_grouped_cv,1.0,69.0,clean,9.0,222.0,1.0,1.0
,ck4p_msp,nearest_centroid,2,9,within_genus_species,Escherichia,label,3fold_grouped_cv,2.0,69.0,clean,9.0,222.0,1.0,1.0
