task,length,condition,representation,classifier,macro_f1_mean,macro_f1_sd,accuracy_mean,n_cells
target_background,69.0,N_3pct,ck4,logistic,0.6242724867724868,0.25795001490886565,0.8012345679012346,9
target_background,69.0,N_3pct,ck4,nearest_centroid,0.6032236826354473,0.2546868403128435,0.7774691358024691,9
target_background,69.0,N_3pct,ck4p_msp,logistic,0.5655150949268596,0.226669690539637,0.7469135802469136,9
target_background,69.0,N_3pct,ck4p_msp,nearest_centroid,0.6032236826354473,0.2546868403128435,0.7774691358024691,9
target_background,69.0,clean,ck4,logistic,0.5311507936507937,0.1736229020939325,0.7419753086419754,9
target_background,69.0,clean,ck4,nearest_centroid,0.5995472120472121,0.2570684787656937,0.7651234567901235,9
target_background,69.0,clean,ck4p_msp,logistic,0.6681605975723622,0.2429890859889317,0.828395061728395,9
target_background,69.0,clean,ck4p_msp,nearest_centroid,0.5995472120472121,0.2570684787656937,0.7651234567901235,9
target_background,75.0,N_3pct,ck4,logistic,0.529537938912939,0.2169672894699449,0.7197751322751323,12
target_background,75.0,N_3pct,ck4,nearest_centroid,0.5052083333333334,0.22111634952045614,0.6568121693121692,12
target_background,75.0,N_3pct,ck4p_msp,logistic,0.6170495014245014,0.2517936813763487,0.7660714285714286,12
target_background,75.0,N_3pct,ck4p_msp,nearest_centroid,0.5052083333333334,0.22111634952045614,0.6568121693121692,12
target_background,75.0,clean,ck4,logistic,0.515351430976431,0.18338799360035146,0.7007936507936509,12
target_background,75.0,clean,ck4,nearest_centroid,0.4782572751322751,0.16743401691453594,0.6334656084656084,12
target_background,75.0,clean,ck4p_msp,logistic,0.4956259018759019,0.14978761747061828,0.6869047619047618,12
target_background,75.0,clean,ck4p_msp,nearest_centroid,0.5115906084656084,0.1755777899210131,0.6542989417989418,12
within_genus_species,69.0,N_3pct,ck4,logistic,0.4149911816578483,0.2656041178842712,0.5111111111111111,9
within_genus_species,69.0,N_3pct,ck4,nearest_centroid,0.415679012345679,0.2536878881255836,0.5111111111111111,9
within_genus_species,69.0,N_3pct,ck4p_msp,logistic,0.3707936507936508,0.30119226425217405,0.4444444444444444,9
within_genus_species,69.0,N_3pct,ck4p_msp,nearest_centroid,0.4105467372134039,0.25937934806478696,0.5111111111111111,9
within_genus_species,69.0,clean,ck4,logistic,0.31770723104056436,0.1250751125070511,0.45185185185185184,9
within_genus_species,69.0,clean,ck4,nearest_centroid,0.395978835978836,0.2713091726620608,0.5135802469135802,9
within_genus_species,69.0,clean,ck4p_msp,logistic,0.4510405643738977,0.3485748900346309,0.5234567901234568,9
within_genus_species,69.0,clean,ck4p_msp,nearest_centroid,0.395978835978836,0.2713091726620608,0.5135802469135802,9
within_genus_species,75.0,N_3pct,ck4,logistic,0.2601036155202822,0.16345485817496572,0.41574074074074074,12
within_genus_species,75.0,N_3pct,ck4,nearest_centroid,0.2493452380952381,0.1522952204604077,0.3742063492063492,12
within_genus_species,75.0,N_3pct,ck4p_msp,logistic,0.29032186948853617,0.2804441182764287,0.4083333333333334,12
within_genus_species,75.0,N_3pct,ck4p_msp,nearest_centroid,0.2493452380952381,0.1522952204604077,0.3742063492063492,12
within_genus_species,75.0,clean,ck4,logistic,0.2546141975308642,0.13982837043420376,0.4130952380952381,12
within_genus_species,75.0,clean,ck4,nearest_centroid,0.27260582010582013,0.1350289728576727,0.41865079365079366,12
within_genus_species,75.0,clean,ck4p_msp,logistic,0.22595017636684303,0.14081529300334628,0.3982804232804233,12
within_genus_species,75.0,clean,ck4p_msp,nearest_centroid,0.27260582010582013,0.1350289728576727,0.41865079365079366,12
