length,condition,representation,representation_label,n_pairs,sketch_size,minhash_jaccard_mean,minhash_jaccard_sd,exact_jaccard_mean,exact_jaccard_sd,mean_absolute_error
69,substitution_1pct,minhash_k15_s222,"MinHash k=15, s=222",250,222,0.7438378378378379,0.25452589306601375,0.7463361604557367,0.2513987411844165,0.01639005409239129
69,N_3pct,minhash_k15_s222,"MinHash k=15, s=222",250,222,0.6111171171171172,0.1246559892512058,0.6152000000000001,0.11498200218489102,0.026395741195741194
69,trim_5bp,minhash_k15_s222,"MinHash k=15, s=222",250,222,0.909045045045045,0.019256499128986315,0.909090909090909,1.1102230246251565e-16,0.015282555282555297
69,substitution_1pct_N_3pct,minhash_k15_s222,"MinHash k=15, s=222",250,222,0.4974414414414414,0.17931308115406655,0.49351565338745196,0.17662302367863045,0.025357814594842626
69,local_mismatch_6bp,minhash_k15_s222,"MinHash k=15, s=222",250,222,0.5478918918918919,0.1162756130078122,0.5494506265063899,0.11093458791350846,0.026815601166269916
69,short_indel,minhash_k15_s222,"MinHash k=15, s=222",250,222,0.7719639639639639,0.2311720587288896,0.7721798195379534,0.23030136225338024,0.015301569982271541
75,substitution_1pct,minhash_k15_s222,"MinHash k=15, s=222",250,222,0.8028288288288288,0.22228276173987774,0.8020633911665548,0.22131955491200217,0.013838905813526063
75,N_3pct,minhash_k15_s222,"MinHash k=15, s=222",250,222,0.6362522522522522,0.10860121176197411,0.6335892192275633,0.10589185270067251,0.02508199625020964
75,trim_5bp,minhash_k15_s222,"MinHash k=15, s=222",250,222,0.9178918918918919,0.020285287730365302,0.9179996295267203,0.000274942845146614,0.016402894697976667
75,substitution_1pct_N_3pct,minhash_k15_s222,"MinHash k=15, s=222",250,222,0.5057117117117117,0.1801844693183185,0.5087758220628166,0.17864308765730194,0.027306694434922806
75,local_mismatch_6bp,minhash_k15_s222,"MinHash k=15, s=222",250,222,0.5753153153153153,0.10951427834280208,0.5765577477290275,0.10018562746595625,0.027392566047358513
75,short_indel,minhash_k15_s222,"MinHash k=15, s=222",250,222,0.8192432432432434,0.20764229760862457,0.8209228342733513,0.2045099756641943,0.01279916823523487
100,substitution_1pct,minhash_k15_s222,"MinHash k=15, s=222",250,222,0.7631351351351352,0.21640996124342204,0.7641195745295892,0.21222301476774746,0.015622699004134018
100,N_3pct,minhash_k15_s222,"MinHash k=15, s=222",250,222,0.6091891891891892,0.09262190159186072,0.6082465753424658,0.08481449186404723,0.02609446974849969
100,trim_5bp,minhash_k15_s222,"MinHash k=15, s=222",250,222,0.9411891891891893,0.01563320330880216,0.9418190506530744,0.000653509206418524,0.012358334122590246
100,substitution_1pct_N_3pct,minhash_k15_s222,"MinHash k=15, s=222",250,222,0.5050990990990991,0.14761162813385637,0.5021336506513181,0.1474811512759932,0.0263223103527387
100,local_mismatch_6bp,minhash_k15_s222,"MinHash k=15, s=222",250,222,0.659045045045045,0.07651575963344476,0.6592159569232257,0.06911484163551483,0.025421520481802993
100,short_indel,minhash_k15_s222,"MinHash k=15, s=222",250,222,0.7827207207207209,0.19406900073766956,0.7850707000340423,0.18920411333537848,0.017115837382253724
150,substitution_1pct,minhash_k15_s222,"MinHash k=15, s=222",250,222,0.771099099099099,0.16399156682813754,0.7702621935803273,0.16222736398383247,0.01861657206378994
150,N_3pct,minhash_k15_s222,"MinHash k=15, s=222",250,222,0.6551171171171171,0.06699303846174968,0.6551493590839093,0.061618977461895284,0.025157329909633402
150,trim_5bp,minhash_k15_s222,"MinHash k=15, s=222",250,222,0.9634414414414414,0.01272037617888302,0.963457148015879,0.002693293876545533,0.009865161269186046
150,substitution_1pct_N_3pct,minhash_k15_s222,"MinHash k=15, s=222",250,222,0.5117837837837838,0.12482310704070196,0.5154912555204781,0.1203240178727574,0.02722310848926766
150,local_mismatch_6bp,minhash_k15_s222,"MinHash k=15, s=222",250,222,0.766036036036036,0.05526283568579396,0.7640075030929447,0.04587077047258629,0.022484280322750932
150,short_indel,minhash_k15_s222,"MinHash k=15, s=222",250,222,0.7938198198198197,0.16370041287830608,0.7964339156394644,0.15906026200612217,0.016282299149057152
