representation,representation_label,classifier,n_samples,n_classes,n_features,accuracy,macro_f1,task,genus,length,condition,label_col
ckmer4_count_l2,CK4,nearest_centroid,116,4,136,0.22857142857142856,0.2,within_genus_species,Acinetobacter,69,clean,label
ckmer4_count_l2,CK4,logistic,116,4,136,0.14285714285714285,0.13859649122807016,within_genus_species,Acinetobacter,69,clean,label
ckmer5_count_l2,CK5,nearest_centroid,116,4,511,0.14285714285714285,0.13204334365325077,within_genus_species,Acinetobacter,69,clean,label
ckmer5_count_l2,CK5,logistic,116,4,511,0.2,0.19773647405226352,within_genus_species,Acinetobacter,69,clean,label
ckmer4_property_l2,CK4+P,nearest_centroid,116,4,147,0.22857142857142856,0.19666666666666666,within_genus_species,Acinetobacter,69,clean,label
ckmer4_property_l2,CK4+P,logistic,116,4,147,0.14285714285714285,0.12631578947368421,within_genus_species,Acinetobacter,69,clean,label
ck4p_msp,CK4P-MSP,nearest_centroid,116,4,222,0.22857142857142856,0.2,within_genus_species,Acinetobacter,69,clean,label
ck4p_msp,CK4P-MSP,logistic,116,4,222,0.14285714285714285,0.14019660894660896,within_genus_species,Acinetobacter,69,clean,label
hash_k15_d222,"Hashed k=15, d=222",nearest_centroid,116,4,222,0.11428571428571428,0.11204481792717087,within_genus_species,Acinetobacter,69,clean,label
hash_k15_d222,"Hashed k=15, d=222",logistic,116,4,222,0.08571428571428572,0.07535885167464115,within_genus_species,Acinetobacter,69,clean,label
rp_ck15_d222,"CK15 random projection, d=222",nearest_centroid,116,4,222,0.2571428571428571,0.10227272727272728,within_genus_species,Acinetobacter,69,clean,label
rp_ck15_d222,"CK15 random projection, d=222",logistic,116,4,222,0.2571428571428571,0.10227272727272728,within_genus_species,Acinetobacter,69,clean,label
ckmer4_count_l2,CK4,nearest_centroid,72,3,136,0.2727272727272727,0.2333333333333333,within_genus_species,Burkholderia,69,clean,label
ckmer4_count_l2,CK4,logistic,72,3,136,0.2727272727272727,0.26785714285714285,within_genus_species,Burkholderia,69,clean,label
ckmer5_count_l2,CK5,nearest_centroid,72,3,463,0.3181818181818182,0.27855477855477856,within_genus_species,Burkholderia,69,clean,label
ckmer5_count_l2,CK5,logistic,72,3,463,0.2727272727272727,0.24264705882352944,within_genus_species,Burkholderia,69,clean,label
ckmer4_property_l2,CK4+P,nearest_centroid,72,3,146,0.2727272727272727,0.2333333333333333,within_genus_species,Burkholderia,69,clean,label
ckmer4_property_l2,CK4+P,logistic,72,3,146,0.3181818181818182,0.3033828916181857,within_genus_species,Burkholderia,69,clean,label
ck4p_msp,CK4P-MSP,nearest_centroid,72,3,222,0.2727272727272727,0.2333333333333333,within_genus_species,Burkholderia,69,clean,label
ck4p_msp,CK4P-MSP,logistic,72,3,222,0.2727272727272727,0.25576384399913815,within_genus_species,Burkholderia,69,clean,label
hash_k15_d222,"Hashed k=15, d=222",nearest_centroid,72,3,222,0.3181818181818182,0.30526315789473685,within_genus_species,Burkholderia,69,clean,label
hash_k15_d222,"Hashed k=15, d=222",logistic,72,3,222,0.3181818181818182,0.3232118758434548,within_genus_species,Burkholderia,69,clean,label
rp_ck15_d222,"CK15 random projection, d=222",nearest_centroid,72,3,222,0.36363636363636365,0.1839080459770115,within_genus_species,Burkholderia,69,clean,label
rp_ck15_d222,"CK15 random projection, d=222",logistic,72,3,222,0.36363636363636365,0.1839080459770115,within_genus_species,Burkholderia,69,clean,label
ckmer4_count_l2,CK4,nearest_centroid,67,2,135,0.5238095238095238,0.5138888888888888,target_background,Burkholderia,69,clean,target_binary
ckmer4_count_l2,CK4,logistic,67,2,135,0.6190476190476191,0.5333333333333333,target_background,Burkholderia,69,clean,target_binary
ckmer5_count_l2,CK5,nearest_centroid,67,2,453,0.5714285714285714,0.5552941176470588,target_background,Burkholderia,69,clean,target_binary
ckmer5_count_l2,CK5,logistic,67,2,453,0.5238095238095238,0.4951923076923077,target_background,Burkholderia,69,clean,target_binary
ckmer4_property_l2,CK4+P,nearest_centroid,67,2,146,0.6190476190476191,0.5961538461538461,target_background,Burkholderia,69,clean,target_binary
ckmer4_property_l2,CK4+P,logistic,67,2,146,0.6190476190476191,0.5333333333333333,target_background,Burkholderia,69,clean,target_binary
ck4p_msp,CK4P-MSP,nearest_centroid,67,2,222,0.5238095238095238,0.5138888888888888,target_background,Burkholderia,69,clean,target_binary
ck4p_msp,CK4P-MSP,logistic,67,2,222,0.6666666666666666,0.6100795755968169,target_background,Burkholderia,69,clean,target_binary
hash_k15_d222,"Hashed k=15, d=222",nearest_centroid,67,2,222,0.6190476190476191,0.5333333333333333,target_background,Burkholderia,69,clean,target_binary
hash_k15_d222,"Hashed k=15, d=222",logistic,67,2,222,0.6190476190476191,0.5333333333333333,target_background,Burkholderia,69,clean,target_binary
rp_ck15_d222,"CK15 random projection, d=222",nearest_centroid,67,2,222,0.6190476190476191,0.38235294117647056,target_background,Burkholderia,69,clean,target_binary
rp_ck15_d222,"CK15 random projection, d=222",logistic,67,2,222,0.6190476190476191,0.38235294117647056,target_background,Burkholderia,69,clean,target_binary
ckmer4_count_l2,CK4,nearest_centroid,119,4,136,0.2777777777777778,0.2739554154995331,within_genus_species,Candida,69,clean,label
ckmer4_count_l2,CK4,logistic,119,4,136,0.25,0.2374746963562753,within_genus_species,Candida,69,clean,label
ckmer5_count_l2,CK5,nearest_centroid,119,4,500,0.19444444444444445,0.1813186813186813,within_genus_species,Candida,69,clean,label
ckmer5_count_l2,CK5,logistic,119,4,500,0.2222222222222222,0.1908008658008658,within_genus_species,Candida,69,clean,label
ckmer4_property_l2,CK4+P,nearest_centroid,119,4,147,0.2777777777777778,0.273762077294686,within_genus_species,Candida,69,clean,label
