retrieval_top1,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95,mean_pair_margin,margin_positive_rate,length,condition,representation,representation_label,n_pairs,n_features,high_k,target_dim
1.0,0.9736808133193956,0.918390908644507,0.16809574266556238,0.40400137505151507,0.35696966021134974,1.0,69,substitution_1pct,ck4,CK4,250,136,,
1.0,0.953671899330328,0.8604221247412881,0.2239548862917685,0.5283332575667857,0.5944674767016013,1.0,69,substitution_1pct,ckmer5_count_l2,CK5,250,512,,
1.0,0.9868325491031238,0.9591363817915532,0.1189124718323098,0.2858791204288476,0.17902523541664006,1.0,69,substitution_1pct,ck4_p,CK4+P,250,147,,
1.0,0.9911901915133633,0.9726413615657833,0.0972869299776792,0.2339168417903585,0.1212272606859318,1.0,69,substitution_1pct,ck4p_msp,CK4P-MSP,250,222,,
1.0,0.8278123171636498,0.47270747684264375,0.42968731798806054,1.0269281704796298,0.638823575790418,1.0,69,substitution_1pct,hash_k15_d222,"Hashed k=15, d=222",250,222,15.0,222.0
1.0,0.9060904128811079,0.6985730527976729,0.3137066485398767,0.7764171499726069,0.7135944879535194,1.0,69,substitution_1pct,rp_ck15_d222,"CK15 random projection, d=222",250,222,15.0,222.0
1.0,0.9656456515936244,0.9505106870712773,0.2598309575465287,0.31460637679736564,0.3592542326588738,1.0,69,N_3pct,ck4,CK4,250,136,,
1.0,0.9402896182294713,0.9212998115212605,0.34304160079812435,0.3967371395297965,0.5868774090008051,1.0,69,N_3pct,ckmer5_count_l2,CK5,250,512,,
1.0,0.9818234526882876,0.9742426926135082,0.18921680564997825,0.22696765750097708,0.18030319194877314,1.0,69,N_3pct,ck4_p,CK4+P,250,147,,
1.0,0.9875511255824676,0.9825649945312064,0.15666633205679192,0.18673513361642635,0.12208911005943643,1.0,69,N_3pct,ck4p_msp,CK4P-MSP,250,222,,
1.0,0.7819785640282286,0.6622661785325219,0.6485925601066983,0.8218683854090971,0.5898848579265131,1.0,69,N_3pct,hash_k15_d222,"Hashed k=15, d=222",250,222,15.0,222.0
1.0,0.7798265578140738,0.6315926699608045,0.6493356109787259,0.8583786071141037,0.5891858399837129,1.0,69,N_3pct,rp_ck15_d222,"CK15 random projection, d=222",250,222,15.0,222.0
1.0,0.9769721154150125,0.9683342567918952,0.21303121194894958,0.2516574783633685,0.3615371601603508,1.0,69,trim_5bp,ck4,CK4,250,136,,
1.0,0.9674501575558315,0.9552898123286196,0.2538556561418688,0.2990311764319899,0.6092972631761451,1.0,69,trim_5bp,ckmer5_count_l2,CK5,250,512,,
1.0,0.9884500860463055,0.9841333385898366,0.15087893452774323,0.17813848666000745,0.18129101917251272,1.0,69,trim_5bp,ck4_p,CK4+P,250,147,,
1.0,0.9919015908339718,0.9890637524078312,0.12638812313106784,0.14789350522256123,0.12242280567763751,1.0,69,trim_5bp,ck4p_msp,CK4P-MSP,250,222,,
1.0,0.9533914739636739,0.9445248281896913,0.3046184516707328,0.33308520576435974,0.7640061015635567,1.0,69,trim_5bp,hash_k15_d222,"Hashed k=15, d=222",250,222,15.0,222.0
1.0,0.9556524686013855,0.9317022330791093,0.29322208269970035,0.3695870775656206,0.7665526318107152,1.0,69,trim_5bp,rp_ck15_d222,"CK15 random projection, d=222",250,222,15.0,222.0
1.0,0.9399293913450572,0.8723745925726736,0.33458311619858544,0.5052056276683053,0.3326286637566687,1.0,69,substitution_1pct_N_3pct,ck4,CK4,250,136,,
1.0,0.8967786830472396,0.7886375526733399,0.439455294527468,0.6501720101020653,0.5442230731715515,1.0,69,substitution_1pct_N_3pct,ckmer5_count_l2,CK5,250,512,,
1.0,0.9689620281276375,0.9352151820593492,0.24112148271024597,0.35994531560528437,0.1669624459883382,1.0,69,substitution_1pct_N_3pct,ck4_p,CK4+P,250,147,,
1.0,0.9789568826910489,0.9564453133350562,0.19875225043907163,0.2951344644619216,0.11319585518329253,1.0,69,substitution_1pct_N_3pct,ck4p_msp,CK4P-MSP,250,222,,
0.98,0.661399133383142,0.27498679009768157,0.7964343696964199,1.2041616287379455,0.47204512736651927,0.98,69,substitution_1pct_N_3pct,hash_k15_d222,"Hashed k=15, d=222",250,222,15.0,222.0
1.0,0.7134514084712875,0.4619767022946364,0.7396205069932805,1.0373257476533473,0.5241899910358162,1.0,69,substitution_1pct_N_3pct,rp_ck15_d222,"CK15 random projection, d=222",250,222,15.0,222.0
1.0,0.9207233188794334,0.8914755163941848,0.3948314984831153,0.4658851416222482,0.3128430167411335,1.0,69,local_mismatch_6bp,ck4,CK4,250,136,,
