panel,representation,cell_1,cell_2,value,metric
A,ck4,69,substitution_1pct,0.1609372031715278,standardized_drift
A,ck4p_msp,69,substitution_1pct,0.0931292297951307,standardized_drift
A,pseknc_k3_l3,69,substitution_1pct,0.0861450848503225,standardized_drift
A,ncp_anf,69,substitution_1pct,0.0848792501714986,standardized_drift
A,pseeiip,69,substitution_1pct,0.1194109639679075,standardized_drift
A,ck4,69,N_3pct,0.2627228030096423,standardized_drift
A,ck4p_msp,69,N_3pct,0.1582009242108077,standardized_drift
A,pseknc_k3_l3,69,N_3pct,0.1408385206005265,standardized_drift
A,ncp_anf,69,N_3pct,0.1703100826862634,standardized_drift
A,pseeiip,69,N_3pct,0.1914792713349679,standardized_drift
A,ck4,69,trim_5bp,0.2137283586329761,standardized_drift
A,ck4p_msp,69,trim_5bp,0.1268223682361521,standardized_drift
A,pseknc_k3_l3,69,trim_5bp,0.1291730608019208,standardized_drift
A,ncp_anf,69,trim_5bp,0.2619057988247438,standardized_drift
A,pseeiip,69,trim_5bp,0.1765285347655052,standardized_drift
A,ck4,69,substitution_1pct_N_3pct,0.3294454077175174,standardized_drift
A,ck4p_msp,69,substitution_1pct_N_3pct,0.1958618897548794,standardized_drift
A,pseknc_k3_l3,69,substitution_1pct_N_3pct,0.1749606773060606,standardized_drift
A,ncp_anf,69,substitution_1pct_N_3pct,0.2009591236470624,standardized_drift
A,pseeiip,69,substitution_1pct_N_3pct,0.2385381160887519,standardized_drift
A,ck4,69,short_indel,0.1256998926803363,standardized_drift
A,ck4p_msp,69,short_indel,0.0728452853684205,standardized_drift
A,pseknc_k3_l3,69,short_indel,0.0630686907049355,standardized_drift
A,ncp_anf,69,short_indel,0.3272828320810796,standardized_drift
A,pseeiip,69,short_indel,0.0855560480165,standardized_drift
A,ck4,69,local_mismatch_6bp,0.397342239896548,standardized_drift
A,ck4p_msp,69,local_mismatch_6bp,0.2308044479529724,standardized_drift
A,pseknc_k3_l3,69,local_mismatch_6bp,0.2296161538073765,standardized_drift
A,ncp_anf,69,local_mismatch_6bp,0.333405800941876,standardized_drift
A,pseeiip,69,local_mismatch_6bp,0.3169878101216939,standardized_drift
A,ck4,75,substitution_1pct,0.1446212981322754,standardized_drift
A,ck4p_msp,75,substitution_1pct,0.083690453823753,standardized_drift
A,pseknc_k3_l3,75,substitution_1pct,0.075676490404334,standardized_drift
A,ncp_anf,75,substitution_1pct,0.0780329250798325,standardized_drift
A,pseeiip,75,substitution_1pct,0.1054438509280917,standardized_drift
A,ck4,75,N_3pct,0.2454599967445739,standardized_drift
A,ck4p_msp,75,N_3pct,0.1478615629187687,standardized_drift
A,pseknc_k3_l3,75,N_3pct,0.1310387512182883,standardized_drift
A,ncp_anf,75,N_3pct,0.1595626235291813,standardized_drift
A,pseeiip,75,N_3pct,0.1781933477898208,standardized_drift
A,ck4,75,trim_5bp,0.198948942880259,standardized_drift
A,ck4p_msp,75,trim_5bp,0.1180639604278761,standardized_drift
A,pseknc_k3_l3,75,trim_5bp,0.1202022106752895,standardized_drift
A,ncp_anf,75,trim_5bp,0.2531763804142641,standardized_drift
A,pseeiip,75,trim_5bp,0.1649666702643072,standardized_drift
A,ck4,75,substitution_1pct_N_3pct,0.3180832929534827,standardized_drift
