split,classifier,accuracy,macro_f1,length,local_mode,representation,n_samples,n_features,accuracy_std,macro_f1_std
holdout,nearest_centroid,0.7797619047619048,0.7788136497882789,69,center,ck4,500,136,,
holdout,logistic,0.7916666666666666,0.7916592849803352,69,center,ck4,500,136,,
5fold_grouped_cv,nearest_centroid,0.782,0.7814448477725552,69,center,ck4,500,136,0.02039607805437116,0.019795571656765817
5fold_grouped_cv,logistic,0.796,0.7955806043950258,69,center,ck4,500,136,0.052000000000000005,0.05181758053424252
holdout,nearest_centroid,0.8095238095238095,0.8088465367657517,69,center,ck4p_msp,500,222,,
holdout,logistic,0.9702380952380952,0.9702117096350934,69,center,ck4p_msp,500,222,,
5fold_grouped_cv,nearest_centroid,0.8,0.7995514450535459,69,center,ck4p_msp,500,222,0.017888543819998284,0.017555189579918723
5fold_grouped_cv,logistic,0.9739999999999999,0.9739745690981655,69,center,ck4p_msp,500,222,0.010198039027185577,0.010218626331299939
holdout,nearest_centroid,0.6904761904761905,0.690300623936472,69,center,pseknc_k3_l3,500,67,,
holdout,logistic,0.8035714285714286,0.8033972835916168,69,center,pseknc_k3_l3,500,67,,
5fold_grouped_cv,nearest_centroid,0.7140000000000001,0.7129199479833053,69,center,pseknc_k3_l3,500,67,0.022449944320643633,0.02202763177124574
5fold_grouped_cv,logistic,0.818,0.8175276279758336,69,center,pseknc_k3_l3,500,67,0.021354156504062596,0.02114341550078061
holdout,nearest_centroid,0.9940476190476191,0.9940474081422952,69,center,ncp_anf,500,276,,
holdout,logistic,0.9523809523809523,0.9522727272727273,69,center,ncp_anf,500,276,,
5fold_grouped_cv,nearest_centroid,0.9940000000000001,0.9939993999399942,69,center,ncp_anf,500,276,0.004898979485566361,0.004899469432509571
5fold_grouped_cv,logistic,0.9659999999999999,0.9659497064615259,69,center,ncp_anf,500,276,0.01019803902718558,0.010238471244112429
holdout,nearest_centroid,0.6666666666666666,0.6664775950085082,69,center,pseeiip,500,64,,
holdout,logistic,0.7440476190476191,0.7440385501186975,69,center,pseeiip,500,64,,
5fold_grouped_cv,nearest_centroid,0.722,0.720980253026837,69,center,pseeiip,500,64,0.027856776554368263,0.027898357443834162
5fold_grouped_cv,logistic,0.7939999999999999,0.7934109860428896,69,center,pseeiip,500,64,0.03382306905057551,0.03344879302105016
holdout,nearest_centroid,0.7083333333333334,0.7017283234899815,69,jittered,ck4,500,136,,
holdout,logistic,0.7261904761904762,0.725216896600768,69,jittered,ck4,500,136,,
5fold_grouped_cv,nearest_centroid,0.698,0.6956481340834026,69,jittered,ck4,500,136,0.046647615158762396,0.049704611210135
5fold_grouped_cv,logistic,0.726,0.7255860642268139,69,jittered,ck4,500,136,0.04223742416388575,0.042818289284704616
holdout,nearest_centroid,0.7083333333333334,0.7017283234899815,69,jittered,ck4p_msp,500,222,,
holdout,logistic,0.8809523809523809,0.8805290854785948,69,jittered,ck4p_msp,500,222,,
