representation,classifier,n_samples,n_classes,n_features,accuracy,macro_f1,task,genus,length,condition,label_col
ck4,logistic,116,4,136,0.2571428571428571,0.25582645338837284,within_genus_species,Acinetobacter,69,clean,label
ck4p_msp,logistic,116,4,222,0.2,0.19742002063983488,within_genus_species,Acinetobacter,69,clean,label
pseknc_k3_l3,logistic,116,4,67,0.2,0.19652313266443702,within_genus_species,Acinetobacter,69,clean,label
ncp_anf,logistic,116,4,276,0.2571428571428571,0.25460164835164834,within_genus_species,Acinetobacter,69,clean,label
pseeiip,logistic,116,4,64,0.17142857142857143,0.1702017345399698,within_genus_species,Acinetobacter,69,clean,label
ck4,logistic,72,3,136,0.22727272727272727,0.18095238095238098,within_genus_species,Burkholderia,69,clean,label
ck4p_msp,logistic,72,3,222,0.18181818181818182,0.16209150326797386,within_genus_species,Burkholderia,69,clean,label
pseknc_k3_l3,logistic,72,3,67,0.4090909090909091,0.40307486631016043,within_genus_species,Burkholderia,69,clean,label
ncp_anf,logistic,72,3,276,0.18181818181818182,0.15654520917678813,within_genus_species,Burkholderia,69,clean,label
pseeiip,logistic,72,3,64,0.4090909090909091,0.40307486631016043,within_genus_species,Burkholderia,69,clean,label
ck4,logistic,72,2,136,0.5454545454545454,0.4270833333333333,target_background,Burkholderia,69,clean,target_binary
ck4p_msp,logistic,72,2,222,0.5909090909090909,0.5448275862068965,target_background,Burkholderia,69,clean,target_binary
pseknc_k3_l3,logistic,72,2,67,0.5454545454545454,0.47619047619047616,target_background,Burkholderia,69,clean,target_binary
ncp_anf,logistic,72,2,276,0.5,0.39950372208436724,target_background,Burkholderia,69,clean,target_binary
pseeiip,logistic,72,2,64,0.5,0.44367816091954027,target_background,Burkholderia,69,clean,target_binary
ck4,logistic,119,4,136,0.3055555555555556,0.3313492063492064,within_genus_species,Candida,69,clean,label
ck4p_msp,logistic,119,4,222,0.3333333333333333,0.33776680835504364,within_genus_species,Candida,69,clean,label
pseknc_k3_l3,logistic,119,4,67,0.2222222222222222,0.21805555555555556,within_genus_species,Candida,69,clean,label
ncp_anf,logistic,119,4,276,0.25,0.24618983957219254,within_genus_species,Candida,69,clean,label
pseeiip,logistic,119,4,64,0.2222222222222222,0.2087878787878788,within_genus_species,Candida,69,clean,label
ck4,logistic,93,2,136,0.6785714285714286,0.6571428571428571,target_background,Candida,69,clean,target_binary
ck4p_msp,logistic,93,2,222,0.6785714285714286,0.6199095022624435,target_background,Candida,69,clean,target_binary
pseknc_k3_l3,logistic,93,2,67,0.5714285714285714,0.5087719298245614,target_background,Candida,69,clean,target_binary
