representation,representation_label,repeat,order_in_repeat,length,n_reads,sampling,n_features,elapsed_seconds,seconds_per_read,milliseconds_per_10000_reads,checksum
ck4p_msp,CK4P-MSP,1,1,75,10000,deterministic seeded resampling with replacement,222,1.215833300000213,0.0001215833300000213,1215.833300000213,40.02124289879145
pseknc_k3_l3,"PseKNC (k=3, lambda=3)",1,2,75,10000,deterministic seeded resampling with replacement,67,26.211206400000265,0.0026211206400000263,26211.206400000265,23.71453953192968
ncp_anf,NCP+ANF,1,3,75,10000,deterministic seeded resampling with replacement,300,0.6610685000000558,6.610685000000558e-05,661.0685000000558,62.6156002642698
ck4,CK4,1,4,75,10000,deterministic seeded resampling with replacement,136,0.9568779999999606,9.568779999999607e-05,956.8779999999605,31.5034444945269
pseeiip,PseEIIP,1,5,75,10000,deterministic seeded resampling with replacement,64,0.4548605999998472,4.5486059999984715e-05,454.8605999998472,25.202192492520005
ncp_anf,NCP+ANF,2,1,75,10000,deterministic seeded resampling with replacement,300,0.6895092999998269,6.895092999998269e-05,689.5092999998269,62.6156002642698
ck4p_msp,CK4P-MSP,2,2,75,10000,deterministic seeded resampling with replacement,222,1.5067030999998678,0.00015067030999998677,1506.7030999998678,40.02124289879145
pseknc_k3_l3,"PseKNC (k=3, lambda=3)",2,3,75,10000,deterministic seeded resampling with replacement,67,42.57363380000015,0.004257363380000015,42573.633800000156,23.71453953192968
ck4,CK4,2,4,75,10000,deterministic seeded resampling with replacement,136,2.1533469000000878,0.00021533469000000878,2153.3469000000878,31.5034444945269
pseeiip,PseEIIP,2,5,75,10000,deterministic seeded resampling with replacement,64,0.885772299999644,8.85772299999644e-05,885.772299999644,25.202192492520005
ck4p_msp,CK4P-MSP,3,1,75,10000,deterministic seeded resampling with replacement,222,2.885506500000247,0.00028855065000002466,2885.506500000247,40.02124289879145
ncp_anf,NCP+ANF,3,2,75,10000,deterministic seeded resampling with replacement,300,1.0939898999999969,0.00010939898999999969,1093.9898999999969,62.6156002642698
pseeiip,PseEIIP,3,3,75,10000,deterministic seeded resampling with replacement,64,0.9082346999998663,9.082346999998662e-05,908.2346999998663,25.202192492520005
ck4,CK4,3,4,75,10000,deterministic seeded resampling with replacement,136,2.135171600000376,0.00021351716000003761,2135.171600000376,31.5034444945269
pseknc_k3_l3,"PseKNC (k=3, lambda=3)",3,5,75,10000,deterministic seeded resampling with replacement,67,58.8788112000002,0.00588788112000002,58878.8112000002,23.71453953192968
pseeiip,PseEIIP,4,1,75,10000,deterministic seeded resampling with replacement,64,0.8852971999999681,8.852971999999682e-05,885.2971999999681,25.202192492520005
ck4,CK4,4,2,75,10000,deterministic seeded resampling with replacement,136,2.265186300000096,0.0002265186300000096,2265.186300000096,31.5034444945269
ncp_anf,NCP+ANF,4,3,75,10000,deterministic seeded resampling with replacement,300,1.0998924000000443,0.00010998924000000443,1099.8924000000443,62.6156002642698
ck4p_msp,CK4P-MSP,4,4,75,10000,deterministic seeded resampling with replacement,222,2.860750899999857,0.0002860750899999857,2860.750899999857,40.02124289879145
pseknc_k3_l3,"PseKNC (k=3, lambda=3)",4,5,75,10000,deterministic seeded resampling with replacement,67,58.014007599999786,0.005801400759999979,58014.007599999786,23.71453953192968
pseknc_k3_l3,"PseKNC (k=3, lambda=3)",5,1,75,10000,deterministic seeded resampling with replacement,67,58.4348986,0.0058434898599999995,58434.8986,23.71453953192968
ncp_anf,NCP+ANF,5,2,75,10000,deterministic seeded resampling with replacement,300,1.104713400000037,0.00011047134000000369,1104.713400000037,62.6156002642698
ck4p_msp,CK4P-MSP,5,3,75,10000,deterministic seeded resampling with replacement,222,2.709213699999964,0.0002709213699999964,2709.213699999964,40.02124289879145
ck4,CK4,5,4,75,10000,deterministic seeded resampling with replacement,136,2.1526503999998567,0.00021526503999998568,2152.6503999998567,31.5034444945269
pseeiip,PseEIIP,5,5,75,10000,deterministic seeded resampling with replacement,64,0.9164464000000407,9.164464000000408e-05,916.4464000000407,25.202192492520005
ck4,CK4,1,1,75,100000,deterministic seeded resampling with replacement,136,21.725285400000303,0.00021725285400000304,2172.5285400000303,30.7843082560459
pseeiip,PseEIIP,1,2,75,100000,deterministic seeded resampling with replacement,64,8.533978599999955,8.533978599999955e-05,853.3978599999955,26.217198474606402
ck4p_msp,CK4P-MSP,1,3,75,100000,deterministic seeded resampling with replacement,222,28.72203649999983,0.0002872203649999983,2872.203649999983,39.482146236107525
ncp_anf,NCP+ANF,1,4,75,100000,deterministic seeded resampling with replacement,300,11.212098399999832,0.00011212098399999832,1121.2098399999832,61.20791580752885
pseknc_k3_l3,"PseKNC (k=3, lambda=3)",1,5,75,100000,deterministic seeded resampling with replacement,67,601.0380403999998,0.006010380403999998,60103.80403999998,24.240733846952626
