retrieval_top1,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95,mean_pair_margin,margin_positive_rate,length,condition,representation,n_pairs,n_features,density,avg_nnz_per_read
1.0,0.9746108403340753,0.9179907963231079,0.16093720317152788,0.40499179236820737,0.3468604386073559,1.0,69,substitution_1pct,ck4,400,136,0.3538970588235294,48.13
1.0,0.9915025342993848,0.9725447837929806,0.09312922979513072,0.23432973407623728,0.11775812400354291,1.0,69,substitution_1pct,ck4p_msp,400,222,0.5320045045045045,118.105
1.0,0.9927444559622333,0.9770552412138159,0.08614508485032257,0.21421838546577845,0.11248414082401098,1.0,69,substitution_1pct,pseknc_k3_l3,400,67,0.6109328358208955,40.9325
1.0,0.9930626870428108,0.9791460785607988,0.08487925017149864,0.20422497418041433,0.3458236375547634,1.0,69,substitution_1pct,ncp_anf,400,276,0.6205163043478261,171.2625
1.0,0.986005614206548,0.9536550493760433,0.11941096396790755,0.3044501145370965,0.21586688821445865,1.0,69,substitution_1pct,pseeiip,400,64,0.5926953125,37.9325
1.0,0.9648224874186593,0.9497638951095937,0.26272280300964235,0.31697348837934947,0.3448279397950034,1.0,69,N_3pct,ck4,400,136,0.3384283088235294,46.02625
1.0,0.9872896816713111,0.9822602169668841,0.1582009242108077,0.18836018573058302,0.11719070812656503,1.0,69,N_3pct,ck4p_msp,400,222,0.5402927927927927,119.945
1.0,0.98990129167037,0.9851505464908948,0.14083852060052654,0.17233362017290776,0.1084073114409179,1.0,69,N_3pct,pseknc_k3_l3,400,67,0.5964738805970149,39.96375
1.0,0.9850184159316469,0.97532988867461,0.17031008268626346,0.22212642537428318,0.3446613959021219,1.0,69,N_3pct,ncp_anf,400,276,0.6147282608695652,169.665
1.0,0.9811268192612177,0.967655610344625,0.19147927133496798,0.25433920517903424,0.21560532422831236,1.0,69,N_3pct,pseeiip,400,64,0.57755859375,36.96375
1.0,0.9768632621222738,0.9677730911464373,0.2137283586329761,0.253877447692481,0.35219724205421943,1.0,69,trim_5bp,ck4,400,136,0.34355698529411766,46.72375
1.0,0.991860668793522,0.9887738810366037,0.12682236823615217,0.1498406084854034,0.11926582843223725,1.0,69,trim_5bp,ck4p_msp,400,222,0.5256306306306306,116.69
1.0,0.9915309246379544,0.988068784854426,0.12917306080192084,0.1544746460676658,0.11503512633865785,1.0,69,trim_5bp,pseknc_k3_l3,400,67,0.5980223880597015,40.0675
1.0,0.9651842873714753,0.9491673617016294,0.2619057988247438,0.3188495804429467,0.33431827291271654,1.0,69,trim_5bp,ncp_anf,400,276,0.6072282608695653,167.595
1.0,0.9840639893255365,0.9759761398311765,0.17652853476550523,0.21919782175940658,0.21808551198893647,1.0,69,trim_5bp,pseeiip,400,64,0.5791796875,37.0675
1.0,0.9417534122033069,0.8733832773268577,0.32944540771751746,0.5032208725973173,0.3233644439588526,1.0,69,substitution_1pct_N_3pct,ck4,400,136,0.33838235294117647,46.02
1.0,0.9795567154219169,0.9566024721705929,0.19586188975487942,0.2946092966704606,0.11001154134854235,1.0,69,substitution_1pct_N_3pct,ck4p_msp,400,222,0.540045045045045,119.89
1.0,0.9837210038702148,0.9668961290154823,0.1749606773060606,0.2573086459985696,0.10334075793139962,1.0,69,substitution_1pct_N_3pct,pseknc_k3_l3,400,67,0.5969589552238806,39.99625
1.0,0.9787460145895053,0.9610238131097161,0.2009591236470624,0.2791982010680304,0.3386523843496822,1.0,69,substitution_1pct_N_3pct,ncp_anf,400,276,0.6147644927536232,169.675
