length,local_mode,representation,representation_label,target,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,n_templates,n_features,cv_folds
69,center,ck4,CK4,spatial_pattern,0.7929999999999999,0.022494443758403974,0.7928237555667784,0.022389511406692344,250,136,5
69,center,ck4,CK4,chemistry,0.504,0.012806248474865708,0.5022590330276537,0.013855504084869312,250,136,5
69,center,p,P,spatial_pattern,0.4790000000000001,0.02922327839240492,0.47422939925682306,0.03136971212405001,250,11,5
69,center,p,P,chemistry,0.659,0.029563490998188943,0.6545845919967161,0.02886949287948065,250,11,5
69,center,msp,MSP,spatial_pattern,0.9550000000000001,0.021679483388678793,0.9548780258313115,0.02177513707623311,250,75,5
69,center,msp,MSP,chemistry,0.8800000000000001,0.018708286933869722,0.8796187826632889,0.019058571938528408,250,75,5
69,center,ck4_p,CK4+P,spatial_pattern,0.7849999999999999,0.020976176963403047,0.7848105240588203,0.02085547013512151,250,147,5
69,center,ck4_p,CK4+P,chemistry,0.6180000000000001,0.04388621651498338,0.6168820680787713,0.043582584780134555,250,147,5
69,center,ck4_msp,CK4+MSP,spatial_pattern,0.958,0.015999999999999983,0.9579423128046486,0.01606412398729985,250,211,5
69,center,ck4_msp,CK4+MSP,chemistry,0.791,0.02517935662402833,0.7904797466664719,0.025492924945598808,250,211,5
69,center,p_msp,P+MSP,spatial_pattern,0.9560000000000001,0.021771541057077234,0.9559126692498474,0.021841872820033414,250,86,5
69,center,p_msp,P+MSP,chemistry,0.861,0.03039736830714132,0.8604471098709743,0.03116617360129115,250,86,5
69,center,ck4p_msp,CK4P-MSP,spatial_pattern,0.952,0.017492855684535884,0.95190759581994,0.01759732202973582,250,222,5
69,center,ck4p_msp,CK4P-MSP,chemistry,0.7899999999999999,0.034496376621320664,0.7895061360041605,0.03452910612708055,250,222,5
69,jittered,ck4,CK4,spatial_pattern,0.8379999999999999,0.033256578296631784,0.8376902161763532,0.033279668831324286,250,136,5
69,jittered,ck4,CK4,chemistry,0.499,0.016552945357246864,0.49685095847374505,0.015383752222958121,250,136,5
69,jittered,p,P,spatial_pattern,0.5329999999999999,0.02908607914449797,0.5319660580823585,0.029199213738550892,250,11,5
69,jittered,p,P,chemistry,0.6100000000000001,0.018708286933869722,0.6049651463118803,0.024284298412467233,250,11,5
69,jittered,msp,MSP,spatial_pattern,0.8870000000000001,0.019390719429665335,0.8863319654471352,0.019906276794003856,250,75,5
69,jittered,msp,MSP,chemistry,0.613,0.04308131845707607,0.6124066829748349,0.04283068174364167,250,75,5
69,jittered,ck4_p,CK4+P,spatial_pattern,0.833,0.022494443758403954,0.8329081628925568,0.022546561757209836,250,147,5
69,jittered,ck4_p,CK4+P,chemistry,0.6039999999999999,0.017720045146669368,0.6004550020957017,0.01573199122809199,250,147,5
69,jittered,ck4_msp,CK4+MSP,spatial_pattern,0.925,0.03492849839314594,0.9248348315397523,0.03517432506434332,250,211,5
69,jittered,ck4_msp,CK4+MSP,chemistry,0.588,0.030757112998459405,0.5868513720046272,0.029495434707475038,250,211,5
69,jittered,p_msp,P+MSP,spatial_pattern,0.892,0.018330302779823376,0.89157329448565,0.018564346941384053,250,86,5
69,jittered,p_msp,P+MSP,chemistry,0.6729999999999999,0.031240998703626597,0.672189349713797,0.03124656928986282,250,86,5
69,jittered,ck4p_msp,CK4P-MSP,spatial_pattern,0.924,0.03056141357987224,0.9238412995317875,0.030784623564028148,250,222,5
69,jittered,ck4p_msp,CK4P-MSP,chemistry,0.639,0.01593737745050924,0.6369324361123903,0.01457424067102168,250,222,5
69,left,ck4,CK4,spatial_pattern,0.8219999999999998,0.0338526217596215,0.8216572643703547,0.03414871636459174,250,136,5
69,left,ck4,CK4,chemistry,0.509,0.02922327839240494,0.5074043258594557,0.031083949703775843,250,136,5
69,left,p,P,spatial_pattern,0.48100000000000004,0.05808614292583045,0.4796596421077264,0.05874670002576273,250,11,5
69,left,p,P,chemistry,0.63,0.045276925690687087,0.6289968236765736,0.04467583553380753,250,11,5
69,left,msp,MSP,spatial_pattern,0.9840000000000002,0.009695359714832668,0.9839901392708261,0.00971174406750726,250,75,5
69,left,msp,MSP,chemistry,0.8950000000000001,0.010488088481701525,0.8948186774352541,0.010660229923725563,250,75,5
69,left,ck4_p,CK4+P,spatial_pattern,0.818,0.02158703314492288,0.8175685796270793,0.0219966974938959,250,147,5
69,left,ck4_p,CK4+P,chemistry,0.587,0.03586084215408221,0.5863941691681392,0.03621957690676851,250,147,5
69,left,ck4_msp,CK4+MSP,spatial_pattern,0.9719999999999999,0.014352700094407337,0.9719647799134468,0.014395039828843109,250,211,5
69,left,ck4_msp,CK4+MSP,chemistry,0.8220000000000001,0.018601075237738254,0.821824593304304,0.018639080665527538,250,211,5
69,left,p_msp,P+MSP,spatial_pattern,0.984,0.009695359714832668,0.9839901392708261,0.00971174406750726,250,86,5
69,left,p_msp,P+MSP,chemistry,0.876,0.021307275752662537,0.8758148955688068,0.021388321056311457,250,86,5
69,left,ck4p_msp,CK4P-MSP,spatial_pattern,0.976,0.012409673645990868,0.9759738573429442,0.012441963211281508,250,222,5
69,left,ck4p_msp,CK4P-MSP,chemistry,0.8079999999999998,0.03501428280002318,0.8076997479036514,0.03503246133130131,250,222,5
69,right,ck4,CK4,spatial_pattern,0.844,0.018000000000000016,0.8438956303619903,0.017963444175660974,250,136,5
69,right,ck4,CK4,chemistry,0.492,0.027313000567495332,0.49106277155411837,0.028417414367228312,250,136,5
69,right,p,P,spatial_pattern,0.487,0.04433959855479075,0.4846541977431597,0.045190856885585586,250,11,5
69,right,p,P,chemistry,0.647,0.018055470085267807,0.6466507709654752,0.018298313321700885,250,11,5
69,right,msp,MSP,spatial_pattern,0.9800000000000001,0.013038404810405309,0.9799790621873201,0.013072857044406692,250,75,5
69,right,msp,MSP,chemistry,0.8620000000000001,0.02541653005427769,0.8617654876235961,0.02545821720350404,250,75,5
69,right,ck4_p,CK4+P,spatial_pattern,0.836,0.022891046284519174,0.835937543822002,0.022897143997483674,250,147,5
69,right,ck4_p,CK4+P,chemistry,0.609,0.023323807579381222,0.6085042647452978,0.02321282215577022,250,147,5
69,right,ck4_msp,CK4+MSP,spatial_pattern,0.9709999999999999,0.012806248474865708,0.9709676071457904,0.012847189748078698,250,211,5
69,right,ck4_msp,CK4+MSP,chemistry,0.782,0.011661903789690611,0.7816169565680126,0.012001556921871832,250,211,5
69,right,p_msp,P+MSP,spatial_pattern,0.984,0.008602325267042634,0.9839920943228296,0.008611616551070038,250,86,5
69,right,p_msp,P+MSP,chemistry,0.8549999999999999,0.0284604989415154,0.8547029286227008,0.028550921919206135,250,86,5
69,right,ck4p_msp,CK4P-MSP,spatial_pattern,0.9709999999999999,0.01200000000000001,0.9709666566268093,0.012042388363836025,250,222,5
69,right,ck4p_msp,CK4P-MSP,chemistry,0.783,0.009273618495495711,0.7828329930044287,0.009149277579483915,250,222,5
100,center,ck4,CK4,spatial_pattern,0.9549999999999998,0.012247448713915865,0.9549700434345679,0.012263965091360709,250,136,5
100,center,ck4,CK4,chemistry,0.511,0.014966629547095779,0.5090449446237006,0.016156746305511383,250,136,5
100,center,p,P,spatial_pattern,0.491,0.02416609194718915,0.4889461323774416,0.023731541844804197,250,11,5
100,center,p,P,chemistry,0.7050000000000001,0.027386127875258293,0.7039129366151592,0.027471353040014322,250,11,5
100,center,msp,MSP,spatial_pattern,0.968,0.013266499161421611,0.9679558417126257,0.013321419739217945,250,75,5
100,center,msp,MSP,chemistry,0.746,0.011135528725660053,0.7456552993763241,0.010989696248645408,250,75,5
100,center,ck4_p,CK4+P,spatial_pattern,0.9480000000000001,0.015362291495737179,0.9479534301731218,0.015400470471251341,250,147,5
100,center,ck4_p,CK4+P,chemistry,0.643,0.022934689882359447,0.6411709413121401,0.023971811582097338,250,147,5
100,center,ck4_msp,CK4+MSP,spatial_pattern,0.986,0.00489897948556636,0.9859961986594818,0.004902410290512393,250,211,5
100,center,ck4_msp,CK4+MSP,chemistry,0.712,0.012884098726725137,0.7117916950868615,0.012841161503270335,250,211,5
100,center,p_msp,P+MSP,spatial_pattern,0.968,0.013266499161421611,0.9679530393309953,0.013322044370976838,250,86,5
100,center,p_msp,P+MSP,chemistry,0.772,0.03155946767611903,0.7718543366485221,0.03144832074031603,250,86,5
100,center,ck4p_msp,CK4P-MSP,spatial_pattern,0.986,0.00489897948556636,0.9859961986594818,0.004902410290512393,250,222,5
100,center,ck4p_msp,CK4P-MSP,chemistry,0.726,0.013928388277184131,0.7257836491014604,0.013933773790811484,250,222,5
100,jittered,ck4,CK4,spatial_pattern,0.942,0.009797958971132682,0.9419479677638712,0.009838481861218553,250,136,5
100,jittered,ck4,CK4,chemistry,0.5,0.029832867780352608,0.49868071021362115,0.029444440335090742,250,136,5
100,jittered,p,P,spatial_pattern,0.504,0.028000000000000025,0.5019127709150492,0.028668761416083825,250,11,5
100,jittered,p,P,chemistry,0.727,0.02357965224510321,0.7261462899984772,0.022712511181129862,250,11,5
100,jittered,msp,MSP,spatial_pattern,0.9099999999999999,0.013784048752090234,0.9097646401746186,0.013840479744299411,250,75,5
100,jittered,msp,MSP,chemistry,0.644,0.018000000000000016,0.6436276469422355,0.018174729272330194,250,75,5
100,jittered,ck4_p,CK4+P,spatial_pattern,0.9410000000000001,0.012409673645990818,0.9409383615346876,0.012431965279747503,250,147,5
100,jittered,ck4_p,CK4+P,chemistry,0.655,0.010000000000000009,0.6545725595727406,0.01015506471201486,250,147,5
100,jittered,ck4_msp,CK4+MSP,spatial_pattern,0.9729999999999999,0.014696938456699083,0.9729746791414501,0.014738547763394191,250,211,5
100,jittered,ck4_msp,CK4+MSP,chemistry,0.635,0.02428991560298226,0.6346727464391811,0.024529498641420577,250,211,5
100,jittered,p_msp,P+MSP,spatial_pattern,0.916,0.022891046284519184,0.9159095481596854,0.022872525620473726,250,86,5
100,jittered,p_msp,P+MSP,chemistry,0.696,0.04270831300812524,0.695532667640949,0.04273947197337337,250,86,5
100,jittered,ck4p_msp,CK4P-MSP,spatial_pattern,0.9719999999999999,0.012083045973594584,0.971978772503277,0.012111205626458425,250,222,5
100,jittered,ck4p_msp,CK4P-MSP,chemistry,0.6799999999999999,0.012649110640673485,0.6790404975331701,0.01349548628397791,250,222,5
100,left,ck4,CK4,spatial_pattern,0.9389999999999998,0.02154065922853798,0.9389884212291921,0.021543728952604913,250,136,5
100,left,ck4,CK4,chemistry,0.506,0.030724582991474438,0.5055549994995496,0.030752260025497382,250,136,5
100,left,p,P,spatial_pattern,0.522,0.02731300056749535,0.5215714101572402,0.027208202195631765,250,11,5
100,left,p,P,chemistry,0.6900000000000001,0.010488088481701482,0.6891278542228141,0.011133014034373273,250,11,5
100,left,msp,MSP,spatial_pattern,0.986,0.006633249580710806,0.9859952977212082,0.006638484388115289,250,75,5
100,left,msp,MSP,chemistry,0.777,0.030757112998459395,0.7764543162930672,0.03036390147395326,250,75,5
100,left,ck4_p,CK4+P,spatial_pattern,0.938,0.026381811916545806,0.9379834403553297,0.02638540000945645,250,147,5
100,left,ck4_p,CK4+P,chemistry,0.627,0.016911534525287777,0.6269013674511177,0.01682800683460787,250,147,5
100,left,ck4_msp,CK4+MSP,spatial_pattern,0.99,0.007071067811865481,0.9899974991872078,0.007073791300035735,250,211,5
100,left,ck4_msp,CK4+MSP,chemistry,0.738,0.02767670500619612,0.7376771327422957,0.027749258844594248,250,211,5
100,left,p_msp,P+MSP,spatial_pattern,0.9870000000000001,0.006782329983125274,0.9869957728531155,0.006787855402461811,250,86,5
100,left,p_msp,P+MSP,chemistry,0.7909999999999999,0.020591260281973986,0.7902006683960995,0.020623114107010468,250,86,5
100,left,ck4p_msp,CK4P-MSP,spatial_pattern,0.991,0.0073484692283495405,0.9909976742065847,0.007351389364254659,250,222,5
100,left,ck4p_msp,CK4P-MSP,chemistry,0.736,0.022891046284519212,0.7355921387959291,0.022714514927498812,250,222,5
100,right,ck4,CK4,spatial_pattern,0.924,0.0058309518948453055,0.9239559272974969,0.005885746068977056,250,136,5
100,right,ck4,CK4,chemistry,0.509,0.019849433241279225,0.5084770015698127,0.01972322824389507,250,136,5
100,right,p,P,spatial_pattern,0.48200000000000004,0.03906404996924923,0.48127981774441775,0.03934211002431467,250,11,5
100,right,p,P,chemistry,0.6849999999999999,0.045387222871640855,0.6842561465440687,0.045006788606327154,250,11,5
100,right,msp,MSP,spatial_pattern,0.984,0.007348469228349541,0.9839934467445144,0.00735384096484806,250,75,5
100,right,msp,MSP,chemistry,0.7670000000000001,0.02039607805437116,0.7657371062356367,0.02042989127629983,250,75,5
100,right,ck4_p,CK4+P,spatial_pattern,0.9190000000000002,0.011135528725660053,0.9189302357142097,0.011219828746644015,250,147,5
100,right,ck4_p,CK4+P,chemistry,0.609,0.021771541057077258,0.6075598616074527,0.02249804945928221,250,147,5
100,right,ck4_msp,CK4+MSP,spatial_pattern,0.983,0.008124038404635967,0.9829916191909225,0.00813290982868956,250,211,5
100,right,ck4_msp,CK4+MSP,chemistry,0.702,0.02420743687382039,0.7001387402065387,0.024940448697123037,250,211,5
100,right,p_msp,P+MSP,spatial_pattern,0.982,0.009273618495495713,0.9819896425203926,0.009283110848131819,250,86,5
100,right,p_msp,P+MSP,chemistry,0.772,0.018867962264113226,0.7706209862708279,0.019144629528989227,250,86,5
100,right,ck4p_msp,CK4P-MSP,spatial_pattern,0.983,0.006782329983125274,0.982992971612607,0.006787191298595887,250,222,5
100,right,ck4p_msp,CK4P-MSP,chemistry,0.7129999999999999,0.02580697580112788,0.7116981049061659,0.025872424601458142,250,222,5
150,center,ck4,CK4,spatial_pattern,0.983,0.012083045973594582,0.9829856041627341,0.012107087239651086,250,136,5
150,center,ck4,CK4,chemistry,0.553,0.033406586176980106,0.5526370148910994,0.03323042276591458,250,136,5
150,center,p,P,spatial_pattern,0.535,0.035637059362410926,0.5338947112572949,0.03693738603994488,250,11,5
150,center,p,P,chemistry,0.6519999999999999,0.018601075237738292,0.6517573686267554,0.01840618044335594,250,11,5
150,center,msp,MSP,spatial_pattern,0.976,0.0058309518948453055,0.9759837875247325,0.00584047138998199,250,75,5
150,center,msp,MSP,chemistry,0.635,0.0268328157299975,0.634308638459304,0.02688594179541434,250,75,5
150,center,ck4_p,CK4+P,spatial_pattern,0.983,0.010295630140987009,0.982988913669949,0.010310811922519193,250,147,5
150,center,ck4_p,CK4+P,chemistry,0.635,0.015165750888103116,0.6346459770100907,0.014776615037648617,250,147,5
150,center,ck4_msp,CK4+MSP,spatial_pattern,0.985,0.008366600265340763,0.9849930198111767,0.008376141583094363,250,211,5
150,center,ck4_msp,CK4+MSP,chemistry,0.6140000000000001,0.022891046284519215,0.6133952100016478,0.023058208842154794,250,211,5
150,center,p_msp,P+MSP,spatial_pattern,0.9799999999999999,0.005477225575051666,0.9799903447907929,0.005482569567528696,250,86,5
150,center,p_msp,P+MSP,chemistry,0.709,0.021771541057077237,0.7086943879691469,0.021768371056541277,250,86,5
150,center,ck4p_msp,CK4P-MSP,spatial_pattern,0.99,0.004472135954999583,0.9899983996749298,0.0044735897475332185,250,222,5
150,center,ck4p_msp,CK4P-MSP,chemistry,0.668,0.032649655434629006,0.6676141915497704,0.032709691170728736,250,222,5
150,jittered,ck4,CK4,spatial_pattern,0.9869999999999999,0.00509901951359279,0.9869968240352984,0.005101589706533397,250,136,5
150,jittered,ck4,CK4,chemistry,0.493,0.019899748742132416,0.49248534411592226,0.02003261077818308,250,136,5
150,jittered,p,P,spatial_pattern,0.5,0.010954451150103331,0.4932853013746173,0.012465401848770217,250,11,5
150,jittered,p,P,chemistry,0.646,0.04115823125451334,0.6453240849896817,0.0410916229722804,250,11,5
150,jittered,msp,MSP,spatial_pattern,0.9339999999999999,0.025961509971494313,0.9338991164060364,0.026087608596246804,250,75,5
150,jittered,msp,MSP,chemistry,0.5850000000000001,0.019748417658131484,0.5843356827434985,0.019784098801846665,250,75,5
150,jittered,ck4_p,CK4+P,spatial_pattern,0.983,0.006782329983125274,0.982992971612607,0.006787191298595887,250,147,5
150,jittered,ck4_p,CK4+P,chemistry,0.62,0.022135943621178676,0.6197456319119433,0.02227517916816807,250,147,5
150,jittered,ck4_msp,CK4+MSP,spatial_pattern,0.9879999999999999,0.007483314773547889,0.9879963986794837,0.0074866303087065015,250,211,5
150,jittered,ck4_msp,CK4+MSP,chemistry,0.556,0.021307275752662492,0.5557967911134198,0.021203564254533083,250,211,5
150,jittered,p_msp,P+MSP,spatial_pattern,0.9400000000000001,0.02509980079602224,0.9399098054225888,0.025206520148584325,250,86,5
150,jittered,p_msp,P+MSP,chemistry,0.6639999999999999,0.043289721643826724,0.663605854521666,0.04313874927617647,250,86,5
150,jittered,ck4p_msp,CK4P-MSP,spatial_pattern,0.9899999999999999,0.007071067811865481,0.9899974991872078,0.007073791300035735,250,222,5
150,jittered,ck4p_msp,CK4P-MSP,chemistry,0.6490000000000001,0.013928388277184131,0.6487429049919691,0.013916572437429997,250,222,5
150,left,ck4,CK4,spatial_pattern,0.986,0.008000000000000007,0.9859945472522382,0.00800552841556506,250,136,5
150,left,ck4,CK4,chemistry,0.49800000000000005,0.02874021572639984,0.49655932333518854,0.029949169415121213,250,136,5
150,left,p,P,spatial_pattern,0.484,0.01319090595827293,0.4785566956099088,0.013805907498486298,250,11,5
150,left,p,P,chemistry,0.67,0.0264575131106459,0.6685889079665398,0.02721653360110121,250,11,5
150,left,msp,MSP,spatial_pattern,0.991,0.006633249580710805,0.990997974319115,0.006635949311945557,250,75,5
150,left,msp,MSP,chemistry,0.6719999999999999,0.021587033144922902,0.6715694297665372,0.02162594393832876,250,75,5
150,left,ck4_p,CK4+P,spatial_pattern,0.986,0.008000000000000007,0.9859945472522382,0.00800552841556506,250,147,5
150,left,ck4_p,CK4+P,chemistry,0.611,0.012409673645990868,0.6105690821123619,0.012778256196408766,250,147,5
150,left,ck4_msp,CK4+MSP,spatial_pattern,0.9960000000000001,0.0037416573867739447,0.9959997499787481,0.0037419915000309104,250,211,5
150,left,ck4_msp,CK4+MSP,chemistry,0.621,0.022891046284519212,0.6203111707560127,0.022220485783223286,250,211,5
150,left,p_msp,P+MSP,spatial_pattern,0.991,0.008000000000000007,0.9909975241878326,0.00800273235266178,250,86,5
150,left,p_msp,P+MSP,chemistry,0.71,0.028809720581775857,0.7093611733676606,0.028666788507158265,250,86,5
150,left,ck4p_msp,CK4P-MSP,spatial_pattern,0.9950000000000001,0.004472135954999583,0.9949995749593711,0.004472583215836832,250,222,5
150,left,ck4p_msp,CK4P-MSP,chemistry,0.6639999999999999,0.023537204591879628,0.6637966891299356,0.023515226033815582,250,222,5
150,right,ck4,CK4,spatial_pattern,0.978,0.015684387141358135,0.9779750078819276,0.015713996164568686,250,136,5
150,right,ck4,CK4,chemistry,0.479,0.01933907960581371,0.4774453515347689,0.019334957698097253,250,136,5
150,right,p,P,spatial_pattern,0.48600000000000004,0.033075670817082466,0.48443698991491413,0.03269678805066686,250,11,5
150,right,p,P,chemistry,0.675,0.024083189157584572,0.6746748921378941,0.0242428077339036,250,11,5
150,right,msp,MSP,spatial_pattern,0.992,0.0040000000000000036,0.9919990498262138,0.004001225284987333,250,75,5
150,right,msp,MSP,chemistry,0.658,0.024413111231467395,0.6574999275944103,0.024917415263910194,250,75,5
150,right,ck4_p,CK4+P,spatial_pattern,0.978,0.017204650534085267,0.9779677318187223,0.017247638739324642,250,147,5
150,right,ck4_p,CK4+P,chemistry,0.615,0.036331804249169895,0.6143375538605212,0.03632349809705012,250,147,5
150,right,ck4_msp,CK4+MSP,spatial_pattern,0.993,0.00509901951359279,0.9929990748268388,0.005100176876840072,250,211,5
150,right,ck4_msp,CK4+MSP,chemistry,0.61,0.01923538406167136,0.6097760118672835,0.019108797976729357,250,211,5
150,right,p_msp,P+MSP,spatial_pattern,0.993,0.0024494897427831805,0.992999524958121,0.002449918450951854,250,86,5
150,right,p_msp,P+MSP,chemistry,0.7220000000000001,0.039319206502675036,0.721865695247562,0.03929686029222853,250,86,5
150,right,ck4p_msp,CK4P-MSP,spatial_pattern,0.994,0.0037416573867739447,0.9939995499587461,0.0037420716884267327,250,222,5
150,right,ck4p_msp,CK4P-MSP,chemistry,0.675,0.03331666249791536,0.6749266271816647,0.033240193465605986,250,222,5
