sample_id,length,local_mode,representation,representation_label,variant,spatial_pattern,chemistry,l2_drift,n_features
L69_center_00000,69,center,ck4,CK4,dispersed_random,dispersed,random,0.38375222950969073,136
L69_center_00001,69,center,ck4,CK4,dispersed_random,dispersed,random,0.3865900819941633,136
L69_center_00002,69,center,ck4,CK4,dispersed_random,dispersed,random,0.4398226310670825,136
L69_center_00003,69,center,ck4,CK4,dispersed_random,dispersed,random,0.324281016404495,136
L69_center_00004,69,center,ck4,CK4,dispersed_random,dispersed,random,0.4287051026134091,136
L69_center_00005,69,center,ck4,CK4,dispersed_random,dispersed,random,0.3805221492036315,136
L69_center_00006,69,center,ck4,CK4,dispersed_random,dispersed,random,0.3469133983697077,136
L69_center_00007,69,center,ck4,CK4,dispersed_random,dispersed,random,0.4102676829587255,136
L69_center_00008,69,center,ck4,CK4,dispersed_random,dispersed,random,0.43584752922064895,136
L69_center_00009,69,center,ck4,CK4,dispersed_random,dispersed,random,0.41793689972955145,136
L69_center_00010,69,center,ck4,CK4,dispersed_random,dispersed,random,0.30466133916825855,136
L69_center_00011,69,center,ck4,CK4,dispersed_random,dispersed,random,0.4009963098498395,136
L69_center_00012,69,center,ck4,CK4,dispersed_random,dispersed,random,0.43118974675129923,136
L69_center_00013,69,center,ck4,CK4,dispersed_random,dispersed,random,0.39561133666904696,136
L69_center_00014,69,center,ck4,CK4,dispersed_random,dispersed,random,0.43978210060834516,136
L69_center_00015,69,center,ck4,CK4,dispersed_random,dispersed,random,0.26972537270552976,136
L69_center_00016,69,center,ck4,CK4,dispersed_random,dispersed,random,0.46362761617459547,136
L69_center_00017,69,center,ck4,CK4,dispersed_random,dispersed,random,0.32901153193317956,136
L69_center_00018,69,center,ck4,CK4,dispersed_random,dispersed,random,0.4125684985035174,136
L69_center_00019,69,center,ck4,CK4,dispersed_random,dispersed,random,0.3942636878361688,136
L69_center_00020,69,center,ck4,CK4,dispersed_random,dispersed,random,0.426292645732976,136
L69_center_00021,69,center,ck4,CK4,dispersed_random,dispersed,random,0.3209236243448871,136
L69_center_00022,69,center,ck4,CK4,dispersed_random,dispersed,random,0.4082482904638631,136
L69_center_00023,69,center,ck4,CK4,dispersed_random,dispersed,random,0.49154523544286943,136
L69_center_00024,69,center,ck4,CK4,dispersed_random,dispersed,random,0.3837522295096906,136
L69_center_00025,69,center,ck4,CK4,dispersed_random,dispersed,random,0.39402139690762195,136
L69_center_00026,69,center,ck4,CK4,dispersed_random,dispersed,random,0.4009632279164033,136
L69_center_00027,69,center,ck4,CK4,dispersed_random,dispersed,random,0.41557219131970224,136
