representation,representation_label,n_template_cells,n_features,spatial_effect_mean,chemistry_effect_mean,chemistry_readout_macro_f1,spatial_readout_macro_f1
ck4,CK4,3000,136.0,-0.0901082951275103,0.0007384782594365456,0.4986825250526774,0.9100840789651402
ck4_msp,CK4+MSP,3000,211.0,-0.06357508798630437,0.0007203690112194371,0.6845453611336381,0.974965740477379
ck4_p,CK4+P,3000,147.0,-0.06369452296422778,0.0005516633307623621,0.6191444756030615,0.9093365489380405
ck4_p_auxiliary_only,CK4+P auxiliary coordinates,3000,139.0,-0.06371465952584554,0.0005223450269975832,0.5006706001284355,0.9097635166269932
ck4_p_property_only,CK4+P property coordinates,3000,144.0,-0.06369382779145778,0.0005533714765391033,0.6135964233067434,0.9095138033326768
ck4p_msp,CK4P-MSP,3000,222.0,-0.05189467375807955,0.0006094432970632146,0.7091762146595469,0.9764705984914609
ck4p_msp_auxiliary_only,CK4P-MSP auxiliary coordinates,3000,214.0,-0.051908237462295365,0.0005880805923187242,0.6868091171282589,0.9749659450195107
ck4p_msp_property_only,CK4P-MSP property coordinates,3000,219.0,-0.05189421134854672,0.0006106918170212705,0.7103845358839149,0.9761361043639262
msp,MSP,3000,75.0,-0.0009456782128828947,0.003930543616469786,0.724015459496106,0.9630839390035247
p,P,3000,11.0,-7.715812750761803e-05,0.0011998245352625718,0.661437479175163,0.4941896753008959
p_auxiliary_only,P auxiliary coordinates,3000,3.0,6.193013841561737e-06,-7.60140154720737e-05,0.5054999580460602,0.49820209186595316
p_msp,P+MSP,3000,86.0,-0.0007388870402272542,0.002947765795326761,0.7591608288097166,0.965763202842825
p_property_only,P property coordinates,3000,8.0,-8.193981162079075e-05,0.0012767277368451657,0.6469415005339599,0.49232411248309277
