split,classifier,accuracy,macro_f1,length,local_mode,representation,n_samples,n_features,accuracy_std,macro_f1_std,mutation_fraction
holdout,nearest_centroid,0.5666666666666667,0.5655806182121972,69,center,ck4,360,136,,,0.01
holdout,logistic,0.5583333333333333,0.5568253083408822,69,center,ck4,360,136,,,0.01
5fold_grouped_cv,nearest_centroid,0.5305555555555556,0.5264659617972703,69,center,ck4,360,136,0.04427049291808121,0.048192432701078695,0.01
5fold_grouped_cv,logistic,0.5083333333333333,0.5022687776568905,69,center,ck4,360,136,0.02576005137637695,0.02743052631634651,0.01
holdout,nearest_centroid,0.5666666666666667,0.5655806182121972,69,center,ck4_p,360,147,,,0.01
holdout,logistic,0.675,0.6722459555991316,69,center,ck4_p,360,147,,,0.01
5fold_grouped_cv,nearest_centroid,0.5333333333333333,0.5291733648524996,69,center,ck4_p,360,147,0.049378857873975494,0.05299567622633057,0.01
5fold_grouped_cv,logistic,0.7027777777777777,0.7023384243146693,69,center,ck4_p,360,147,0.01416394309331329,0.01398201152802647,0.01
holdout,nearest_centroid,0.625,0.6237196014215037,69,center,ck4_msp,360,211,,,0.01
holdout,logistic,0.9416666666666667,0.9414674935544561,69,center,ck4_msp,360,211,,,0.01
5fold_grouped_cv,nearest_centroid,0.5722222222222222,0.5688290120014443,69,center,ck4_msp,360,211,0.05076574134026963,0.054794357901151856,0.01
5fold_grouped_cv,logistic,0.9444444444444444,0.9443369826737946,69,center,ck4_msp,360,211,0.019641855032959663,0.01970054563518276,0.01
holdout,nearest_centroid,0.625,0.6237196014215037,69,center,ck4p_msp,360,222,,,0.01
holdout,logistic,0.95,0.949874686716792,69,center,ck4p_msp,360,222,,,0.01
5fold_grouped_cv,nearest_centroid,0.5722222222222222,0.5688290120014443,69,center,ck4p_msp,360,222,0.05076574134026963,0.054794357901151856,0.01
5fold_grouped_cv,logistic,0.9527777777777778,0.9527203476768694,69,center,ck4p_msp,360,222,0.01416394309331329,0.014184630343736623,0.01
holdout,nearest_centroid,0.49166666666666664,0.4899310152602606,69,jittered,ck4,360,136,,,0.01
holdout,logistic,0.4666666666666667,0.4642857142857143,69,jittered,ck4,360,136,,,0.01
5fold_grouped_cv,nearest_centroid,0.5305555555555556,0.5290052642565666,69,jittered,ck4,360,136,0.05000000000000001,0.05239495793958751,0.01
5fold_grouped_cv,logistic,0.5472222222222223,0.5450267617224138,69,jittered,ck4,360,136,0.04267303193260339,0.04365683880367956,0.01
holdout,nearest_centroid,0.49166666666666664,0.4899310152602606,69,jittered,ck4_p,360,147,,,0.01
holdout,logistic,0.6416666666666667,0.6416417806792138,69,jittered,ck4_p,360,147,,,0.01
5fold_grouped_cv,nearest_centroid,0.5333333333333334,0.5318382860824497,69,jittered,ck4_p,360,147,0.05015408357018831,0.05261477502850651,0.01
5fold_grouped_cv,logistic,0.711111111111111,0.7096533327667229,69,jittered,ck4_p,360,147,0.03767961101736262,0.03835262011800461,0.01
holdout,nearest_centroid,0.5,0.4987468671679198,69,jittered,ck4_msp,360,211,,,0.01
holdout,logistic,0.7666666666666667,0.7664071190211346,69,jittered,ck4_msp,360,211,,,0.01
5fold_grouped_cv,nearest_centroid,0.5416666666666667,0.5401592952755407,69,jittered,ck4_msp,360,211,0.05196746370519364,0.05453001943831363,0.01
5fold_grouped_cv,logistic,0.8277777777777777,0.8272613119268133,69,jittered,ck4_msp,360,211,0.01883980550868132,0.018799785103366266,0.01
holdout,nearest_centroid,0.5,0.4987468671679198,69,jittered,ck4p_msp,360,222,,,0.01
holdout,logistic,0.7916666666666666,0.7916521980693103,69,jittered,ck4p_msp,360,222,,,0.01
5fold_grouped_cv,nearest_centroid,0.5416666666666667,0.5401592952755407,69,jittered,ck4p_msp,360,222,0.05196746370519364,0.05453001943831363,0.01
5fold_grouped_cv,logistic,0.836111111111111,0.8354207852530443,69,jittered,ck4p_msp,360,222,0.032155102507750624,0.032487441842721225,0.01
holdout,nearest_centroid,0.475,0.474671669793621,69,left,ck4,360,136,,,0.01
holdout,logistic,0.4583333333333333,0.45190077998735156,69,left,ck4,360,136,,,0.01
5fold_grouped_cv,nearest_centroid,0.5111111111111111,0.5085073368239464,69,left,ck4,360,136,0.03868996743662257,0.039367157498101414,0.01
5fold_grouped_cv,logistic,0.5138888888888888,0.5126242085203788,69,left,ck4,360,136,0.04212708580028639,0.04220641046029043,0.01
holdout,nearest_centroid,0.475,0.474671669793621,69,left,ck4_p,360,147,,,0.01
holdout,logistic,0.7166666666666667,0.7163515016685206,69,left,ck4_p,360,147,,,0.01
5fold_grouped_cv,nearest_centroid,0.5138888888888888,0.5109285680982458,69,left,ck4_p,360,147,0.03828902431136174,0.03852793194204069,0.01
5fold_grouped_cv,logistic,0.725,0.7248857975695715,69,left,ck4_p,360,147,0.029658550700086952,0.029642960529097578,0.01
holdout,nearest_centroid,0.5,0.4994438264738599,69,left,ck4_msp,360,211,,,0.01
holdout,logistic,0.9583333333333334,0.9582608695652174,69,left,ck4_msp,360,211,,,0.01
5fold_grouped_cv,nearest_centroid,0.5472222222222223,0.5453398614595725,69,left,ck4_msp,360,211,0.04267303193260339,0.04235920425138243,0.01
5fold_grouped_cv,logistic,0.961111111111111,0.9610789099629875,69,left,ck4_msp,360,211,0.005555555555555536,0.005571730622905113,0.01
holdout,nearest_centroid,0.5,0.4994438264738599,69,left,ck4p_msp,360,222,,,0.01
holdout,logistic,0.9666666666666667,0.9666295884315907,69,left,ck4p_msp,360,222,,,0.01
5fold_grouped_cv,nearest_centroid,0.55,0.5482581546349662,69,left,ck4p_msp,360,222,0.0398686113733537,0.039429721595614725,0.01
5fold_grouped_cv,logistic,0.961111111111111,0.9610789099629875,69,left,ck4p_msp,360,222,0.005555555555555536,0.005571730622905113,0.01
holdout,nearest_centroid,0.5083333333333333,0.5005291005291006,69,right,ck4,360,136,,,0.01
holdout,logistic,0.4583333333333333,0.45829571498020694,69,right,ck4,360,136,,,0.01
5fold_grouped_cv,nearest_centroid,0.5222222222222221,0.5203255304072955,69,right,ck4,360,136,0.047790695928014576,0.04759302866906211,0.01
5fold_grouped_cv,logistic,0.5138888888888888,0.5103994559597406,69,right,ck4,360,136,0.023240556292613193,0.0238243440720066,0.01
holdout,nearest_centroid,0.5083333333333333,0.5005291005291006,69,right,ck4_p,360,147,,,0.01
holdout,logistic,0.65,0.6499027507641011,69,right,ck4_p,360,147,,,0.01
5fold_grouped_cv,nearest_centroid,0.5222222222222221,0.5203255304072955,69,right,ck4_p,360,147,0.047790695928014576,0.04759302866906211,0.01
5fold_grouped_cv,logistic,0.6722222222222222,0.6715489277970518,69,right,ck4_p,360,147,0.054574674178856954,0.05467474951821386,0.01
holdout,nearest_centroid,0.575,0.5699529196823835,69,right,ck4_msp,360,211,,,0.01
holdout,logistic,0.975,0.9749843652282677,69,right,ck4_msp,360,211,,,0.01
5fold_grouped_cv,nearest_centroid,0.5583333333333333,0.5561117999688299,69,right,ck4_msp,360,211,0.03967460238079363,0.03990093014066282,0.01
5fold_grouped_cv,logistic,0.975,0.9749694066723149,69,right,ck4_msp,360,211,0.013608276348795441,0.013642463420249237,0.01
holdout,nearest_centroid,0.5666666666666667,0.5606871303858068,69,right,ck4p_msp,360,222,,,0.01
holdout,logistic,0.9666666666666667,0.9666295884315907,69,right,ck4p_msp,360,222,,,0.01
5fold_grouped_cv,nearest_centroid,0.5583333333333333,0.5561117999688299,69,right,ck4p_msp,360,222,0.03967460238079363,0.03990093014066282,0.01
5fold_grouped_cv,logistic,0.975,0.9749694066723149,69,right,ck4p_msp,360,222,0.013608276348795441,0.013642463420249237,0.01
holdout,nearest_centroid,0.425,0.42400000000000004,100,center,ck4,360,136,,,0.01
holdout,logistic,0.5333333333333333,0.5332036676854682,100,center,ck4,360,136,,,0.01
5fold_grouped_cv,nearest_centroid,0.4722222222222223,0.47107393391671015,100,center,ck4,360,136,0.056245713142546075,0.05602710996921715,0.01
5fold_grouped_cv,logistic,0.5499999999999999,0.5471990719420549,100,center,ck4,360,136,0.01883980550868132,0.0181169654311935,0.01
holdout,nearest_centroid,0.425,0.42400000000000004,100,center,ck4_p,360,147,,,0.01
holdout,logistic,0.775,0.7737272155876807,100,center,ck4_p,360,147,,,0.01
5fold_grouped_cv,nearest_centroid,0.4722222222222223,0.47107393391671015,100,center,ck4_p,360,147,0.056245713142546075,0.05602710996921715,0.01
5fold_grouped_cv,logistic,0.7222222222222222,0.7216442518384583,100,center,ck4_p,360,147,0.04648111258522642,0.04613109581794512,0.01
holdout,nearest_centroid,0.5,0.5,100,center,ck4_msp,360,211,,,0.01
holdout,logistic,0.9083333333333333,0.9080203470141454,100,center,ck4_msp,360,211,,,0.01
5fold_grouped_cv,nearest_centroid,0.5277777777777779,0.5262063910890474,100,center,ck4_msp,360,211,0.06022078719077445,0.06046965382366125,0.01
5fold_grouped_cv,logistic,0.9527777777777778,0.9527213547292586,100,center,ck4_msp,360,211,0.018839805508681317,0.018937303985699292,0.01
holdout,nearest_centroid,0.5,0.5,100,center,ck4p_msp,360,222,,,0.01
holdout,logistic,0.9333333333333333,0.9331662489557226,100,center,ck4p_msp,360,222,,,0.01
5fold_grouped_cv,nearest_centroid,0.5277777777777779,0.5262063910890474,100,center,ck4p_msp,360,222,0.06022078719077445,0.06046965382366125,0.01
5fold_grouped_cv,logistic,0.9583333333333334,0.9582779821651066,100,center,ck4p_msp,360,222,0.023240556292613235,0.023332465023225283,0.01
holdout,nearest_centroid,0.5583333333333333,0.5575652173913044,100,jittered,ck4,360,136,,,0.01
holdout,logistic,0.6,0.5995550611790879,100,jittered,ck4,360,136,,,0.01
5fold_grouped_cv,nearest_centroid,0.5527777777777777,0.551258910276544,100,jittered,ck4,360,136,0.022222222222222227,0.021707295217294965,0.01
5fold_grouped_cv,logistic,0.5666666666666667,0.5657446280863513,100,jittered,ck4,360,136,0.04922234762963709,0.04883312854315798,0.01
holdout,nearest_centroid,0.5583333333333333,0.5575652173913044,100,jittered,ck4_p,360,147,,,0.01
holdout,logistic,0.7583333333333333,0.7581821972065874,100,jittered,ck4_p,360,147,,,0.01
5fold_grouped_cv,nearest_centroid,0.5527777777777777,0.551258910276544,100,jittered,ck4_p,360,147,0.022222222222222227,0.021707295217294965,0.01
5fold_grouped_cv,logistic,0.7138888888888888,0.7132563676881889,100,jittered,ck4_p,360,147,0.027216552697590858,0.02728582952309555,0.01
holdout,nearest_centroid,0.5666666666666667,0.5655806182121972,100,jittered,ck4_msp,360,211,,,0.01
holdout,logistic,0.9166666666666666,0.9165739710789766,100,jittered,ck4_msp,360,211,,,0.01
5fold_grouped_cv,nearest_centroid,0.5611111111111111,0.5597982500101744,100,jittered,ck4_msp,360,211,0.029917582261858377,0.029243997676883432,0.01
5fold_grouped_cv,logistic,0.8722222222222221,0.8719253215467008,100,jittered,ck4_msp,360,211,0.05000000000000002,0.050312346350979066,0.01
holdout,nearest_centroid,0.5666666666666667,0.5655806182121972,100,jittered,ck4p_msp,360,222,,,0.01
holdout,logistic,0.925,0.9248695652173913,100,jittered,ck4p_msp,360,222,,,0.01
5fold_grouped_cv,nearest_centroid,0.5611111111111111,0.5597982500101744,100,jittered,ck4p_msp,360,222,0.029917582261858377,0.029243997676883432,0.01
5fold_grouped_cv,logistic,0.8833333333333332,0.8829694971255154,100,jittered,ck4p_msp,360,222,0.04937885787397551,0.049741044701826304,0.01
holdout,nearest_centroid,0.39166666666666666,0.39128622055451323,100,left,ck4,360,136,,,0.01
holdout,logistic,0.45,0.44862155388471175,100,left,ck4,360,136,,,0.01
5fold_grouped_cv,nearest_centroid,0.49444444444444446,0.49338512201575674,100,left,ck4,360,136,0.01883980550868131,0.018939374636193045,0.01
5fold_grouped_cv,logistic,0.4888888888888888,0.4875028213395202,100,left,ck4,360,136,0.052263577006185495,0.052360278703611166,0.01
holdout,nearest_centroid,0.39166666666666666,0.39128622055451323,100,left,ck4_p,360,147,,,0.01
holdout,logistic,0.5916666666666667,0.5916383082158483,100,left,ck4_p,360,147,,,0.01
5fold_grouped_cv,nearest_centroid,0.49444444444444446,0.49338512201575674,100,left,ck4_p,360,147,0.01883980550868131,0.018939374636193045,0.01
