mutation_fraction,representation,classifier,n_cells,macro_f1,accuracy,n_features
0.01,ck4p_msp,logistic,12,0.9477680272866568,0.9479166666666666,222.0
0.01,ck4_msp,logistic,12,0.9433860832987441,0.9435185185185185,211.0
0.01,ck4_p,logistic,12,0.7301075312450279,0.7310185185185185,147.0
0.01,ck4p_msp,nearest_centroid,12,0.6244586725234461,0.6261574074074074,222.0
0.01,ck4_msp,nearest_centroid,12,0.6239824367852553,0.6256944444444444,211.0
0.01,ck4,logistic,12,0.6075347636130738,0.6097222222222222,136.0
0.01,ck4_p,nearest_centroid,12,0.5972419747507419,0.5990740740740741,147.0
0.01,ck4,nearest_centroid,12,0.5958272669106838,0.5976851851851852,136.0
0.03,ck4p_msp,logistic,12,0.9733253114562276,0.9733796296296297,222.0
0.03,ck4_msp,logistic,12,0.9716939587380168,0.9717592592592593,211.0
0.03,ck4_p,logistic,12,0.8839602970649255,0.8844907407407407,147.0
0.03,ck4,logistic,12,0.8794386818194565,0.8798611111111111,136.0
0.03,ck4_msp,nearest_centroid,12,0.8714998154911316,0.8722222222222222,211.0
0.03,ck4p_msp,nearest_centroid,12,0.8712724079593763,0.8719907407407407,222.0
0.03,ck4_p,nearest_centroid,12,0.8610477755513791,0.8618055555555556,147.0
0.03,ck4,nearest_centroid,12,0.8608180701083584,0.861574074074074,136.0
0.05,ck4p_msp,logistic,12,0.9909602647488646,0.9909722222222221,222.0
0.05,ck4_msp,logistic,12,0.9893342867339451,0.9893518518518518,211.0
0.05,ck4,logistic,12,0.9605478973741888,0.9606481481481483,136.0
0.05,ck4_p,logistic,12,0.9591738706160342,0.9592592592592593,147.0
0.05,ck4_msp,nearest_centroid,12,0.955554773524785,0.955787037037037,211.0
0.05,ck4p_msp,nearest_centroid,12,0.9553224418141925,0.9555555555555556,222.0
0.05,ck4_p,nearest_centroid,12,0.951794479070991,0.9520833333333333,147.0
0.05,ck4,nearest_centroid,12,0.9513295578154914,0.9516203703703704,136.0
