mutation_fraction,representation,n_cells,noise_l2,local_l2,local_minus_noise_l2,n_features,selective_sensitivity_ratio
0.01,ck4,12,0.23790290416596668,0.2280738560780373,-0.009829048087929388,136.0,0.9586846233660418
0.01,ck4_msp,12,0.16845785930888993,0.16163245280738447,-0.00682540650150546,211.0,0.9594830034674122
0.01,ck4_p,12,0.16825869120182482,0.16132713795644013,-0.006931553245384699,147.0,0.9588041889790385
0.01,ck4p_msp,12,0.13757138462941285,0.13201092920952015,-0.0055604554198926855,222.0,0.9595813080251293
0.03,ck4,12,0.3546736468498981,0.26610926206526725,-0.08856438478463087,136.0,0.7502933032345865
0.03,ck4_msp,12,0.2511290166235313,0.1888312730276339,-0.062297743595897424,211.0,0.7519293292607112
0.03,ck4_p,12,0.25083592308929975,0.18826000576591617,-0.06257591732338358,147.0,0.750530480033731
0.03,ck4p_msp,12,0.20508167168106192,0.1542528069502511,-0.05082886473081084,222.0,0.7521530602214972
0.05,ck4,12,0.45467672117356334,0.3050595890162853,-0.14961713215727795,136.0,0.6709373381353192
0.05,ck4_msp,12,0.32194141291432493,0.21667725055793763,-0.1052641623563873,211.0,0.6730331727021395
0.05,ck4_p,12,0.3215650293679457,0.2158413889893035,-0.10572364037864224,147.0,0.6712215859216781
0.05,ck4p_msp,12,0.2629130007962322,0.17702302096848221,-0.08588997982774997,222.0,0.6733140637106871
