split,classifier,accuracy,macro_f1,length,local_mode,representation,n_samples,n_features,accuracy_std,macro_f1_std
holdout,nearest_centroid,0.7797619047619048,0.7788136497882789,69,center,ckmer4_count_l2,500,136,,
holdout,logistic,0.7916666666666666,0.7916592849803352,69,center,ckmer4_count_l2,500,136,,
5fold_grouped_cv,nearest_centroid,0.782,0.7814448477725552,69,center,ckmer4_count_l2,500,136,0.02039607805437116,0.019795571656765817
5fold_grouped_cv,logistic,0.796,0.7955806043950258,69,center,ckmer4_count_l2,500,136,0.052000000000000005,0.05181758053424252
holdout,nearest_centroid,0.7678571428571429,0.7664587417572626,69,center,ckmer4_property_l2,500,147,,
holdout,logistic,0.7678571428571429,0.7677830940988836,69,center,ckmer4_property_l2,500,147,,
5fold_grouped_cv,nearest_centroid,0.78,0.7795426772888696,69,center,ckmer4_property_l2,500,147,0.020000000000000018,0.019796176501090067
5fold_grouped_cv,logistic,0.808,0.807340649098985,69,center,ckmer4_property_l2,500,147,0.026381811916545823,0.026011251812558523
holdout,nearest_centroid,0.8095238095238095,0.8088465367657517,69,center,ck4p_msp,500,222,,
holdout,logistic,0.9702380952380952,0.9702117096350934,69,center,ck4p_msp,500,222,,
5fold_grouped_cv,nearest_centroid,0.8,0.7995514450535459,69,center,ck4p_msp,500,222,0.017888543819998284,0.017555189579918723
5fold_grouped_cv,logistic,0.9739999999999999,0.9739745690981655,69,center,ck4p_msp,500,222,0.010198039027185577,0.010218626331299939
holdout,nearest_centroid,0.5654761904761905,0.56472049689441,69,center,cspaced_property_l2,500,147,,
holdout,logistic,0.5892857142857143,0.589271161818375,69,center,cspaced_property_l2,500,147,,
5fold_grouped_cv,nearest_centroid,0.564,0.562787270699547,69,center,cspaced_property_l2,500,147,0.043174066289845804,0.044079479981302024
5fold_grouped_cv,logistic,0.596,0.5955065050911598,69,center,cspaced_property_l2,500,147,0.023323807579381222,0.023462149228037316
holdout,nearest_centroid,0.9940476190476191,0.9940474081422952,69,center,property_channels,500,345,,
holdout,logistic,0.9880952380952381,0.9880935506732813,69,center,property_channels,500,345,,
5fold_grouped_cv,nearest_centroid,0.998,0.9979997999799981,69,center,property_channels,500,345,0.0040000000000000036,0.004000400040003971
5fold_grouped_cv,logistic,0.992,0.99199799931974,69,center,property_channels,500,345,0.007483314773547889,0.007485988560889431
holdout,nearest_centroid,0.9940476190476191,0.9940474081422952,69,center,one_hot,500,345,,
holdout,logistic,0.9880952380952381,0.9880935506732813,69,center,one_hot,500,345,,
5fold_grouped_cv,nearest_centroid,0.994,0.993999399939994,69,center,one_hot,500,345,0.00489897948556636,0.004899469432509571
5fold_grouped_cv,logistic,0.9920000000000002,0.99199799931974,69,center,one_hot,500,345,0.007483314773547889,0.007485988560889431
holdout,nearest_centroid,0.9940476190476191,0.9940474081422952,69,center,base_property,500,690,,
holdout,logistic,0.9880952380952381,0.9880935506732813,69,center,base_property,500,690,,
5fold_grouped_cv,nearest_centroid,0.994,0.993999399939994,69,center,base_property,500,690,0.00489897948556636,0.004899469432509571
5fold_grouped_cv,logistic,0.992,0.99199799931974,69,center,base_property,500,690,0.007483314773547889,0.007485988560889431
holdout,nearest_centroid,0.875,0.8737068194021836,69,center,kmer_property,500,1040,,
holdout,logistic,0.9940476190476191,0.9940474081422952,69,center,kmer_property,500,1040,,
5fold_grouped_cv,nearest_centroid,0.8619999999999999,0.8602229328916241,69,center,kmer_property,500,1040,0.029933259094191558,0.030785648875499227
5fold_grouped_cv,logistic,0.994,0.993999399939994,69,center,kmer_property,500,1040,0.00489897948556636,0.004899469432509571
holdout,nearest_centroid,0.7083333333333334,0.7017283234899815,69,jittered,ckmer4_count_l2,500,136,,
holdout,logistic,0.7261904761904762,0.725216896600768,69,jittered,ckmer4_count_l2,500,136,,
5fold_grouped_cv,nearest_centroid,0.698,0.6956481340834026,69,jittered,ckmer4_count_l2,500,136,0.046647615158762396,0.049704611210135
5fold_grouped_cv,logistic,0.726,0.7255860642268139,69,jittered,ckmer4_count_l2,500,136,0.04223742416388575,0.042818289284704616
holdout,nearest_centroid,0.7023809523809523,0.6961805555555556,69,jittered,ckmer4_property_l2,500,147,,
holdout,logistic,0.7440476190476191,0.7436024844720497,69,jittered,ckmer4_property_l2,500,147,,
5fold_grouped_cv,nearest_centroid,0.704,0.7013501656836876,69,jittered,ckmer4_property_l2,500,147,0.028705400188814633,0.032544225539124054
5fold_grouped_cv,logistic,0.75,0.7497498104873108,69,jittered,ckmer4_property_l2,500,147,0.028982753492378905,0.029345057685461803
holdout,nearest_centroid,0.7083333333333334,0.7017283234899815,69,jittered,ck4p_msp,500,222,,
