length,local_mode,representation,noise_l2_mean,local_l2_mean,local_minus_noise_l2_mean,local_minus_noise_l2_ci_low,local_minus_noise_l2_ci_high,selective_sensitivity_ratio_mean,selective_sensitivity_ratio_n_valid,selective_sensitivity_ratio_valid_fraction,selective_sensitivity_ratio_denominator_tolerance,selective_sensitivity_ratio_ci_low,selective_sensitivity_ratio_ci_high,noise_cosine_mean,local_cosine_mean,n_features,density,avg_nnz_per_read,n_triplets
69,center,ck4,0.3895174210376605,0.3156722485798154,-0.07384517245784512,-0.08117067633073202,-0.0674185951947337,0.8217811234992399,250,1.0,1e-08,0.8046555072003403,0.8405763616630568,0.9231777587999297,0.9495144985628199,136,0.38194117647058823,51.944,250
69,center,ck4_p,0.2754914257672399,0.2233618384665283,-0.052129587300711565,-0.057259328253245034,-0.047610292327366986,0.8221328600532111,250,1.0,1e-08,0.8052289002242974,0.8408843580329176,0.9615721475685661,0.9747308645636952,147,0.4213877551020408,61.944,250
69,center,ck4_msp,0.2758688878760909,0.22411377036836574,-0.05175511750772516,-0.0568020398752592,-0.04730306046089156,0.8237201391924689,250,1.0,1e-08,0.8070450520077188,0.8424599510233415,0.9614691599896319,0.9745753903388509,211,0.5305150078988942,111.93866666666666,250
69,center,ck4p_msp,0.22529572709555215,0.18308783037220677,-0.042207896723345316,-0.04632011448072789,-0.03857744592294661,0.8239805415299076,250,1.0,1e-08,0.8072504803685513,0.842709755101093,0.9743016187721555,0.9830326704140907,222,0.5492732732732732,121.93866666666666,250
69,jittered,ck4,0.3855079005635833,0.3197538303429176,-0.06575407022066568,-0.07137675816285811,-0.05976734725271755,0.8417307538464145,250,1.0,1e-08,0.8264022467573839,0.85874335453803,0.9246974431719605,0.948486697879028,136,0.3824705882352941,52.016,250
69,jittered,ck4_p,0.27265562013701516,0.22621216314083967,-0.04644345699617546,-0.050415269421735874,-0.04221718397928414,0.8419507568318182,250,1.0,1e-08,0.8266173965796642,0.8589723393790539,0.9623324784854328,0.974218179424163,147,0.42187755102040814,62.016,250
69,jittered,ck4_msp,0.2730318298169952,0.2269330988574877,-0.04609873095950749,-0.05007076567730359,-0.04188693569821081,0.843353284135215,250,1.0,1e-08,0.8280690951186208,0.860208044845306,0.9622319178665683,0.9740551331176504,211,0.5308309636650869,112.00533333333334,250
69,jittered,ck4p_msp,0.2229787478889802,0.18538111053049083,-0.037597637358489346,-0.04083750691839324,-0.034164525120864445,0.8435710386889781,250,1.0,1e-08,0.8282830970946543,0.8604492983991593,0.9748104498440139,0.9826866424015331,222,0.5495735735735736,122.00533333333334,250
69,left,ck4,0.388581658341953,0.3173364717719479,-0.07124518657000509,-0.07746154346174602,-0.06524037607265126,0.8257426132199917,250,1.0,1e-08,0.8096211431976428,0.8414870551355028,0.9236182077859203,0.9490236606706716,136,0.3846764705882353,52.316,250
69,left,ck4_p,0.2748320009928382,0.22452832919323726,-0.05030367179960097,-0.054703440418141056,-0.046038119725231065,0.8260555194882834,250,1.0,1e-08,0.8098899573184966,0.8417450801023812,0.9617918758105809,0.974486846532429,147,0.4239183673469388,62.316,250
69,left,ck4_msp,0.27522835809545143,0.22522325987228767,-0.05000509822316373,-0.054411359196965305,-0.04574500663438223,0.8273722651482606,250,1.0,1e-08,0.8116058083396973,0.8428399955145389,0.9616838662485783,0.9743380209247361,211,0.5322654028436019,112.308,250
69,left,ck4p_msp,0.22477457394278721,0.18398809474649053,-0.04078647919629668,-0.04438359289781056,-0.03732043718237071,0.8275939467524251,250,1.0,1e-08,0.8118294601068325,0.8430319335345501,0.9744444254441329,0.9828753580812196,222,0.5509369369369369,122.308,250
69,right,ck4,0.38293961007437155,0.31796278039808784,-0.06497682967628375,-0.07115592111888061,-0.059112196994460554,0.8415540946443766,250,1.0,1e-08,0.8255221462545964,0.8572835667142157,0.9256085791651403,0.9489433350640086,136,0.3830882352941177,52.1,250
69,right,ck4_p,0.27084365769884106,0.22494480970392808,-0.04589884799491302,-0.05026349848669759,-0.041745468521808556,0.8417554033079869,250,1.0,1e-08,0.8257166660168092,0.8574520069885628,0.9627871019807883,0.9744469225185562,147,0.42244897959183675,62.1,250
