split,classifier,accuracy,macro_f1,length,local_mode,weight_name,weight_label,n_samples,n_features,accuracy_std,macro_f1_std
holdout,logistic,0.7916666666666666,0.7916592849803352,69,center,identity_only,"identity_only (k=1, P=0, MSP=0)",500,222,,
5fold_grouped_cv,logistic,0.796,0.7955806043950258,69,center,identity_only,"identity_only (k=1, P=0, MSP=0)",500,222,0.052000000000000005,0.05181758053424252
holdout,logistic,0.9821428571428571,0.9821371610845295,69,center,property_only,"property_only (k=0, P=1, MSP=1)",500,222,,
5fold_grouped_cv,logistic,0.984,0.9839947980392276,69,center,property_only,"property_only (k=0, P=1, MSP=1)",500,222,0.004898979485566361,0.004902410290512393
holdout,logistic,0.7857142857142857,0.7856839121190644,69,center,ck4_plus_p,"ck4_plus_p (k=1, P=1, MSP=0)",500,222,,
5fold_grouped_cv,logistic,0.8160000000000001,0.815338288644349,69,center,ck4_plus_p,"ck4_plus_p (k=1, P=1, MSP=0)",500,222,0.0431740662898458,0.0429505030140898
holdout,logistic,0.9702380952380952,0.9702117096350934,69,center,ck4p_msp,"ck4p_msp (k=1, P=1, MSP=1)",500,222,,
5fold_grouped_cv,logistic,0.9739999999999999,0.9739745690981655,69,center,ck4p_msp,"ck4p_msp (k=1, P=1, MSP=1)",500,222,0.010198039027185577,0.010218626331299939
holdout,logistic,0.9702380952380952,0.9702117096350934,69,center,identity_dominant,"identity_dominant (k=2, P=1, MSP=1)",500,222,,
5fold_grouped_cv,logistic,0.9739999999999999,0.9739745690981655,69,center,identity_dominant,"identity_dominant (k=2, P=1, MSP=1)",500,222,0.010198039027185577,0.010218626331299939
holdout,logistic,0.9702380952380952,0.9702117096350934,69,center,property_dominant,"property_dominant (k=1, P=2, MSP=2)",500,222,,
5fold_grouped_cv,logistic,0.9739999999999999,0.9739745690981655,69,center,property_dominant,"property_dominant (k=1, P=2, MSP=2)",500,222,0.010198039027185577,0.010218626331299939
holdout,logistic,0.7261904761904762,0.725216896600768,69,jittered,identity_only,"identity_only (k=1, P=0, MSP=0)",500,222,,
5fold_grouped_cv,logistic,0.726,0.7255860642268139,69,jittered,identity_only,"identity_only (k=1, P=0, MSP=0)",500,222,0.04223742416388575,0.042818289284704616
holdout,logistic,0.8333333333333334,0.8309373202990225,69,jittered,property_only,"property_only (k=0, P=1, MSP=1)",500,222,,
5fold_grouped_cv,logistic,0.876,0.8752108473169325,69,jittered,property_only,"property_only (k=0, P=1, MSP=1)",500,222,0.04127953488110059,0.041437479937140226
holdout,logistic,0.7559523809523809,0.755249973350389,69,jittered,ck4_plus_p,"ck4_plus_p (k=1, P=1, MSP=0)",500,222,,
5fold_grouped_cv,logistic,0.756,0.7557808853233128,69,jittered,ck4_plus_p,"ck4_plus_p (k=1, P=1, MSP=0)",500,222,0.028705400188814675,0.028860029149124902
holdout,logistic,0.8809523809523809,0.8805290854785948,69,jittered,ck4p_msp,"ck4p_msp (k=1, P=1, MSP=1)",500,222,,
5fold_grouped_cv,logistic,0.898,0.8976557023065943,69,jittered,ck4p_msp,"ck4p_msp (k=1, P=1, MSP=1)",500,222,0.024819347291981698,0.025032791594005822
holdout,logistic,0.8809523809523809,0.8805290854785948,69,jittered,identity_dominant,"identity_dominant (k=2, P=1, MSP=1)",500,222,,
5fold_grouped_cv,logistic,0.898,0.8976557023065943,69,jittered,identity_dominant,"identity_dominant (k=2, P=1, MSP=1)",500,222,0.024819347291981698,0.025032791594005822
holdout,logistic,0.8809523809523809,0.8805290854785948,69,jittered,property_dominant,"property_dominant (k=1, P=2, MSP=2)",500,222,,
5fold_grouped_cv,logistic,0.898,0.8976557023065943,69,jittered,property_dominant,"property_dominant (k=1, P=2, MSP=2)",500,222,0.024819347291981698,0.025032791594005822
holdout,logistic,0.75,0.7498581962563812,69,left,identity_only,"identity_only (k=1, P=0, MSP=0)",500,222,,
5fold_grouped_cv,logistic,0.772,0.7711475392004168,69,left,identity_only,"identity_only (k=1, P=0, MSP=0)",500,222,0.04578209256903839,0.04596741296189939
holdout,logistic,0.9880952380952381,0.9880935506732813,69,left,property_only,"property_only (k=0, P=1, MSP=1)",500,222,,
5fold_grouped_cv,logistic,0.9879999999999999,0.9879975992797358,69,left,property_only,"property_only (k=0, P=1, MSP=1)",500,222,0.0040000000000000036,0.004002801240508269
holdout,logistic,0.7797619047619048,0.7796916533758639,69,left,ck4_plus_p,"ck4_plus_p (k=1, P=1, MSP=0)",500,222,,
5fold_grouped_cv,logistic,0.7979999999999999,0.7973260519101372,69,left,ck4_plus_p,"ck4_plus_p (k=1, P=1, MSP=0)",500,222,0.05035871324805668,0.05065505990435237
holdout,logistic,0.9880952380952381,0.9880935506732813,69,left,ck4p_msp,"ck4p_msp (k=1, P=1, MSP=1)",500,222,,
5fold_grouped_cv,logistic,0.984,0.9839911938351078,69,left,ck4p_msp,"ck4p_msp (k=1, P=1, MSP=1)",500,222,0.01019803902718558,0.010206597892610593
holdout,logistic,0.9880952380952381,0.9880935506732813,69,left,identity_dominant,"identity_dominant (k=2, P=1, MSP=1)",500,222,,
5fold_grouped_cv,logistic,0.984,0.9839911938351078,69,left,identity_dominant,"identity_dominant (k=2, P=1, MSP=1)",500,222,0.01019803902718558,0.010206597892610593
holdout,logistic,0.9880952380952381,0.9880935506732813,69,left,property_dominant,"property_dominant (k=1, P=2, MSP=2)",500,222,,
5fold_grouped_cv,logistic,0.984,0.9839911938351078,69,left,property_dominant,"property_dominant (k=1, P=2, MSP=2)",500,222,0.01019803902718558,0.010206597892610593
holdout,logistic,0.75,0.7498581962563812,69,right,identity_only,"identity_only (k=1, P=0, MSP=0)",500,222,,
5fold_grouped_cv,logistic,0.75,0.7497843183730689,69,right,identity_only,"identity_only (k=1, P=0, MSP=0)",500,222,0.02966479394838268,0.0296155723010466
holdout,logistic,0.9880952380952381,0.9880935506732813,69,right,property_only,"property_only (k=0, P=1, MSP=1)",500,222,,
5fold_grouped_cv,logistic,0.9879999999999999,0.987993995075616,69,right,property_only,"property_only (k=0, P=1, MSP=1)",500,222,0.009797958971132722,0.009807766589870471
holdout,logistic,0.7678571428571429,0.7678489175495165,69,right,ck4_plus_p,"ck4_plus_p (k=1, P=1, MSP=0)",500,222,,
5fold_grouped_cv,logistic,0.7700000000000001,0.7696628223353592,69,right,ck4_plus_p,"ck4_plus_p (k=1, P=1, MSP=0)",500,222,0.027568097504180468,0.027532102170626765
holdout,logistic,0.9821428571428571,0.9821371610845295,69,right,ck4p_msp,"ck4p_msp (k=1, P=1, MSP=1)",500,222,,
5fold_grouped_cv,logistic,0.982,0.981987389610986,69,right,ck4p_msp,"ck4p_msp (k=1, P=1, MSP=1)",500,222,0.011661903789690611,0.011673165031177182
holdout,logistic,0.9821428571428571,0.9821371610845295,69,right,identity_dominant,"identity_dominant (k=2, P=1, MSP=1)",500,222,,
5fold_grouped_cv,logistic,0.982,0.981987389610986,69,right,identity_dominant,"identity_dominant (k=2, P=1, MSP=1)",500,222,0.011661903789690611,0.011673165031177182
holdout,logistic,0.9821428571428571,0.9821371610845295,69,right,property_dominant,"property_dominant (k=1, P=2, MSP=2)",500,222,,
5fold_grouped_cv,logistic,0.982,0.981987389610986,69,right,property_dominant,"property_dominant (k=1, P=2, MSP=2)",500,222,0.011661903789690611,0.011673165031177182
holdout,logistic,0.8988095238095238,0.8987198127593177,100,center,identity_only,"identity_only (k=1, P=0, MSP=0)",500,222,,
5fold_grouped_cv,logistic,0.9119999999999999,0.9118676515654874,100,center,identity_only,"identity_only (k=1, P=0, MSP=0)",500,222,0.03310589071449369,0.03320658142088433
holdout,logistic,0.9821428571428571,0.9821371610845295,100,center,property_only,"property_only (k=0, P=1, MSP=1)",500,222,,
5fold_grouped_cv,logistic,0.982,0.981990993815106,100,center,property_only,"property_only (k=0, P=1, MSP=1)",500,222,0.007483314773547889,0.007492410306373802
holdout,logistic,0.9226190476190477,0.9226163058498389,100,center,ck4_plus_p,"ck4_plus_p (k=1, P=1, MSP=0)",500,222,,
5fold_grouped_cv,logistic,0.9259999999999999,0.9259409239100428,100,center,ck4_plus_p,"ck4_plus_p (k=1, P=1, MSP=0)",500,222,0.02653299832284318,0.02659116955136928
holdout,logistic,0.9821428571428571,0.9821371610845295,100,center,ck4p_msp,"ck4p_msp (k=1, P=1, MSP=1)",500,222,,
5fold_grouped_cv,logistic,0.9780000000000001,0.97798578897073,100,center,ck4p_msp,"ck4p_msp (k=1, P=1, MSP=1)",500,222,0.007483314773547889,0.007493695086588851
holdout,logistic,0.9821428571428571,0.9821371610845295,100,center,identity_dominant,"identity_dominant (k=2, P=1, MSP=1)",500,222,,
