retrieval_top1,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95,mean_pair_margin,margin_positive_rate,length,condition,weight_name,weight_label,count_weight,property_weight,msp_weight,n_pairs,n_features
1.0,0.976230758164592,0.9165332965478393,0.14810189744303925,0.4085741857793175,0.3637810502760318,1.0,69,substitution_1pct,identity_only,"identity_only (k=1, P=0, MSP=0)",1.0,0.0,0.0,250,222
1.0,0.9999507834671686,0.9998173015626716,0.006643055449922032,0.019115197580327745,0.000991540135367119,1.0,69,substitution_1pct,property_only,"property_only (k=0, P=1, MSP=1)",0.0,1.0,1.0,250,222
1.0,0.9881082041073109,0.9582357458647316,0.10476992609139629,0.2890124827254438,0.18233480378820094,1.0,69,substitution_1pct,ck4_plus_p,"ck4_plus_p (k=1, P=1, MSP=0)",1.0,1.0,0.0,250,222
1.0,0.99204410836631,0.9720594176733495,0.08571711480203946,0.23639157224423618,0.12341601075389959,1.0,69,substitution_1pct,ck4p_msp,"ck4p_msp (k=1, P=1, MSP=1)",1.0,1.0,1.0,250,222
1.0,0.9841374332654511,0.9442963571105945,0.12100917210737194,0.3337767523186275,0.24361051105158016,1.0,69,substitution_1pct,identity_dominant,"identity_dominant (k=2, P=1, MSP=1)",2.0,1.0,1.0,250,222
1.0,0.9973152251002156,0.9905777604904793,0.049818828280202815,0.1372750412227771,0.043158577369885466,1.0,69,substitution_1pct,property_dominant,"property_dominant (k=1, P=2, MSP=2)",1.0,2.0,2.0,250,222
1.0,0.964410806122967,0.9510376370854681,0.26449397717881745,0.3129290479474686,0.3594129530907742,1.0,69,N_3pct,identity_only,"identity_only (k=1, P=0, MSP=0)",1.0,0.0,0.0,250,222
0.94,0.9985087310403915,0.9980545056875619,0.05442557557822614,0.06237778942295909,0.0007895067218460467,0.94,69,N_3pct,property_only,"property_only (k=0, P=1, MSP=1)",0.0,1.0,1.0,250,222
1.0,0.9812182295211315,0.9744904619127628,0.19235049395879003,0.2258733734681806,0.18027232508948554,1.0,69,N_3pct,ck4_plus_p,"ck4_plus_p (k=1, P=1, MSP=0)",1.0,1.0,0.0,250,222
1.0,0.9871427560679167,0.9826093939724306,0.15921381387931008,0.18649711330526245,0.1221906466702911,1.0,69,N_3pct,ck4p_msp,"ck4p_msp (k=1, P=1, MSP=1)",1.0,1.0,1.0,250,222
1.0,0.975776781095442,0.9668503450855825,0.21830093983107993,0.2574861951146935,0.2408180446624151,1.0,69,N_3pct,identity_dominant,"identity_dominant (k=2, P=1, MSP=1)",2.0,1.0,1.0,250,222
1.0,0.9947200727162331,0.993110064109945,0.10228989481333796,0.11738765007910133,0.04289164500108771,1.0,69,N_3pct,property_dominant,"property_dominant (k=1, P=2, MSP=2)",1.0,2.0,2.0,250,222
1.0,0.9766893043730028,0.9690731833210825,0.21469832197132627,0.24868735114292614,0.36802676809999046,1.0,69,trim_5bp,identity_only,"identity_only (k=1, P=0, MSP=0)",1.0,0.0,0.0,250,222
