retrieval_top1,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95,mean_pair_margin,margin_positive_rate,length,condition,binset,bins,max_bin_count,gamma,n_pairs,k_dim,p_dim,m_dim,total_dim
1.0,0.9868325491031238,0.9591363817915534,0.1189124718323098,0.2858791204288476,0.17902523541664003,1.0,69,substitution_1pct,2,2,2,0.0,250,136,11,10,157
1.0,0.987230404549346,0.9603725596324655,0.11710335045247977,0.2815218128557201,0.17367320656352375,1.0,69,substitution_1pct,2,2,2,0.25,250,136,11,10,157
1.0,0.9882913524059379,0.9636690338748995,0.11213609340697699,0.26955820017601245,0.1594009283191567,1.0,69,substitution_1pct,2,2,2,0.5,250,136,11,10,157
1.0,0.9912089590115659,0.9727343380415919,0.09717340141472834,0.23351900383355342,0.12014132335209422,1.0,69,substitution_1pct,2,2,2,1.0,250,136,11,10,157
1.0,0.995585368920008,0.9863322942916307,0.06887594776185925,0.1653341018850151,0.06120903413689266,1.0,69,substitution_1pct,2,2,2,2.0,250,136,11,10,157
1.0,0.9868325491031238,0.9591363817915534,0.11891247183230982,0.28587912042884767,0.17902523541664003,1.0,69,substitution_1pct,2_3,2+3,3,0.0,250,136,11,25,172
1.0,0.9872299439981626,0.9603685892401113,0.11710580956562945,0.28153592645013403,0.17369920989342819,1.0,69,substitution_1pct,2_3,2+3,3,0.25,250,136,11,25,172
1.0,0.9882896637182655,0.9636544757695993,0.11214530176924999,0.2696122414552756,0.15949641720141206,1.0,69,substitution_1pct,2_3,2+3,3,0.5,250,136,11,25,172
1.0,0.9912038929485488,0.9726906637256911,0.09720410699956622,0.2337060745106686,0.12042550000401246,1.0,69,substitution_1pct,2_3,2+3,3,1.0,250,136,11,25,172
1.0,0.9955752367939738,0.9862449456598285,0.06895958456189241,0.16586171356334345,0.06174132639953831,1.0,69,substitution_1pct,2_3,2+3,3,2.0,250,136,11,25,172
1.0,0.9868325491031238,0.9591363817915534,0.1189124718323098,0.2858791204288476,0.17902523541664003,1.0,69,substitution_1pct,2_3_4,2+3+4,4,0.0,250,136,11,45,192
1.0,0.9872294970643798,0.9603673332980064,0.1171081965561499,0.2815403801874128,0.17372669597278975,1.0,69,substitution_1pct,2_3_4,2+3+4,4,0.25,250,136,11,45,192
1.0,0.9882880249610623,0.9636498706485496,0.11215425963502448,0.2696292946225673,0.1595968107884811,1.0,69,substitution_1pct,2_3_4,2+3+4,4,0.5,250,136,11,45,192
1.0,0.9911989766769391,0.9726768483625415,0.09723418328886646,0.23376510209632664,0.12071829658385923,1.0,69,substitution_1pct,2_3_4,2+3+4,4,1.0,250,136,11,45,192
1.0,0.9955654042507543,0.9862173149335299,0.06904214376842803,0.16602814795658158,0.06229468855778441,1.0,69,substitution_1pct,2_3_4,2+3+4,4,2.0,250,136,11,45,192
1.0,0.9868325491031238,0.9591363817915534,0.1189124718323098,0.2858791204288476,0.17902523541664003,1.0,69,substitution_1pct,2_3_4_6,2+3+4+6,6,0.0,250,136,11,75,222
1.0,0.9872286984131456,0.9603641072255741,0.11711242124615873,0.2815518371938864,0.17377314651691908,1.0,69,substitution_1pct,2_3_4_6,2+3+4+6,6,0.25,250,136,11,75,222
1.0,0.9882850965732037,0.9636380417162965,0.11217003490349524,0.26967315688266824,0.1597667181807358,1.0,69,substitution_1pct,2_3_4_6,2+3+4+6,6,0.5,250,136,11,75,222
1.0,0.9911901915133634,0.9726413615657832,0.0972869299776792,0.2339168417903585,0.12122726068593181,1.0,69,substitution_1pct,2_3_4_6,2+3+4+6,6,1.0,250,136,11,75,222
1.0,0.9955478339236028,0.9861463413400133,0.0691865514733697,0.16645505251470016,0.0632826954713881,1.0,69,substitution_1pct,2_3_4_6,2+3+4+6,6,2.0,250,136,11,75,222
1.0,0.9818234526882876,0.9742426926135083,0.18921680564997825,0.22696765750097708,0.18030319194877314,1.0,69,N_3pct,2,2,2,0.0,250,136,11,10,157
1.0,0.9823635107106969,0.9750044542663217,0.18638666405168328,0.22358627089916658,0.17491238699419717,1.0,69,N_3pct,2,2,2,0.25,250,136,11,10,157
1.0,0.9838036654371214,0.9770358186738248,0.17862044730663554,0.2143085598363756,0.16053617104909104,1.0,69,N_3pct,2,2,2,0.5,250,136,11,10,157
1.0,0.9877640909347892,0.982672115222416,0.15527220612460696,0.18616060080083033,0.1209788839879952,1.0,69,N_3pct,2,2,2,1.0,250,136,11,10,157
1.0,0.9937047291812907,0.9910201834619758,0.11141528302381452,0.13401351336830866,0.061515715019411256,1.0,69,N_3pct,2,2,2,2.0,250,136,11,10,157
1.0,0.9818234526882876,0.9742426926135083,0.18921680564997825,0.22696765750097708,0.18030319194877314,1.0,69,N_3pct,2_3,2+3,3,0.0,250,136,11,25,172
1.0,0.9823584984462657,0.975002153846957,0.18641391567319918,0.22359648094791934,0.17493965037166442,1.0,69,N_3pct,2_3,2+3,3,0.25,250,136,11,25,172
1.0,0.983785287134207,0.9770388642229743,0.1787246574206764,0.21429417314815935,0.16063601067360703,1.0,69,N_3pct,2_3,2+3,3,0.5,250,136,11,25,172
1.0,0.9877089560260455,0.9826900980347665,0.15563108307927384,0.18606386148614373,0.12128561529346216,1.0,69,N_3pct,2_3,2+3,3,1.0,250,136,11,25,172
1.0,0.9935944593638033,0.9909776853839299,0.11240798838393373,0.13433018856537726,0.06213036425255776,1.0,69,N_3pct,2_3,2+3,3,2.0,250,136,11,25,172
