length,condition,block,n_pairs,n_features,l2_delta_mean,l2_delta_p95,paired_cosine_mean,paired_cosine_p05
69,substitution_1pct,identity_CK4,250,136,0.16809574266556238,0.40400137505151507,0.9736808133193957,0.9183909086445069
69,substitution_1pct,global_property_P,250,11,0.003938565732054932,0.011137778170517063,0.9999842848868521,0.9999379746148163
69,substitution_1pct,multiscale_property_MSP,250,75,0.009952045027417568,0.025017620340453392,0.9999054763338421,0.9996870579702625
69,N_3pct,identity_CK4,250,136,0.2598309575465287,0.3146063767973657,0.9656456515936243,0.9505106870712773
69,N_3pct,global_property_P,250,11,0.06313923292656053,0.0715016929281477,0.9980012537829509,0.9974437527990075
69,N_3pct,multiscale_property_MSP,250,75,0.04362990011076302,0.06227563908099635,0.9990064713708275,0.9980608509996943
69,substitution_1pct_N_3pct,identity_CK4,250,136,0.33458311619858544,0.5052056276683053,0.9399293913450572,0.8723745925726735
69,substitution_1pct_N_3pct,global_property_P,250,11,0.06322015335458223,0.07134315202134237,0.9979946649102178,0.9974549465339122
69,substitution_1pct_N_3pct,multiscale_property_MSP,250,75,0.0449158250356173,0.06646870134850374,0.9989465918178716,0.9977909175090308
69,local_mismatch_6bp,identity_CK4,250,136,0.3948314984831153,0.4658851416222482,0.9207233188794334,0.8914755163941848
69,local_mismatch_6bp,global_property_P,250,11,0.013498297411016314,0.026896520645917243,0.9998809991343344,0.9996382876519987
69,local_mismatch_6bp,multiscale_property_MSP,250,75,0.03552123146375583,0.06772061348504226,0.9992211546900432,0.9977069464724303
69,short_indel,identity_CK4,250,136,0.14308797414204127,0.34033248138756134,0.9804598227537735,0.9420845499965007
69,short_indel,global_property_P,250,11,0.002642826172087055,0.007301054177770137,0.999992890816193,0.9999733330921311
69,short_indel,multiscale_property_MSP,250,75,0.011366678308187994,0.02861946570563497,0.9998759028870943,0.9995904602420724
75,substitution_1pct,identity_CK4,250,136,0.1403356309740479,0.3714309241239431,0.9791394002362926,0.9310192572822023
75,substitution_1pct,global_property_P,250,11,0.0030722173174545725,0.00945116173313713,0.999989343434444,0.9999553342861701
75,substitution_1pct,multiscale_property_MSP,250,75,0.008126799760356906,0.02294384066540181,0.9999285202928612,0.9997366870062692
75,N_3pct,identity_CK4,250,136,0.24512263354663377,0.29932210279642446,0.9693075422610864,0.9552030795666945
75,N_3pct,global_property_P,250,11,0.058778774962932524,0.06482290623100345,0.9982667300044645,0.9978989951438295
75,N_3pct,multiscale_property_MSP,250,75,0.04108303230426877,0.0630985385026166,0.9991099377434706,0.9980092773969657
75,substitution_1pct_N_3pct,identity_CK4,250,136,0.3162355373803183,0.5020515005085704,0.9457160001379407,0.8739712463876942
75,substitution_1pct_N_3pct,global_property_P,250,11,0.059174666730976884,0.06624271633016529,0.9982415157181393,0.9978059469357877
75,substitution_1pct_N_3pct,multiscale_property_MSP,250,75,0.041620536449654064,0.05926799471609397,0.9990963508273016,0.9982436293346367
75,local_mismatch_6bp,identity_CK4,250,136,0.36903438120141346,0.4367883383835592,0.9308321601421037,0.9046069029796684
75,local_mismatch_6bp,global_property_P,250,11,0.013202888106803807,0.024823164056176728,0.9998886068402422,0.9996918820154795
75,local_mismatch_6bp,multiscale_property_MSP,250,75,0.03381987137186985,0.06425888001391641,0.9993067879367354,0.9979353911848492
75,short_indel,identity_CK4,250,136,0.11979954822420565,0.33033101956645866,0.9845537546571732,0.945439595243721
75,short_indel,global_property_P,250,11,0.0022538492863630236,0.006736847695717671,0.9999939730920732,0.9999773074356225
75,short_indel,multiscale_property_MSP,250,75,0.00982812212527696,0.02695874027403271,0.9998979802248753,0.9996365764998415
100,substitution_1pct,identity_CK4,250,136,0.15592879625171982,0.336964126363928,0.9796271906580161,0.9432273750766258
100,substitution_1pct,global_property_P,250,11,0.003227295022942998,0.008059786427896705,0.9999898932498654,0.9999675197374538
100,substitution_1pct,multiscale_property_MSP,250,75,0.008543090153850843,0.020533001168497135,0.9999364717661428,0.9997891979022621
100,N_3pct,identity_CK4,250,136,0.24559224008115618,0.296350971486871,0.9693540170718481,0.9560880424250775
100,N_3pct,global_property_P,250,11,0.06414361320750687,0.0693065646873026,0.9979393922145996,0.9975982890671691
100,N_3pct,multiscale_property_MSP,250,75,0.03741037795441038,0.05134103752018327,0.9992649532547971,0.9986816982466613
100,substitution_1pct_N_3pct,identity_CK4,250,136,0.3013842530447098,0.42383077449315465,0.951975114369593,0.9101834785806407
100,substitution_1pct_N_3pct,global_property_P,250,11,0.06447475546495537,0.07068002487654253,0.9979164656745799,0.9975021670287992
100,substitution_1pct_N_3pct,multiscale_property_MSP,250,75,0.03973617711828246,0.05660933938289,0.9991611340077532,0.9983976797589718
100,local_mismatch_6bp,identity_CK4,250,136,0.29873088732986725,0.3494897931005715,0.9548002456858322,0.9389282272659475
100,local_mismatch_6bp,global_property_P,250,11,0.009201968074920398,0.01877798229223861,0.9999455139393603,0.9998236934774694
100,local_mismatch_6bp,multiscale_property_MSP,250,75,0.024015730003379566,0.04448747766219213,0.9996443239724925,0.9990104321243111
100,short_indel,identity_CK4,250,136,0.1315616624652042,0.28026146485437936,0.9859755313478213,0.9607263767195573
100,short_indel,global_property_P,250,11,0.0023455254116422275,0.0055514608570965684,0.9999952308089003,0.9999845891294815
100,short_indel,multiscale_property_MSP,250,75,0.009443472198954821,0.019668655408712304,0.9999280221315797,0.9998065691467326
150,substitution_1pct,identity_CK4,250,136,0.15021373611091512,0.27947453060401356,0.9848227139657154,0.9609468135246619
150,substitution_1pct,global_property_P,250,11,0.002712583126072784,0.006063685942681491,0.999994378936242,0.9999816158412295
150,substitution_1pct,multiscale_property_MSP,250,75,0.007377325541992643,0.014616382880515482,0.9999619791245193,0.999893180622944
150,N_3pct,identity_CK4,250,136,0.2049147852858274,0.24920274319080402,0.9786693404210064,0.968948881934598
150,N_3pct,global_property_P,250,11,0.056897680348053925,0.06152296946386309,0.9983781637986474,0.9981074575241172
150,N_3pct,multiscale_property_MSP,250,75,0.02949133507752884,0.04120042205350809,0.9995428944841201,0.9991512590136291
150,substitution_1pct_N_3pct,identity_CK4,250,136,0.2697165499095064,0.37195666005379174,0.9619261178138584,0.9308204774732777
150,substitution_1pct_N_3pct,global_property_P,250,11,0.057032044989562505,0.06242388031272998,0.9983698294662705,0.9980516285532715
150,substitution_1pct_N_3pct,multiscale_property_MSP,250,75,0.029646791459842742,0.041953386359236504,0.9995401611855363,0.999119944099065
150,local_mismatch_6bp,identity_CK4,250,136,0.21750965341726716,0.25376046405499797,0.9759788396496747,0.9678021484935695
150,local_mismatch_6bp,global_property_P,250,11,0.006335098215128242,0.01186268230923734,0.9999752151372052,0.9999296371647766
150,local_mismatch_6bp,multiscale_property_MSP,250,75,0.016807612056670383,0.031022828718676204,0.9998275056470795,0.999518792033092
