retrieval_top1,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95,mean_pair_margin,margin_positive_rate,length,condition,representation,representation_label,n_pairs,n_features
1.0,0.9736808133193956,0.9183909086445068,0.16809574266556238,0.404001375051515,0.3569696602113496,1.0,69,substitution_1pct,ck4,CK4,250,136
1.0,0.9911901915133634,0.9726413615657832,0.0972869299776792,0.2339168417903585,0.12122726068593181,1.0,69,substitution_1pct,ck4p_msp,CK4P-MSP,250,222
1.0,0.9879053107263077,0.9696838062237668,0.1416420606298163,0.24623590432833942,0.11904868610461061,1.0,69,substitution_1pct,ck4_permuted_pmsp,CK4 + permuted P/MSP,250,222
0.272,0.5623839060180176,0.275615155087106,0.9220661490591919,1.203641049678638,-0.08367382182450758,0.272,69,substitution_1pct,ck4_gaussian_pmsp,CK4 + Gaussian P/MSP,250,222
1.0,0.9656456515936244,0.9505106870712773,0.2598309575465287,0.3146063767973657,0.35925423265887374,1.0,69,N_3pct,ck4,CK4,250,136
1.0,0.9875511255824676,0.9825649945312065,0.15666633205679192,0.18673513361642635,0.12208911005943643,1.0,69,N_3pct,ck4p_msp,CK4P-MSP,250,222
1.0,0.9846033776028839,0.9789856352539139,0.1743593267571056,0.20500863999186833,0.11958411050906437,1.0,69,N_3pct,ck4_permuted_pmsp,CK4 + permuted P/MSP,250,222
1.0,0.9847488783900527,0.9792391348097669,0.17371866253638266,0.20376881600651642,0.11980228107289058,1.0,69,N_3pct,ck4_gaussian_pmsp,CK4 + Gaussian P/MSP,250,222
1.0,0.939929391345057,0.8723745925726739,0.33458311619858544,0.5052056276683053,0.3326286637566687,1.0,69,substitution_1pct_N_3pct,ck4,CK4,250,136
1.0,0.978956882691049,0.956445313335056,0.1987522504390717,0.2951344644619216,0.11319585518329255,1.0,69,substitution_1pct_N_3pct,ck4p_msp,CK4P-MSP,250,222
1.0,0.9760386442054991,0.9547434344113207,0.2135440778622483,0.3008529420415668,0.11072430186499778,1.0,69,substitution_1pct_N_3pct,ck4_permuted_pmsp,CK4 + permuted P/MSP,250,222
1.0,0.9761364606365079,0.952322460369589,0.213270118065026,0.3087960123056017,0.11090745370196828,1.0,69,substitution_1pct_N_3pct,ck4_gaussian_pmsp,CK4 + Gaussian P/MSP,250,222
1.0,0.9207233188794334,0.8914755163941843,0.3948314984831153,0.46588514162224826,0.31284301674113346,1.0,69,local_mismatch_6bp,ck4,CK4,250,136
1.0,0.9732751575679369,0.9636647668699201,0.22931024239520667,0.2695745829005188,0.10618629204991964,1.0,69,local_mismatch_6bp,ck4p_msp,CK4P-MSP,250,222
1.0,0.9704039257537802,0.9597205205392533,0.24144104471877503,0.2838266654049634,0.1041848780479972,1.0,69,local_mismatch_6bp,ck4_permuted_pmsp,CK4 + permuted P/MSP,250,222
0.264,0.5475389679937289,0.24559233213692772,0.9391015199310966,1.2283380069842524,-0.09536584921331308,0.264,69,local_mismatch_6bp,ck4_gaussian_pmsp,CK4 + Gaussian P/MSP,250,222
1.0,0.9804598227537735,0.942084549996501,0.14308797414204127,0.34033248138756134,0.36131153672386385,1.0,69,short_indel,ck4,CK4,250,136
1.0,0.9934428721523536,0.9805841126391018,0.08293192547263231,0.19705183325400027,0.12265969726679955,1.0,69,short_indel,ck4p_msp,CK4P-MSP,250,222
1.0,0.9900427095964479,0.9763532414342477,0.13002729965128276,0.21747062554386506,0.12026244564101449,1.0,69,short_indel,ck4_permuted_pmsp,CK4 + permuted P/MSP,250,222
0.308,0.5722079044325568,0.28869809853633616,0.9112139476491266,1.1927273164674932,-0.07698945222860654,0.308,69,short_indel,ck4_gaussian_pmsp,CK4 + Gaussian P/MSP,250,222
1.0,0.9791394002362928,0.9310192572822024,0.1403356309740479,0.37143092412394313,0.3468438195815338,1.0,75,substitution_1pct,ck4,CK4,250,136
1.0,0.993019087987866,0.9768913198931782,0.08121923864911947,0.21498179065650433,0.1178519098127957,1.0,75,substitution_1pct,ck4p_msp,CK4P-MSP,250,222
1.0,0.9894572777693371,0.9725684757912589,0.13232594984937537,0.2342256592787547,0.11548355397054874,1.0,75,substitution_1pct,ck4_permuted_pmsp,CK4 + permuted P/MSP,250,222
0.208,0.5621883181577607,0.292874957037619,0.9239605558944056,1.1892126085735664,-0.08875476458446872,0.208,75,substitution_1pct,ck4_gaussian_pmsp,CK4 + Gaussian P/MSP,250,222
1.0,0.9693075422610864,0.9552030795666947,0.24512263354663374,0.2993221027964245,0.3446240476754575,1.0,75,N_3pct,ck4,CK4,250,136
1.0,0.9888947366696739,0.984213530013156,0.14775801911725495,0.17768775351179775,0.11723217753324837,1.0,75,N_3pct,ck4p_msp,CK4P-MSP,250,222
1.0,0.9855493386809179,0.9797677472048806,0.16859780718129633,0.2011562181064492,0.11468042772555206,1.0,75,N_3pct,ck4_permuted_pmsp,CK4 + permuted P/MSP,250,222
1.0,0.9857797476874198,0.9805712397347078,0.1676637886866348,0.19712287558047759,0.11475462777024154,1.0,75,N_3pct,ck4_gaussian_pmsp,CK4 + Gaussian P/MSP,250,222
