split,classifier,accuracy,macro_f1,length,local_mode,representation,representation_label,n_samples,n_features,accuracy_std,macro_f1_std
holdout,logistic,0.7916666666666666,0.7916592849803352,69,center,ck4,CK4,500,136,,
5fold_grouped_cv,logistic,0.796,0.7955806043950258,69,center,ck4,CK4,500,136,0.052000000000000005,0.05181758053424252
holdout,logistic,0.9702380952380952,0.9702117096350934,69,center,ck4p_msp,CK4P-MSP,500,222,,
5fold_grouped_cv,logistic,0.9739999999999999,0.9739745690981655,69,center,ck4p_msp,CK4P-MSP,500,222,0.010198039027185577,0.010218626331299939
holdout,logistic,0.7380952380952381,0.7380952380952381,69,center,ck4_permuted_pmsp,CK4 + permuted P/MSP,500,222,,
5fold_grouped_cv,logistic,0.7700000000000001,0.7697098536259455,69,center,ck4_permuted_pmsp,CK4 + permuted P/MSP,500,222,0.0268328157299975,0.026619134900075007
holdout,logistic,0.7202380952380952,0.7202281826878787,69,center,ck4_gaussian_pmsp,CK4 + Gaussian P/MSP,500,222,,
5fold_grouped_cv,logistic,0.79,0.7894969525978273,69,center,ck4_gaussian_pmsp,CK4 + Gaussian P/MSP,500,222,0.017888543819998298,0.01801804937669933
holdout,logistic,0.7261904761904762,0.725216896600768,69,jittered,ck4,CK4,500,136,,
5fold_grouped_cv,logistic,0.726,0.7255860642268139,69,jittered,ck4,CK4,500,136,0.04223742416388575,0.042818289284704616
holdout,logistic,0.8809523809523809,0.8805290854785948,69,jittered,ck4p_msp,CK4P-MSP,500,222,,
5fold_grouped_cv,logistic,0.898,0.8976557023065943,69,jittered,ck4p_msp,CK4P-MSP,500,222,0.024819347291981698,0.025032791594005822
holdout,logistic,0.6964285714285714,0.6959006211180123,69,jittered,ck4_permuted_pmsp,CK4 + permuted P/MSP,500,222,,
5fold_grouped_cv,logistic,0.6940000000000001,0.6935846255758398,69,jittered,ck4_permuted_pmsp,CK4 + permuted P/MSP,500,222,0.021540659228537984,0.021444685855321364
holdout,logistic,0.6964285714285714,0.6951215172757357,69,jittered,ck4_gaussian_pmsp,CK4 + Gaussian P/MSP,500,222,,
5fold_grouped_cv,logistic,0.718,0.7165708143167093,69,jittered,ck4_gaussian_pmsp,CK4 + Gaussian P/MSP,500,222,0.0040000000000000036,0.0034353300158345623
holdout,logistic,0.75,0.7498581962563812,69,left,ck4,CK4,500,136,,
5fold_grouped_cv,logistic,0.772,0.7711475392004168,69,left,ck4,CK4,500,136,0.04578209256903839,0.04596741296189939
holdout,logistic,0.9880952380952381,0.9880935506732813,69,left,ck4p_msp,CK4P-MSP,500,222,,
5fold_grouped_cv,logistic,0.984,0.9839911938351078,69,left,ck4p_msp,CK4P-MSP,500,222,0.01019803902718558,0.010206597892610593
holdout,logistic,0.7261904761904762,0.7258407833120477,69,left,ck4_permuted_pmsp,CK4 + permuted P/MSP,500,222,,
5fold_grouped_cv,logistic,0.73,0.7294622443264862,69,left,ck4_permuted_pmsp,CK4 + permuted P/MSP,500,222,0.028284271247461926,0.02823338937669838
holdout,logistic,0.7202380952380952,0.7201488569909622,69,left,ck4_gaussian_pmsp,CK4 + Gaussian P/MSP,500,222,,
5fold_grouped_cv,logistic,0.724,0.7219117240601733,69,left,ck4_gaussian_pmsp,CK4 + Gaussian P/MSP,500,222,0.0344093010681705,0.03568952834409195
holdout,logistic,0.75,0.7498581962563812,69,right,ck4,CK4,500,136,,
5fold_grouped_cv,logistic,0.75,0.7497843183730689,69,right,ck4,CK4,500,136,0.02966479394838268,0.0296155723010466
holdout,logistic,0.9821428571428571,0.9821371610845295,69,right,ck4p_msp,CK4P-MSP,500,222,,
5fold_grouped_cv,logistic,0.982,0.981987389610986,69,right,ck4p_msp,CK4P-MSP,500,222,0.011661903789690611,0.011673165031177182
holdout,logistic,0.75,0.75,69,right,ck4_permuted_pmsp,CK4 + permuted P/MSP,500,222,,
5fold_grouped_cv,logistic,0.7140000000000001,0.713005342634194,69,right,ck4_permuted_pmsp,CK4 + permuted P/MSP,500,222,0.04923413450036469,0.04988082794669529
holdout,logistic,0.7142857142857143,0.7142452161587527,69,right,ck4_gaussian_pmsp,CK4 + Gaussian P/MSP,500,222,,
5fold_grouped_cv,logistic,0.762,0.7613942205458476,69,right,ck4_gaussian_pmsp,CK4 + Gaussian P/MSP,500,222,0.03969886648255845,0.039985258007083774
holdout,logistic,0.8988095238095238,0.8987198127593177,100,center,ck4,CK4,500,136,,
5fold_grouped_cv,logistic,0.9119999999999999,0.9118676515654874,100,center,ck4,CK4,500,136,0.03310589071449369,0.03320658142088433
holdout,logistic,0.9821428571428571,0.9821371610845295,100,center,ck4p_msp,CK4P-MSP,500,222,,
5fold_grouped_cv,logistic,0.9780000000000001,0.97798578897073,100,center,ck4p_msp,CK4P-MSP,500,222,0.007483314773547889,0.007493695086588851
holdout,logistic,0.8988095238095238,0.8987772461456671,100,center,ck4_permuted_pmsp,CK4 + permuted P/MSP,500,222,,
5fold_grouped_cv,logistic,0.9020000000000001,0.9017790628195058,100,center,ck4_permuted_pmsp,CK4 + permuted P/MSP,500,222,0.0354400902933387,0.03550408521810731
holdout,logistic,0.8809523809523809,0.8808848553601816,100,center,ck4_gaussian_pmsp,CK4 + Gaussian P/MSP,500,222,,
5fold_grouped_cv,logistic,0.9020000000000001,0.9015915028784656,100,center,ck4_gaussian_pmsp,CK4 + Gaussian P/MSP,500,222,0.03370459909270544,0.03429471646540976
holdout,logistic,0.9583333333333334,0.958331856996067,100,jittered,ck4,CK4,500,136,,
5fold_grouped_cv,logistic,0.9399999999999998,0.9398941496896447,100,jittered,ck4,CK4,500,136,0.012649110640673493,0.01266953387134547
holdout,logistic,0.9940476190476191,0.9940474081422952,100,jittered,ck4p_msp,CK4P-MSP,500,222,,
5fold_grouped_cv,logistic,0.9719999999999999,0.9719827877102197,100,jittered,ck4p_msp,CK4P-MSP,500,222,0.007483314773547889,0.00748791839453844
holdout,logistic,0.9642857142857143,0.9642806520198441,100,jittered,ck4_permuted_pmsp,CK4 + permuted P/MSP,500,222,,
5fold_grouped_cv,logistic,0.9359999999999999,0.9358904928796848,100,jittered,ck4_permuted_pmsp,CK4 + permuted P/MSP,500,222,0.01854723699099138,0.018669793948101043
holdout,logistic,0.9464285714285714,0.9464266732806577,100,jittered,ck4_gaussian_pmsp,CK4 + Gaussian P/MSP,500,222,,
5fold_grouped_cv,logistic,0.944,0.9439025398842038,100,jittered,ck4_gaussian_pmsp,CK4 + Gaussian P/MSP,500,222,0.014966629547095737,0.015013206545024664
holdout,logistic,0.9464285714285714,0.9464114832535885,100,left,ck4,CK4,500,136,,
5fold_grouped_cv,logistic,0.9440000000000002,0.9439410771899801,100,left,ck4,CK4,500,136,0.025768197453450225,0.02582148443660233
holdout,logistic,0.9940476190476191,0.9940474081422952,100,left,ck4p_msp,CK4P-MSP,500,222,,
5fold_grouped_cv,logistic,0.9880000000000001,0.9879975992797361,100,left,ck4p_msp,CK4P-MSP,500,222,0.0040000000000000036,0.004002801240508269
holdout,logistic,0.9107142857142857,0.9105590062111801,100,left,ck4_permuted_pmsp,CK4 + permuted P/MSP,500,222,,
5fold_grouped_cv,logistic,0.942,0.9419380744873077,100,left,ck4_permuted_pmsp,CK4 + permuted P/MSP,500,222,0.019390719429665283,0.019469613125863337
holdout,logistic,0.9285714285714286,0.9285613040396882,100,left,ck4_gaussian_pmsp,CK4 + Gaussian P/MSP,500,222,,
5fold_grouped_cv,logistic,0.942,0.9419392958057966,100,left,ck4_gaussian_pmsp,CK4 + Gaussian P/MSP,500,222,0.01166190378969057,0.011653300924234812
holdout,logistic,0.9761904761904762,0.9761904761904762,100,right,ck4,CK4,500,136,,
