mi_bits,mi_perm_p,mi_perm_mean,length,local_mode,representation,representation_label,n_triplets
0.5196324144803706,0.004975124378109453,0.010510644517402894,69,center,ck4,CK4,250
0.5290845175705005,0.004975124378109453,0.01040913102325416,69,center,ck4p_msp,CK4P-MSP,250
0.49130248964204454,0.004975124378109453,0.010719217817739768,69,center,ck4_permuted_pmsp,CK4 + permuted P/MSP,250
0.0029646764494773398,0.9552238805970149,0.010457955084255486,69,center,ck4_gaussian_pmsp,CK4 + Gaussian P/MSP,250
0.46153897313104153,0.004975124378109453,0.009805532665210108,69,jittered,ck4,CK4,250
0.46098448640807266,0.004975124378109453,0.010007912163171049,69,jittered,ck4p_msp,CK4P-MSP,250
0.4498339872074765,0.004975124378109453,0.009563222828671407,69,jittered,ck4_permuted_pmsp,CK4 + permuted P/MSP,250
0.00471558097645765,0.8955223880597015,0.00992035586244263,69,jittered,ck4_gaussian_pmsp,CK4 + Gaussian P/MSP,250
0.481062164140008,0.004975124378109453,0.010680389616219407,69,left,ck4,CK4,250
0.47834820206862394,0.004975124378109453,0.010686341006845108,69,left,ck4p_msp,CK4P-MSP,250
0.4642020060953847,0.004975124378109453,0.0098212197872769,69,left,ck4_permuted_pmsp,CK4 + permuted P/MSP,250
0.027728603616401393,0.004975124378109453,0.010307071781980119,69,left,ck4_gaussian_pmsp,CK4 + Gaussian P/MSP,250
0.43690969228775883,0.004975124378109453,0.010385449762125694,69,right,ck4,CK4,250
0.43758431411866017,0.004975124378109453,0.010176216689833041,69,right,ck4p_msp,CK4P-MSP,250
0.43510438282037006,0.004975124378109453,0.010069193056426996,69,right,ck4_permuted_pmsp,CK4 + permuted P/MSP,250
0.007373224949399062,0.6517412935323383,0.01046624758646686,69,right,ck4_gaussian_pmsp,CK4 + Gaussian P/MSP,250
0.7643795069839822,0.004975124378109453,0.01010383377827552,100,center,ck4,CK4,250
0.7605865724342709,0.004975124378109453,0.01030405747757321,100,center,ck4p_msp,CK4P-MSP,250
0.7421432061941359,0.004975124378109453,0.00988552293367207,100,center,ck4_permuted_pmsp,CK4 + permuted P/MSP,250
0.008704826528846972,0.5223880597014925,0.010383079669473137,100,center,ck4_gaussian_pmsp,CK4 + Gaussian P/MSP,250
0.8206189490363855,0.004975124378109453,0.010493841707294796,100,jittered,ck4,CK4,250
0.8206189490363855,0.004975124378109453,0.010430249549673243,100,jittered,ck4p_msp,CK4P-MSP,250
0.7969968274854957,0.004975124378109453,0.010249893462615386,100,jittered,ck4_permuted_pmsp,CK4 + permuted P/MSP,250
0.010845056845776937,0.36318407960199006,0.010143842099741538,100,jittered,ck4_gaussian_pmsp,CK4 + Gaussian P/MSP,250
0.7623645751926762,0.004975124378109453,0.01074895857816769,100,left,ck4,CK4,250
0.7623172715970257,0.004975124378109453,0.010691099938711335,100,left,ck4p_msp,CK4P-MSP,250
0.7734419611048522,0.004975124378109453,0.01011544219337628,100,left,ck4_permuted_pmsp,CK4 + permuted P/MSP,250
0.01306352880092619,0.23880597014925373,0.01011990280928697,100,left,ck4_gaussian_pmsp,CK4 + Gaussian P/MSP,250
0.8266779868271801,0.004975124378109453,0.010483536910874438,100,right,ck4,CK4,250
0.826584142663813,0.004975124378109453,0.010401405726554213,100,right,ck4p_msp,CK4P-MSP,250
0.8166850985465114,0.004975124378109453,0.01016285129603428,100,right,ck4_permuted_pmsp,CK4 + permuted P/MSP,250
0.0078842216381538,0.6019900497512438,0.010056471478577488,100,right,ck4_gaussian_pmsp,CK4 + Gaussian P/MSP,250
0.907776377982577,0.004975124378109453,0.009841119630773703,150,center,ck4,CK4,250
0.9077298374148605,0.004975124378109453,0.009900105755809708,150,center,ck4p_msp,CK4P-MSP,250
0.907776377982577,0.004975124378109453,0.009724351953155559,150,center,ck4_permuted_pmsp,CK4 + permuted P/MSP,250
0.006472832709107963,0.681592039800995,0.009839712586229444,150,center,ck4_gaussian_pmsp,CK4 + Gaussian P/MSP,250
0.8862459175822659,0.004975124378109453,0.009588256526039873,150,jittered,ck4,CK4,250
0.8862459175822659,0.004975124378109453,0.009583560867753787,150,jittered,ck4p_msp,CK4P-MSP,250
0.8862459175822659,0.004975124378109453,0.009424991872477409,150,jittered,ck4_permuted_pmsp,CK4 + permuted P/MSP,250
0.007059126624068358,0.7263681592039801,0.010318706754927454,150,jittered,ck4_gaussian_pmsp,CK4 + Gaussian P/MSP,250
0.944965754374449,0.004975124378109453,0.010051035975981455,150,left,ck4,CK4,250
0.944965754374449,0.004975124378109453,0.00990656171587886,150,left,ck4p_msp,CK4P-MSP,250
0.925077454020801,0.004975124378109453,0.009826701160001087,150,left,ck4_permuted_pmsp,CK4 + permuted P/MSP,250
0.031608946455197046,0.004975124378109453,0.010268835642646064,150,left,ck4_gaussian_pmsp,CK4 + Gaussian P/MSP,250
0.9144109058936517,0.004975124378109453,0.010521703866761737,150,right,ck4,CK4,250
0.9144109058936517,0.004975124378109453,0.010574948824589958,150,right,ck4p_msp,CK4P-MSP,250
0.9144109058936517,0.004975124378109453,0.010405298178489666,150,right,ck4_permuted_pmsp,CK4 + permuted P/MSP,250
0.01083473995359229,0.3781094527363184,0.010225323299709797,150,right,ck4_gaussian_pmsp,CK4 + Gaussian P/MSP,250
