length,block,n_reads,n_features,mean_feature_sd,median_feature_sd,mean_bootstrap_ci_width,median_bootstrap_ci_width,min_bin_bp,median_bin_bp,worst_case_binomial_se
69,global_property_P,600,11,0.010947568489264713,0.008269561604651383,0.0017350686086629527,0.0013418247194030841,,,
69,multiscale_property_MSP,600,75,0.007732268790662701,0.009667433818027883,0.0012304997830395723,0.001580359778703716,,,
69,MSP_bin_scale_2,600,10,,,,,34.0,34.5,0.08574929257125442
69,MSP_bin_scale_3,600,15,,,,,23.0,23.0,0.10425720702853739
69,MSP_bin_scale_4,600,20,,,,,17.0,17.0,0.12126781251816648
69,MSP_bin_scale_6,600,30,,,,,11.0,11.5,0.15075567228888181
75,global_property_P,600,11,0.011082341658073758,0.008681635720280486,0.0016490471425853242,0.0012893424374016138,,,
75,multiscale_property_MSP,600,75,0.007622263256848119,0.009818692333807855,0.0012288182948655137,0.0015489072300484408,,,
75,MSP_bin_scale_2,600,10,,,,,37.0,37.5,0.08219949365267865
75,MSP_bin_scale_3,600,15,,,,,25.0,25.0,0.1
75,MSP_bin_scale_4,600,20,,,,,18.0,19.0,0.11785113019775792
75,MSP_bin_scale_6,600,30,,,,,12.0,12.5,0.14433756729740643
100,global_property_P,600,11,0.010793101592226274,0.008390930492105928,0.001702995613092982,0.0013136063038634571,,,
100,multiscale_property_MSP,600,75,0.006815380313040912,0.00824875312739576,0.0010825880320852336,0.0013135617569683955,,,
100,MSP_bin_scale_2,600,10,,,,,50.0,50.0,0.07071067811865475
100,MSP_bin_scale_3,600,15,,,,,33.0,33.0,0.08703882797784893
100,MSP_bin_scale_4,600,20,,,,,25.0,25.0,0.1
100,MSP_bin_scale_6,600,30,,,,,16.0,17.0,0.125
150,global_property_P,600,11,0.010228167414921097,0.007956688331984981,0.001514561562399626,0.0012015686359550526,,,
150,multiscale_property_MSP,600,75,0.006027045866247929,0.007117260380926602,0.0009397544733839713,0.001122881529863673,,,
150,MSP_bin_scale_2,600,10,,,,,75.0,75.0,0.05773502691896258
150,MSP_bin_scale_3,600,15,,,,,50.0,50.0,0.07071067811865475
150,MSP_bin_scale_4,600,20,,,,,37.0,37.5,0.08219949365267865
150,MSP_bin_scale_6,600,30,,,,,25.0,25.0,0.1
