length,condition,omitted_p_group,n_pairs,p_features_remaining,retrieval_top1,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95,mean_pair_margin,margin_positive_rate
69,substitution_1pct,none,250,11,1.0,0.9892653910242861,0.9591550410263886,0.09808619514806036,0.28581396180251545,0.1792716950725392,1.0
69,substitution_1pct,hydrogen,250,9,1.0,0.9892469884624975,0.958984943860261,0.09817324219900589,0.28640890533288377,0.18068460424403474,1.0
69,substitution_1pct,gc,250,9,1.0,0.9892670923099661,0.9591848923364953,0.09807815186322676,0.2857094064287864,0.17915303971110458,1.0
69,substitution_1pct,purine,250,9,1.0,0.9892682310991965,0.9591537285288462,0.09807259981912085,0.28581856189504523,0.17899462127782828,1.0
69,substitution_1pct,eiip,250,9,1.0,0.9892653995022977,0.9591551518356818,0.09808615642137479,0.2858135743386932,0.17927107067839188,1.0
69,substitution_1pct,n_fraction,250,10,1.0,0.9892653910242861,0.9591550410263886,0.09808619514806036,0.28581396180251545,0.1792716950725392,1.0
69,substitution_1pct,scaled_length,250,10,1.0,0.9892653433174744,0.9591546602117844,0.09808642184289365,0.2858152964514471,0.17927563126910911,1.0
69,substitution_1pct,entropy,250,10,1.0,0.9892658527002043,0.9591691610031645,0.09808407691978575,0.2857644817267644,0.17926963294341033,1.0
69,N_3pct,none,250,11,1.0,0.9815420408959906,0.9742567846184401,0.19049730298075435,0.22690577755592445,0.17796882277485468,1.0
69,N_3pct,hydrogen,250,9,1.0,0.9819658658933188,0.9746420107126469,0.18820036413556956,0.2252019292938966,0.17929097603485564,1.0
69,N_3pct,gc,250,9,1.0,0.981487667933901,0.9741995112422505,0.19078795085620315,0.22715806514272682,0.17786645365391285,1.0
69,N_3pct,purine,250,9,1.0,0.9814875097226456,0.9742077406804185,0.19079121678622585,0.2271218704700407,0.1776839635706354,1.0
69,N_3pct,eiip,250,9,1.0,0.9815425192758812,0.9742571797963052,0.19049468567934155,0.22690404259110267,0.17796845521801732,1.0
69,N_3pct,n_fraction,250,10,1.0,0.9815681032427689,0.9742819442123646,0.19035727827272184,0.22679488045536544,0.1779688560009429,1.0
69,N_3pct,scaled_length,250,10,1.0,0.9815275255870013,0.9742424173788996,0.19057560053566663,0.2269690866425615,0.17797500219560422,1.0
69,N_3pct,entropy,250,10,1.0,0.9815935799700917,0.9743271162435508,0.1902202119319915,0.22659559074420058,0.1779419938308652,1.0
69,trim_5bp,none,250,11,1.0,0.9884915394649232,0.9851510618637446,0.15080631037309544,0.1723303292760563,0.1810356548953066,1.0
69,trim_5bp,hydrogen,250,9,1.0,0.9883781296123094,0.9850475519625721,0.1515665019569099,0.17293011159425087,0.1824793046154224,1.0
69,trim_5bp,gc,250,9,1.0,0.9884958495931468,0.9851531271311108,0.15077785232071436,0.17231838459341858,0.18091955452722622,1.0
69,trim_5bp,purine,250,9,1.0,0.9884982957154391,0.9851539646371835,0.15076071779675715,0.17231343533501683,0.1807316796727505,1.0
69,trim_5bp,eiip,250,9,1.0,0.9884915333416264,0.9851510838371514,0.15080635159922354,0.17233020239984873,0.1810348989237844,1.0
69,trim_5bp,n_fraction,250,10,1.0,0.9884915394649232,0.9851510618637446,0.15080631037309544,0.1723303292760563,0.18103565489530662,1.0
69,trim_5bp,scaled_length,250,10,1.0,0.9885101224849676,0.9851678208888509,0.15068133159544428,0.17223305241657944,0.18103716593003724,1.0
69,trim_5bp,entropy,250,10,1.0,0.9884902021758801,0.9851503952642776,0.15081496782314102,0.17233421136128713,0.18103681618230894,1.0
69,substitution_1pct_N_3pct,none,250,11,1.0,0.9683105819518874,0.9325358864434757,0.24346705761266668,0.36730177882885795,0.16565846575496704,1.0
69,substitution_1pct_N_3pct,hydrogen,250,9,1.0,0.9687238987606681,0.9330251585722045,0.2416227558342786,0.3659694737958911,0.16692702842818233,1.0
69,substitution_1pct_N_3pct,gc,250,9,1.0,0.9682578307800043,0.9325006372439429,0.2437009323515242,0.3673975928052518,0.16554755739629032,1.0
69,substitution_1pct_N_3pct,purine,250,9,1.0,0.9682575016577947,0.9324613552407676,0.24370262181339408,0.36750473367097697,0.1653972716852901,1.0
69,substitution_1pct_N_3pct,eiip,250,9,1.0,0.9683110764385013,0.9325377057138282,0.24346488170886357,0.3672968150018227,0.16565781777331773,1.0
69,substitution_1pct_N_3pct,n_fraction,250,10,1.0,0.9683366106146716,0.9325661547280352,0.24335278369448235,0.3672193094892369,0.16565849616929476,1.0
69,substitution_1pct_N_3pct,scaled_length,250,10,1.0,0.9682958931746969,0.9325189066698931,0.24353166699841183,0.36734801857859034,0.1656638402850586,1.0
69,substitution_1pct_N_3pct,entropy,250,10,1.0,0.9683647049463204,0.9325905125077302,0.24323169011951898,0.367153136011192,0.1656359992064106,1.0
69,local_mismatch_6bp,none,250,11,1.0,0.9601938532708612,0.9447395209312626,0.28011657513737,0.33244418504785916,0.15508226661306446,1.0
69,local_mismatch_6bp,hydrogen,250,9,1.0,0.9599912602037263,0.9444417509518804,0.28086306639818265,0.33333796125499865,0.15617498401628116,1.0
69,local_mismatch_6bp,gc,250,9,1.0,0.9602178540115772,0.9447770500855623,0.2800278810088695,0.3323316698772969,0.15497124244262853,1.0
69,local_mismatch_6bp,purine,250,9,1.0,0.9602207728854707,0.9447665227205462,0.2800177711353149,0.33236268385196205,0.15487194440559918,1.0
69,local_mismatch_6bp,eiip,250,9,1.0,0.9601939884350804,0.9447399254566511,0.28011610294608613,0.33244297178382753,0.15508172827813593,1.0
69,local_mismatch_6bp,n_fraction,250,10,1.0,0.9601938532708612,0.9447395209312626,0.28011657513737,0.33244418504785916,0.15508226661306446,1.0
69,local_mismatch_6bp,scaled_length,250,10,1.0,0.9601935255804755,0.9447392283193822,0.2801178254336863,0.332445069931959,0.15508482296700052,1.0
69,local_mismatch_6bp,entropy,250,10,1.0,0.9601961319537545,0.94474720241653,0.2801074825332678,0.33242114013968227,0.15507851734510764,1.0
69,short_indel,none,250,11,1.0,0.9916091384541758,0.9701311279273762,0.08633297990950421,0.24441300758414575,0.18193764598550774,1.0
69,short_indel,hydrogen,250,9,1.0,0.9915998726276992,0.9701141010019495,0.0863848177106571,0.24448265360886262,0.1833585059317243,1.0
69,short_indel,gc,250,9,1.0,0.9916099034381238,0.9701342596317196,0.08632864474570065,0.24440019792525403,0.18182097085573878,1.0
69,short_indel,purine,250,9,1.0,0.9916102968898369,0.9701317948766507,0.08632654917531124,0.2444102765072481,0.18166092907718587,1.0
69,short_indel,eiip,250,9,1.0,0.991609140234598,0.9701311241035118,0.08633296844918763,0.2444130232317782,0.18193700243519695,1.0
69,short_indel,n_fraction,250,10,1.0,0.9916091384541758,0.9701311279273763,0.08633297990950421,0.24441300758414575,0.18193764598550774,1.0
69,short_indel,scaled_length,250,10,1.0,0.9916095932812694,0.9701315164311317,0.08633044236079537,0.24441141680853987,0.1819411242124678,1.0
69,short_indel,entropy,250,10,1.0,0.9916092215669211,0.9701315037001675,0.0863326636398723,0.2444114716537022,0.1819356760447197,1.0
75,substitution_1pct,none,250,11,1.0,0.9875432833448696,0.9605845144097344,0.11444902643030536,0.28076598130323716,0.17595052387454227,1.0
75,substitution_1pct,hydrogen,250,9,1.0,0.987524269515052,0.9605267106473842,0.11455405911464886,0.28097117673570887,0.17701348622520288,1.0
75,substitution_1pct,gc,250,9,1.0,0.9875450310145072,0.9605857759685819,0.11444098974180679,0.28076150978382797,0.17586824281220437,1.0
75,substitution_1pct,purine,250,9,1.0,0.9875466695775382,0.9606006911657855,0.11442054925451871,0.2807085088417575,0.17572548933084306,1.0
75,substitution_1pct,eiip,250,9,1.0,0.9875432919289956,0.9605844967296104,0.1144489697754153,0.2807660438536042,0.17595011690327586,1.0
75,substitution_1pct,n_fraction,250,10,1.0,0.9875432833448696,0.9605845144097344,0.11444902643030536,0.28076598130323716,0.17595052387454221,1.0
75,substitution_1pct,scaled_length,250,10,1.0,0.9875432286567499,0.9605842332206341,0.11444941584645284,0.2807669800772185,0.17595402741214342,1.0
75,substitution_1pct,entropy,250,10,1.0,0.9875432854846684,0.9605828614617251,0.11444946101607979,0.2807718520908608,0.17595290378399836,1.0
