length,condition,representation,n_pairs,n_features,retrieval_top1,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95,mean_pair_margin,margin_positive_rate
69,substitution_1pct,P_declared,250,11,0.676,0.9999874524205997,0.9999435427051792,0.0032110257794953625,0.010626118705383405,2.455410631698296e-05,0.652
69,substitution_1pct,P_property_only,250,8,0.66,0.9999882968996271,0.9999486333847439,0.0031251337039603904,0.010132929146509432,1.851868771560694e-05,0.636
69,substitution_1pct,P_auxiliary_only,250,3,0.42,0.9999969527709294,0.9999905383605706,0.0010675505360522538,0.004349635490603359,-2.711269042523945e-06,0.3
69,substitution_1pct,P_train_zscore,250,11,0.756,0.9922900550588184,0.9638498228303258,0.07283720241803605,0.2688832234381846,0.013664518910280539,0.728
69,substitution_1pct,P_unit_range,250,11,0.768,0.9999371574126062,0.9997292441309118,0.007109234733230397,0.023266813495856277,0.00017849822883981626,0.748
69,substitution_1pct,MSP_declared,250,75,1.0,0.9999236459178668,0.9996871290715259,0.008087153982785528,0.025014771352059033,0.0018550900123203257,1.0
69,substitution_1pct,MSP_train_zscore,250,75,1.0,0.9884799670264766,0.9499303705828408,0.09612756208069564,0.3164433025348776,0.22629851234878362,1.0
69,substitution_1pct,MSP_unit_range,250,75,1.0,0.9994838214344889,0.9978545639558725,0.02096826170925832,0.06550471074684851,0.013197479946415128,1.0
69,substitution_1pct,CK4+P_declared,250,147,1.0,0.9892653910242861,0.9591550410263886,0.09808619514806036,0.28581396180251545,0.1792716950725392,1.0
69,substitution_1pct,CK4+P_property_only,250,144,1.0,0.9892658132637998,0.959169146987402,0.09808426927272544,0.2857645317816435,0.17927375942008333,1.0
69,substitution_1pct,CK4+P_auxiliary_only,250,139,1.0,0.989270141199451,0.9592021423113174,0.09806389486756713,0.28564895301798815,0.17885669693449444,1.0
69,substitution_1pct,CK4+P_train_zscore,250,147,1.0,0.9854166923433956,0.9481535471608251,0.11341912757384603,0.32201243045243805,0.2311401666686454,1.0
69,substitution_1pct,CK4+P_unit_range,250,147,1.0,0.9892402435202894,0.9588944698053521,0.09820461279059545,0.28672460356588725,0.18117000055863244,1.0
69,substitution_1pct,CK4P-MSP_declared,250,222,1.0,0.9928181426554799,0.9726761294329872,0.08023464753993415,0.23376837160061475,0.12133854900404654,1.0
69,substitution_1pct,CK4P-MSP_property_only,250,219,1.0,0.9928184241484889,0.9726855334069959,0.08023307851597301,0.2337281003616171,0.12133873266357739,1.0
69,substitution_1pct,CK4P-MSP_auxiliary_only,250,214,1.0,0.992821309438923,0.9727075302896064,0.080216480183489,0.23363391563114186,0.12106690307410688,1.0
69,substitution_1pct,CK4P-MSP_train_zscore,250,222,1.0,0.9864377839044225,0.9495144912460503,0.10908028996184854,0.3177588180470184,0.2782231159653256,1.0
69,substitution_1pct,CK4P-MSP_unit_range,250,222,1.0,0.9926547694916892,0.9717700826864606,0.0811667624615524,0.23761203706232403,0.1323358569365231,1.0
69,N_3pct,P_declared,250,11,0.076,0.9980142424475388,0.9975555296665152,0.06295037888080281,0.06992094282286174,-0.00029077989796828297,0.068
69,N_3pct,P_property_only,250,8,0.1,0.9981471696666147,0.9977497865776195,0.06079671890613515,0.06708511845713777,-0.00018202118515034637,0.096
69,N_3pct,P_auxiliary_only,250,3,0.004,0.9992537726376847,0.9990870899762073,0.03855659473281308,0.04272949479206635,-0.00019207029755573534,0.004
69,N_3pct,P_train_zscore,250,11,0.004,0.4186313375788434,0.009348768097715222,1.048892070507036,1.4075874474475634,-0.40553776687059134,0.004
69,N_3pct,P_unit_range,250,11,0.28,0.9990300423735372,0.998706839727005,0.04382811955296135,0.05085566234011975,-4.0051733015947996e-05,0.268
69,N_3pct,MSP_declared,250,75,0.984,0.9990454719524973,0.9982439192658136,0.04291408671527127,0.05926273676047618,0.0015586308017534797,0.984
69,N_3pct,MSP_train_zscore,250,75,0.944,0.8716809356023703,0.7114499020884392,0.48428261515390136,0.759670951433485,0.14790075523487856,0.944
69,N_3pct,MSP_unit_range,250,75,1.0,0.9977851356641101,0.9965177654157887,0.06583065009318452,0.0834533837783717,0.01312567148660306,1.0
69,N_3pct,CK4+P_declared,250,147,1.0,0.9815420408959906,0.9742567846184403,0.19049730298075435,0.22690577755592445,0.17796882277485468,1.0
69,N_3pct,CK4+P_property_only,250,144,1.0,0.9816085045055286,0.9743415442461977,0.19014026479935217,0.22653192126422947,0.17794855426908798,1.0
69,N_3pct,CK4+P_auxiliary_only,250,139,1.0,0.9821618059910636,0.9749012107597498,0.1871338506445289,0.22404689509501097,0.177482142839712,1.0
69,N_3pct,CK4+P_train_zscore,250,147,0.632,0.6918505884616429,0.4877147020847981,0.766394620015604,1.0122107334786472,0.05940281938533542,0.632
69,N_3pct,CK4+P_unit_range,250,147,1.0,0.9820499408589897,0.9747484670305689,0.18774319334456438,0.22472810542490962,0.17971031714003985,1.0
69,N_3pct,CK4P-MSP_declared,250,222,1.0,0.9873765179148261,0.9825585935094343,0.15764167855298822,0.18676941109756623,0.12052093138049104,1.0
69,N_3pct,CK4P-MSP_property_only,250,219,1.0,0.9874208269878516,0.9825965659823528,0.15735478376895726,0.18656596433533015,0.12050492397237907,1.0
69,N_3pct,CK4P-MSP_auxiliary_only,250,214,1.0,0.9877896946448748,0.9829793588781353,0.15493895001295344,0.1845026097738421,0.12019638911164535,1.0
69,N_3pct,CK4P-MSP_train_zscore,250,222,0.98,0.751794037508552,0.611563145913519,0.6936257811215168,0.8814005388482287,0.1709438600789608,0.98
69,N_3pct,CK4P-MSP_unit_range,250,222,1.0,0.9872950057940298,0.9824778906873073,0.15817234103664837,0.1872007417695997,0.1314793378955035,1.0
69,trim_5bp,P_declared,250,11,0.324,0.9999285853963069,0.9998567178513486,0.011683676416821455,0.016928205210118896,5.462919609374062e-06,0.308
69,trim_5bp,P_property_only,250,8,0.288,0.9999665044518229,0.9999063778701671,0.007307016287129718,0.013683194184196487,-1.0247001278451685e-06,0.272
69,trim_5bp,P_auxiliary_only,250,3,0.004,0.999662239937413,0.9995186624262371,0.025800340356575892,0.031027006672300333,-0.00021566467153027614,0.004
69,trim_5bp,P_train_zscore,250,11,0.24,0.8632896198326755,0.7040632052612245,0.4943505434039238,0.7693298096923794,-0.014001441245909336,0.236
69,trim_5bp,P_unit_range,250,11,0.484,0.9997246263212662,0.9994469453505882,0.022655502436707223,0.033258201214905025,9.754180806927781e-05,0.476
69,trim_5bp,MSP_declared,250,75,0.84,0.9987624608188859,0.9976849374040776,0.048393081837595324,0.06804464806349049,0.0008602715755458807,0.84
69,trim_5bp,MSP_train_zscore,250,75,0.824,0.8482690985260176,0.683133193504758,0.5238752674939144,0.7960719846609841,0.0891189132545527,0.824
69,trim_5bp,MSP_unit_range,250,75,0.88,0.9920642836125285,0.9854769662946868,0.12269511576052167,0.17042812306792507,0.006798361052952805,0.88
69,trim_5bp,CK4+P_declared,250,147,1.0,0.9884915394649233,0.9851510618637445,0.15080631037309544,0.1723303292760563,0.18103565489530665,1.0
