representation,n_cells,paired_cosine,l2_drift,retrieval_top1
P_auxiliary_only,24,0.9996981634002232,0.017944731109611096,0.123
P_unit_range,24,0.9995887010561626,0.023128204311406594,0.4965
P_property_only,24,0.999395850959277,0.023214710085738152,0.35650000000000004
P_declared,24,0.9993564047100164,0.024658976149145816,0.3626666666666667
MSP_declared,24,0.999497119371934,0.026509521741805087,0.9688333333333333
MSP_unit_range,24,0.9977526334226581,0.055828154860777,0.985
CK4P-MSP_auxiliary_only,24,0.9895145293866657,0.12763771329323445,1.0
CK4P-MSP_property_only,24,0.9894137585730168,0.12824207962562612,1.0
CK4P-MSP_declared,24,0.9894006098232634,0.12833257366810627,1.0
CK4P-MSP_unit_range,24,0.9888965466222203,0.13179916784348866,1.0
CK4+P_auxiliary_only,24,0.9845232343940316,0.15488253345884623,1.0
CK4+P_unit_range,24,0.9844685032220012,0.15510961790713948,1.0
CK4+P_property_only,24,0.9843720781735583,0.155630821589292,1.0
CK4+P_declared,24,0.984352355048928,0.15574337520239054,1.0
MSP_train_zscore,24,0.921916759331264,0.32936605832381716,0.9513333333333334
CK4P-MSP_train_zscore,24,0.8866120676606469,0.38988767056844464,0.987
CK4+P_train_zscore,24,0.8689597218253384,0.40395957887711204,0.8395
P_train_zscore,24,0.768571138262837,0.49546798439495904,0.38799999999999996
