contrast,full_representation,comparator,evidence_layer,metric,metric_direction,paired_unit,n_pairs,full_mean,comparator_mean,mean_improvement_positive_is_better,bootstrap_95_ci_low,bootstrap_95_ci_high,wilcoxon_two_sided_p,full_better_fraction,bh_q
K | P+MSP,ck4p_msp,p_msp,global_perturbation_stability,paired_cosine_mean,higher,length+condition,24,0.9894042476879278,0.9994275363264832,-0.010023288638555469,-0.012609800016247319,-0.007654251789571585,1.1920928955078125e-07,0.0,2.384185791015625e-07
K | P+MSP,ck4p_msp,p_msp,global_perturbation_stability,l2_delta_mean,lower,length+condition,24,0.12856011081480942,0.02728854825334923,-0.10127156256146015,-0.11776259189401274,-0.08645952836314476,1.1920928955078125e-07,0.0,2.384185791015625e-07
K | P+MSP,ck4p_msp,p_msp,global_perturbation_stability,retrieval_top1,higher,length+condition,24,0.9999166666666667,0.9417500000000002,0.05816666666666667,0.03641666666666667,0.08083333333333333,0.0004358423668112835,0.6666666666666666,0.000732421875
K | P+MSP,ck4p_msp,p_msp,grouped_local_delta_readout,macro_f1,higher,length+local_mode+split,12,0.978630385373886,0.9704137018661653,0.00821668350772059,-0.00016677864676734204,0.01853560753599481,0.38037109375,0.6666666666666666,0.5071614583333334
P | CK4+MSP,ck4p_msp,ck4_msp,global_perturbation_stability,paired_cosine_mean,higher,length+condition,24,0.9894042476879278,0.9844279594393116,0.004976288248616216,0.0038447686569146426,0.006318177202804675,1.1920928955078125e-07,1.0,2.384185791015625e-07
P | CK4+MSP,ck4p_msp,ck4_msp,global_perturbation_stability,l2_delta_mean,lower,length+condition,24,0.12856011081480942,0.15572018239921287,0.02716007158440346,0.023315339580565194,0.03127768165831355,1.1920928955078125e-07,1.0,2.384185791015625e-07
P | CK4+MSP,ck4p_msp,ck4_msp,global_perturbation_stability,retrieval_top1,higher,length+condition,24,0.9999166666666667,0.9999166666666667,0.0,0.0,0.0,1.0,0.0,1.0
P | CK4+MSP,ck4p_msp,ck4_msp,grouped_local_delta_readout,macro_f1,higher,length+local_mode+split,12,0.978630385373886,0.9779744055640749,0.0006559798098112098,-0.00018942661716656964,0.001501386236789017,0.4375,0.3333333333333333,0.525
MSP | CK4+P,ck4p_msp,ck4_p,global_perturbation_stability,paired_cosine_mean,higher,length+condition,24,0.9894042476879278,0.9843572472979881,0.005047000389939378,0.00384220822872405,0.006382567284732883,1.1920928955078125e-07,1.0,2.384185791015625e-07
MSP | CK4+P,ck4p_msp,ck4_p,global_perturbation_stability,l2_delta_mean,lower,length+condition,24,0.12856011081480942,0.15601934567191153,0.02745923485710211,0.023212534564930883,0.03181150268961028,1.1920928955078125e-07,1.0,2.384185791015625e-07
MSP | CK4+P,ck4p_msp,ck4_p,global_perturbation_stability,retrieval_top1,higher,length+condition,24,0.9999166666666667,0.9999166666666667,0.0,0.0,0.0,1.0,0.0,1.0
MSP | CK4+P,ck4p_msp,ck4_p,grouped_local_delta_readout,macro_f1,higher,length+local_mode+split,12,0.978630385373886,0.9043111385266598,0.07431924684722611,0.03468527553430286,0.11705134735284492,0.00048828125,1.0,0.000732421875
