split,classifier,accuracy,macro_f1,length,local_mode,representation,representation_label,n_triplets,n_features,accuracy_std,macro_f1_std
holdout,logistic,0.7916666666666666,0.7916592849803352,69,center,ck4,CK4,250,136,,
5fold_grouped_cv,logistic,0.796,0.7955806043950258,69,center,ck4,CK4,250,136,0.052000000000000005,0.05181758053424252
holdout,logistic,0.6190476190476191,0.6188315371525808,69,center,p,P,250,11,,
5fold_grouped_cv,logistic,0.636,0.6346657455925092,69,center,p,P,250,11,0.043174066289845804,0.04292859171846813
holdout,logistic,0.9821428571428571,0.9821371610845295,69,center,msp,MSP,250,75,,
5fold_grouped_cv,logistic,0.984,0.9839947980392276,69,center,msp,MSP,250,75,0.004898979485566361,0.004902410290512393
holdout,logistic,0.7857142857142857,0.7856839121190644,69,center,ck4_p,CK4+P,250,147,,
5fold_grouped_cv,logistic,0.8160000000000001,0.815338288644349,69,center,ck4_p,CK4+P,250,147,0.0431740662898458,0.0429505030140898
holdout,logistic,0.9761904761904762,0.9761769710720363,69,center,ck4_msp,CK4+MSP,250,211,,
5fold_grouped_cv,logistic,0.9739999999999999,0.9739745690981655,69,center,ck4_msp,CK4+MSP,250,211,0.010198039027185577,0.010218626331299939
holdout,logistic,0.9821428571428571,0.9821371610845295,69,center,p_msp,P+MSP,250,86,,
5fold_grouped_cv,logistic,0.984,0.9839947980392276,69,center,p_msp,P+MSP,250,86,0.004898979485566361,0.004902410290512393
holdout,logistic,0.9702380952380952,0.9702117096350934,69,center,ck4_p_msp,CK4P-MSP,250,222,,
5fold_grouped_cv,logistic,0.9739999999999999,0.9739745690981655,69,center,ck4_p_msp,CK4P-MSP,250,222,0.010198039027185577,0.010218626331299939
holdout,logistic,0.7261904761904762,0.725216896600768,69,jittered,ck4,CK4,250,136,,
5fold_grouped_cv,logistic,0.726,0.7255860642268139,69,jittered,ck4,CK4,250,136,0.04223742416388575,0.042818289284704616
holdout,logistic,0.625,0.6243478260869566,69,jittered,p,P,250,11,,
5fold_grouped_cv,logistic,0.65,0.6490301374477921,69,jittered,p,P,250,11,0.039496835316263,0.04057623369688442
holdout,logistic,0.8273809523809523,0.8246409674981103,69,jittered,msp,MSP,250,75,,
5fold_grouped_cv,logistic,0.8480000000000001,0.8466066154899814,69,jittered,msp,MSP,250,75,0.03969886648255841,0.03972474045578242
holdout,logistic,0.7559523809523809,0.755249973350389,69,jittered,ck4_p,CK4+P,250,147,,
5fold_grouped_cv,logistic,0.756,0.7557808853233128,69,jittered,ck4_p,CK4+P,250,147,0.028705400188814675,0.028860029149124902
holdout,logistic,0.8571428571428571,0.8569604086845466,69,jittered,ck4_msp,CK4+MSP,250,211,,
5fold_grouped_cv,logistic,0.9,0.8997929623197208,69,jittered,ck4_msp,CK4+MSP,250,211,0.03098386676965932,0.03107120527759417
