retrieval_top1,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95,mean_pair_margin,margin_positive_rate,length,condition,representation,representation_label,n_pairs,n_features
1.0,0.976015566934165,0.9175390912561746,0.15234153346673618,0.4061054953042491,0.34134560394068403,1.0,69,substitution_1pct,ck4,CK4,500,136
0.562,0.9999855869557303,0.9999422226797858,0.003615436139250573,0.010749470356289105,8.241871128369604e-06,0.534,69,substitution_1pct,p,P,500,11
1.0,0.9999138182336827,0.9996941194592203,0.009043794021284253,0.024733753050112967,0.0015949037983956742,1.0,69,substitution_1pct,msp,MSP,500,75
1.0,0.9880005769449476,0.9587347910566001,0.10777075894200704,0.287280960602347,0.17120452102821912,1.0,69,substitution_1pct,ck4_p,CK4+P,500,147
1.0,0.9879646925839238,0.958649911832927,0.10795372035134104,0.28757623574595537,0.1734735665819252,1.0,69,substitution_1pct,ck4_msp,CK4+MSP,500,211
1.0,0.9999497025947064,0.9998219211489808,0.0069167081375898515,0.018872106625212163,0.0009034732740747915,1.0,69,substitution_1pct,p_msp,P+MSP,500,86
1.0,0.9919716573745261,0.9724101048409597,0.08817395491812317,0.2349036758942194,0.11599557484120737,1.0,69,substitution_1pct,ck4_p_msp,CK4P-MSP,500,222
1.0,0.9648437417041849,0.9495687449283479,0.2627327963933063,0.3175885400379502,0.3387381638186479,1.0,69,N_3pct,ck4,CK4,500,136
0.034,0.998014247185366,0.9976131278645899,0.0629472351493714,0.06909219136866823,-0.00031560904063440367,0.032,69,N_3pct,p,P,500,11
0.982,0.999029130217185,0.9981246334891628,0.04318325931201401,0.06124295059087537,0.0013220865179488358,0.982,69,N_3pct,msp,MSP,500,75
1.0,0.9814289944447755,0.9737944940475647,0.191177723784412,0.22893450508909335,0.1700233027392402,1.0,69,N_3pct,ck4_p,CK4+P,500,147
1.0,0.9819364359606849,0.9742399288143849,0.18844923637424213,0.2269804717383795,0.17227241751869826,1.0,69,N_3pct,ck4_msp,CK4+MSP,500,211
0.94,0.9985216887012756,0.9980547190387583,0.054201004612062675,0.062374369097102866,0.0006767968320633522,0.94,69,N_3pct,p_msp,P+MSP,500,86
1.0,0.9872957063689118,0.9821614773677783,0.15820677223283713,0.1888836572438998,0.11527279705173571,1.0,69,N_3pct,ck4_p_msp,CK4P-MSP,500,222
0.998,0.9770751393677157,0.9691869183444304,0.21275371880440705,0.24824519654229574,0.34449818721301045,0.998,69,trim_5bp,ck4,CK4,500,136
0.234,0.9999273771661369,0.9998608779699191,0.011782854027551004,0.016680647685496635,-1.0156798107021414e-05,0.218,69,trim_5bp,p,P,500,11
0.78,0.998801655931693,0.9977362426312295,0.047665026145012945,0.06728680849504727,0.0006152334016646865,0.78,69,trim_5bp,msp,MSP,500,75
1.0,0.9885012582669263,0.9845726036404847,0.15068443793026556,0.17565455900144764,0.17278126699660662,1.0,69,trim_5bp,ck4_p,CK4+P,500,147
