length,representation,representation_label,n_reads,n_features,repeats,seconds_mean,seconds_median,ms_per_10k_reads,microseconds_per_read,peak_python_allocation_mib,density
69,ck4,CK4,400,136,5,0.05481239998480305,0.05401779996464029,1370.3099996200763,137.03099996200763,1.5136032104492188,0.35404411764705884
69,ck4_p,CK4+P,400,147,5,0.10786640000296757,0.10935149999568239,2696.660000074189,269.6660000074189,1.8756446838378906,0.395578231292517
69,ck4p_msp,CK4P-MSP,400,222,5,0.307464079989586,0.2920542999636382,7686.60199973965,768.6601999739651,2.769702911376953,0.5320720720720721
69,hash_k15_d222,"Hashed k=15, d=222",400,222,5,0.09804182001389564,0.09632430004421622,2451.045500347391,245.1045500347391,2.0797977447509766,0.2091891891891892
69,minhash_k15_s222,"MinHash k=15, s=222",400,222,5,0.08864758000709116,0.08587199996691197,2216.189500177279,221.6189500177279,1.4673080444335938,1.0
69,rp_ck15_d222,"CK15 random projection, d=222",400,222,5,0.2210338199744001,0.2161805999930948,5525.845499360003,552.5845499360003,6.497425079345703,0.2849662162162162
75,ck4,CK4,400,136,5,0.040219239995349196,0.040337399987038225,1005.48099988373,100.548099988373,1.5694026947021484,0.3738051470588235
75,ck4_p,CK4+P,400,147,5,0.09343380001373588,0.09309640002902597,2335.8450003433973,233.5845000343397,1.875600814819336,0.4138605442176871
75,ck4p_msp,CK4P-MSP,400,222,5,0.21207741999533028,0.2301246999995783,5301.935499883257,530.1935499883257,2.7716846466064453,0.5442342342342342
75,hash_k15_d222,"Hashed k=15, d=222",400,222,5,0.09919758001342416,0.08615980000467971,2479.939500335604,247.9939500335604,2.1583499908447266,0.22556306306306306
75,minhash_k15_s222,"MinHash k=15, s=222",400,222,5,0.09239678001031279,0.09219570003915578,2309.91950025782,230.99195002578196,1.4676742553710938,1.0
75,rp_ck15_d222,"CK15 random projection, d=222",400,222,5,0.262372100003995,0.2595699999947101,6559.302500099875,655.9302500099875,6.891735076904297,0.29795045045045043
100,ck4,CK4,400,136,5,0.06552223999751731,0.06536499998765066,1638.0559999379327,163.80559999379327,1.9247283935546875,0.4530514705882353
100,ck4_p,CK4+P,400,147,5,0.13317011998733505,0.13420939998468384,3329.2529996833764,332.92529996833764,1.9247283935546875,0.4871768707482993
100,ck4p_msp,CK4P-MSP,400,222,5,0.25002311998978255,0.25263689999701455,6250.577999744564,625.0577999744564,2.7811336517333984,0.5928490990990991
100,hash_k15_d222,"Hashed k=15, d=222",400,222,5,0.13628415999701246,0.12803119997261092,3407.1039999253117,340.71039999253117,2.701669692993164,0.29768018018018017
100,minhash_k15_s222,"MinHash k=15, s=222",400,222,5,0.15241755999159068,0.15065969998249784,3810.4389997897674,381.0438999789767,1.4694137573242188,1.0
100,rp_ck15_d222,"CK15 random projection, d=222",400,222,5,0.3313688399968669,0.32870299997739494,8284.220999921672,828.4220999921672,8.426528930664062,0.3388175675675676
150,ck4,CK4,400,136,5,0.07271467999089509,0.06907039997167885,1817.8669997723773,181.78669997723773,2.450669288635254,0.5779963235294118
150,ck4_p,CK4+P,400,147,5,0.1613864199956879,0.16185660002520308,4034.6604998921975,403.46604998921975,2.450669288635254,0.6027721088435374
150,ck4p_msp,CK4P-MSP,400,222,5,0.2830865200026892,0.28578010003548115,7077.163000067229,707.7163000067229,2.800382614135742,0.6694031531531531
150,hash_k15_d222,"Hashed k=15, d=222",400,222,5,0.19678881999570877,0.196486399974674,4919.72049989272,491.97204998927197,3.553476333618164,0.4061036036036036
150,minhash_k15_s222,"MinHash k=15, s=222",400,222,5,0.2085706800222397,0.20761880005011335,5214.267000555992,521.4267000555992,1.4728927612304688,1.0
150,rp_ck15_d222,"CK15 random projection, d=222",400,222,5,0.4790502599906176,0.4802698999992572,11976.25649976544,1197.625649976544,12.571563720703125,0.39655405405405403
