length,component,canonical_correlation
69,1,0.9999728128809694
69,2,0.9999805853287332
69,3,0.6924686595770733
69,4,0.9999810984227778
69,5,0.29155112177979753
75,1,0.9999771640327184
75,2,0.9999845112633087
75,3,0.6528771322942516
75,4,0.9999756683204261
75,5,0.2740156126239439
100,1,0.9999816982435863
100,2,0.9999854935766446
100,3,0.7489514200258351
100,4,0.9999817389580334
100,5,0.30423377829889675
150,1,0.9999822943121147
150,2,0.999975051198738
150,3,0.8358518186645895
150,4,0.9999819875071507
150,5,0.3391187969053786
