length,condition,representation,n_pairs,n_features,retrieval_top1,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95,mean_pair_margin,margin_positive_rate
69,substitution_1pct,P_declared,250,11,0.676,0.9999874524205997,0.9999435427051792,0.0032110257794953625,0.010626118705383426,2.4554106316994507e-05,0.648
69,substitution_1pct,P_train_zscore,250,11,0.764,0.9922900550588184,0.9638498228303265,0.07283720241803598,0.26888322343818233,0.01366451891028051,0.736
69,substitution_1pct,P_unit_range,250,11,0.768,0.9999371574126062,0.9997292441309118,0.007109234733230397,0.023266813495856277,0.00017849822883981626,0.748
69,substitution_1pct,MSP_declared,250,75,1.0,0.9999236459178668,0.9996871290715259,0.00808715398278553,0.025014771352059033,0.0018550900123203205,1.0
69,substitution_1pct,MSP_train_zscore,250,75,1.0,0.9884799670264766,0.9499303705828415,0.09612756208069564,0.3164433025348776,0.22629851234878362,1.0
69,substitution_1pct,MSP_unit_range,250,75,1.0,0.9994838214344889,0.9978545639558725,0.02096826170925832,0.06550471074684851,0.013197479946415125,1.0
69,substitution_1pct,CK4+P_declared,250,147,1.0,0.9892653910242861,0.9591550410263888,0.09808619514806036,0.28581396180251545,0.17927169507253926,1.0
69,substitution_1pct,CK4+P_train_zscore,250,147,1.0,0.9854166923433957,0.9481535471608254,0.113419127573846,0.322012430452438,0.23114016666864545,1.0
69,substitution_1pct,CK4+P_unit_range,250,147,1.0,0.9892402435202895,0.9588944698053523,0.09820461279059545,0.28672460356588725,0.1811700005586325,1.0
69,substitution_1pct,CK4P-MSP_declared,250,222,1.0,0.9928181426554797,0.9726761294329871,0.08023464753993415,0.23376837160061475,0.12133854900404654,1.0
69,substitution_1pct,CK4P-MSP_train_zscore,250,222,1.0,0.9864377839044225,0.9495144912460503,0.1090802899618485,0.3177588180470186,0.2782231159653255,1.0
69,substitution_1pct,CK4P-MSP_unit_range,250,222,1.0,0.9926547694916892,0.9717700826864605,0.0811667624615524,0.23761203706232403,0.1323358569365231,1.0
69,N_3pct,P_declared,250,11,0.076,0.9980142424475388,0.9975555296665152,0.06295037888080283,0.06992094282286176,-0.00029077989796827544,0.068
69,N_3pct,P_train_zscore,250,11,0.004,0.4186313375788429,0.00934876809771623,1.0488920705070361,1.4075874474475625,-0.4055377668705917,0.004
69,N_3pct,P_unit_range,250,11,0.28,0.9990300423735372,0.998706839727005,0.04382811955296135,0.05085566234011975,-4.005173301594844e-05,0.268
69,N_3pct,MSP_declared,250,75,0.984,0.9990454719524973,0.9982439192658136,0.04291408671527127,0.05926273676047618,0.0015586308017534797,0.984
69,N_3pct,MSP_train_zscore,250,75,0.944,0.8716809356023704,0.7114499020884385,0.48428261515390125,0.7596709514334857,0.1479007552348786,0.944
69,N_3pct,MSP_unit_range,250,75,1.0,0.9977851356641101,0.9965177654157887,0.06583065009318452,0.0834533837783717,0.01312567148660306,1.0
69,N_3pct,CK4+P_declared,250,147,1.0,0.9815420408959906,0.9742567846184399,0.19049730298075435,0.22690577755592445,0.17796882277485473,1.0
69,N_3pct,CK4+P_train_zscore,250,147,0.632,0.6918505884616427,0.4877147020847986,0.7663946200156042,1.012210733478647,0.05940281938533533,0.632
69,N_3pct,CK4+P_unit_range,250,147,1.0,0.9820499408589897,0.974748467030569,0.18774319334456438,0.22472810542490962,0.17971031714003988,1.0
69,N_3pct,CK4P-MSP_declared,250,222,1.0,0.9873765179148261,0.9825585935094341,0.15764167855298822,0.18676941109756623,0.12052093138049103,1.0
69,N_3pct,CK4P-MSP_train_zscore,250,222,0.98,0.7517940375085519,0.611563145913519,0.6936257811215171,0.881400538848229,0.1709438600789608,0.98
69,N_3pct,CK4P-MSP_unit_range,250,222,1.0,0.9872950057940297,0.9824778906873073,0.15817234103664837,0.1872007417695997,0.13147933789550353,1.0
