representation,n_cells,paired_cosine,l2_drift,retrieval_top1
P_unit_range,24,0.9995887010561626,0.023128204311406594,0.49633333333333335
P_declared,24,0.9993564047100164,0.02465897614914582,0.36316666666666664
MSP_declared,24,0.999497119371934,0.026509521741805094,0.9688333333333333
MSP_unit_range,24,0.9977526334226581,0.055828154860777,0.985
CK4P-MSP_declared,24,0.9894006098232634,0.12833257366810627,1.0
CK4P-MSP_unit_range,24,0.9888965466222203,0.13179916784348866,1.0
CK4+P_unit_range,24,0.9844685032220012,0.15510961790713948,1.0
CK4+P_declared,24,0.984352355048928,0.15574337520239054,1.0
MSP_train_zscore,24,0.921916759331264,0.3293660583238171,0.9513333333333334
CK4P-MSP_train_zscore,24,0.8866120676606469,0.38988767056844464,0.987
CK4+P_train_zscore,24,0.8689597218253384,0.40395957887711204,0.8395
P_train_zscore,24,0.768571138262837,0.49546798439495915,0.38833333333333336
