length,representation,macro_f1_mean,macro_f1_sd
50,ck4,0.9369003348824583,0.01694138447691334
50,ck4p_msp,0.9633836101090021,0.02836732244198229
50,ncp_anf,0.9878235047456085,0.024526984581135936
50,pseeiip,0.8809153791676881,0.009086257218028118
50,pseknc_k3_l3,0.8912598517453821,0.018356169610422014
60,ck4,0.9725343376477921,0.005854097497387133
60,ck4p_msp,0.9798330459836369,0.012336959696558934
60,ncp_anf,0.9923505057714542,0.016739546276058094
60,pseeiip,0.9303446800141145,0.01946483226197489
60,pseknc_k3_l3,0.9411191406472041,0.016689140841030847
75,ck4,0.9787888831596919,0.004928559646452476
75,ck4p_msp,0.9860910887951769,0.009868025148491154
75,ncp_anf,0.9927019609667584,0.013695763730368741
75,pseeiip,0.9400931406372649,0.019768572417371365
75,pseknc_k3_l3,0.9494769727138571,0.010135886532720111
