retrieval_top1,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95,mean_pair_margin,margin_positive_rate,length,condition,representation,representation_label,n_pairs,n_features,high_k,target_dim
1.0,0.9733384481198889,0.8906771579674361,0.14247538767270804,0.4675956343847766,0.38261318110092474,1.0,50,substitution_1pct,ck4,CK4,420,136,,
1.0,0.9910670027176404,0.9634151328232425,0.08248918452498248,0.270499012592174,0.13063462776239002,1.0,50,substitution_1pct,ck4p_msp,CK4P-MSP,420,222,,
1.0,0.9911936306361127,0.964495086564994,0.08205389422012073,0.2664762732939991,0.1388965987972068,1.0,50,substitution_1pct,pseknc_k3_l3,pseknc_k3_l3,420,67,,
1.0,0.993337487543535,0.9748758305280116,0.07234598457883742,0.2241597971001086,0.31943696562848134,1.0,50,substitution_1pct,ncp_anf,ncp_anf,420,200,,
1.0,0.9844100788157697,0.9379426591862068,0.10890827263575355,0.35229868118204805,0.24124252110736732,1.0,50,substitution_1pct,pseeiip,pseeiip,420,64,,
1.0,0.9452561168050533,0.9216688399728219,0.3267011130648127,0.3958058904229795,0.3633903317522691,1.0,50,N_3pct,ck4,CK4,420,136,,
1.0,0.9799209565506596,0.9722445032184376,0.19843117644954603,0.23560769419947586,0.12436175095767432,1.0,50,N_3pct,ck4p_msp,CK4P-MSP,420,222,,
1.0,0.9820791081911636,0.9739271002550035,0.18734042079209517,0.2283544163809553,0.12931763012405953,1.0,50,N_3pct,pseknc_k3_l3,pseknc_k3_l3,420,67,,
1.0,0.9805700525559609,0.9678773404182913,0.19407679939473269,0.2534661224859577,0.3162933350155675,1.0,50,N_3pct,ncp_anf,ncp_anf,420,200,,
1.0,0.9692739395957809,0.9518105805599133,0.24417548975183778,0.31044937121558736,0.23518295600419464,1.0,50,N_3pct,pseeiip,pseeiip,420,64,,
1.0,0.9634474401953953,0.9516619028617725,0.2684068559841499,0.3109279567302595,0.3761590050457518,1.0,50,trim_5bp,ck4,CK4,420,136,,
1.0,0.9870201461706235,0.9829700970376276,0.16008658360066266,0.1845529527994083,0.12782373437237346,1.0,50,trim_5bp,ck4p_msp,CK4P-MSP,420,222,,
1.0,0.9842824806026894,0.9765365699877642,0.17569130565888863,0.21662608185145735,0.13650915259094723,1.0,50,trim_5bp,pseknc_k3_l3,pseknc_k3_l3,420,67,,
1.0,0.9512600800719846,0.9298989837994953,0.30973661186961066,0.37443549440515617,0.30124067617091477,1.0,50,trim_5bp,ncp_anf,ncp_anf,420,200,,
1.0,0.9726336262481827,0.956628817892658,0.2308620857294845,0.2945197757743202,0.2333172585414835,1.0,50,trim_5bp,pseeiip,pseeiip,420,64,,
1.0,0.9167542191327784,0.828601386868011,0.39395218982630337,0.5854884609064354,0.3348315387189438,1.0,50,substitution_1pct_N_3pct,ck4,CK4,420,136,,
1.0,0.9703777865824381,0.9409977133011104,0.23609036229988004,0.3435175722736086,0.11481647686921516,1.0,50,substitution_1pct_N_3pct,ck4p_msp,CK4P-MSP,420,222,,
1.0,0.9726039981396892,0.9449829615669058,0.22668948473749154,0.33171384786023467,0.11897667053745772,1.0,50,substitution_1pct_N_3pct,pseknc_k3_l3,pseknc_k3_l3,420,67,,
1.0,0.9729906992884908,0.949093452678931,0.2267498368699416,0.3190813460200691,0.30899063975511837,1.0,50,substitution_1pct_N_3pct,ncp_anf,ncp_anf,420,200,,
1.0,0.9517632397809282,0.8962379692095594,0.29864616241341857,0.45554712449098095,0.21777268322060478,1.0,50,substitution_1pct_N_3pct,pseeiip,pseeiip,420,64,,
1.0,0.8733109595466314,0.8243962230020405,0.49919209026347594,0.5926276684213048,0.29609431749007004,1.0,50,local_mismatch_6bp,ck4,CK4,420,136,,
1.0,0.9571634917291011,0.9412404677250792,0.29030500884600335,0.34281029299600846,0.10122359589567825,1.0,50,local_mismatch_6bp,ck4p_msp,CK4P-MSP,420,222,,
0.9976190476190476,0.9515158938783034,0.9278084118684723,0.30800351606309584,0.37997780364587425,0.10161662613871238,0.9976190476190476,50,local_mismatch_6bp,pseknc_k3_l3,pseknc_k3_l3,420,67,,
1.0,0.9246429511313384,0.9111527711380286,0.38758956880640444,0.42153818749721333,0.2485722198137478,1.0,50,local_mismatch_6bp,ncp_anf,ncp_anf,420,200,,
0.9976190476190476,0.9142428971576136,0.8671430450996578,0.40868700410574416,0.5154742843616308,0.17824219066849628,0.9976190476190476,50,local_mismatch_6bp,pseeiip,pseeiip,420,64,,
1.0,0.9780448590282433,0.9158337910556108,0.13248214258641652,0.41028211449097973,0.386485922580288,1.0,50,short_indel,ck4,CK4,420,136,,
1.0,0.9926275516034021,0.9716046933862094,0.07682904782348564,0.2383073695862323,0.13184882082615537,1.0,50,short_indel,ck4p_msp,CK4P-MSP,420,222,,
1.0,0.9935537777328087,0.9749881103092783,0.07137006207169415,0.22365993935035708,0.14063397116250262,1.0,50,short_indel,pseknc_k3_l3,pseknc_k3_l3,420,67,,
0.8833333333333333,0.8981226529075551,0.5834943983423173,0.27970247561583017,0.9126944295069952,0.22644187415447678,0.8833333333333333,50,short_indel,ncp_anf,ncp_anf,420,200,,
1.0,0.9889876171999402,0.9589622438612351,0.09335341758203201,0.2864871801135478,0.24497420125281255,1.0,50,short_indel,pseeiip,pseeiip,420,64,,
1.0,0.9767178011176693,0.9101546466328371,0.13791941292178064,0.4238990176340401,0.36521250832041036,1.0,60,substitution_1pct,ck4,CK4,420,136,,
1.0,0.9922032094334635,0.9699975380751868,0.07987826543171439,0.24495871823238244,0.12439134848407857,1.0,60,substitution_1pct,ck4p_msp,CK4P-MSP,420,222,,
1.0,0.9929142341672392,0.9742478371356065,0.076626384777704,0.22694491001386358,0.12623674826893924,1.0,60,substitution_1pct,pseknc_k3_l3,pseknc_k3_l3,420,67,,
1.0,0.9939663871253737,0.9783546609775656,0.07163546130435662,0.2080640844874839,0.3321317905167019,1.0,60,substitution_1pct,ncp_anf,ncp_anf,420,240,,
1.0,0.986979861745479,0.95194581247799,0.10388814246334495,0.31001232296958753,0.23058950425183938,1.0,60,substitution_1pct,pseeiip,pseeiip,420,64,,
1.0,0.9570636230357149,0.9386813112400091,0.2897877792907299,0.3501961865268465,0.3547485342616258,1.0,60,N_3pct,ck4,CK4,420,136,,
1.0,0.9844099384169739,0.9782494602791882,0.17500106979464197,0.2085691235253678,0.12098408445399635,1.0,60,N_3pct,ck4p_msp,CK4P-MSP,420,222,,
1.0,0.9868533838562311,0.9806145753768583,0.16055539416298417,0.19690314666394934,0.11855121320297834,1.0,60,N_3pct,pseknc_k3_l3,pseknc_k3_l3,420,67,,
1.0,0.9834486909658608,0.972550975528893,0.17903241657129237,0.2343033267827673,0.32961634611448626,1.0,60,N_3pct,ncp_anf,ncp_anf,420,240,,
