length,condition,representation,representation_label,n_pairs,sketch_size,minhash_jaccard_mean,minhash_jaccard_sd,exact_jaccard_mean,exact_jaccard_sd,mean_absolute_error
50,substitution_1pct,minhash_k15_s222,"MinHash k=15, s=222",420,222,0.8025740025740026,0.274725334809112,0.8030094834704714,0.27316353586426895,0.009567683205297509
50,N_3pct,minhash_k15_s222,"MinHash k=15, s=222",420,222,0.49658944658944654,0.1617659294378862,0.49564369055703084,0.1610634851617895,0.02471057256508937
50,trim_5bp,minhash_k15_s222,"MinHash k=15, s=222",420,222,0.8600386100386102,0.02239329846475572,0.8610788393640283,0.0016420496076893186,0.017782138210184435
50,substitution_1pct_N_3pct,minhash_k15_s222,"MinHash k=15, s=222",420,222,0.4049013299013299,0.21360654973561186,0.4053153301187644,0.21180233757471018,0.02350223988613515
50,local_mismatch_6bp,minhash_k15_s222,"MinHash k=15, s=222",420,222,0.40283140283140284,0.1386610750869481,0.4046747191029078,0.1358405959016173,0.025960841209552468
50,short_indel,minhash_k15_s222,"MinHash k=15, s=222",420,222,0.7906477906477907,0.2733167675595684,0.7893482207290481,0.2738743753094419,0.01091522956050434
60,substitution_1pct,minhash_k15_s222,"MinHash k=15, s=222",420,222,0.7992385242385243,0.2583748038753947,0.8002132883544983,0.25518167202034897,0.010868644785836148
60,N_3pct,minhash_k15_s222,"MinHash k=15, s=222",420,222,0.5499570999571,0.1384357679614522,0.551162644792574,0.13604692692371523,0.024846905130019387
60,trim_5bp,minhash_k15_s222,"MinHash k=15, s=222",420,222,0.892985842985843,0.020634307449521102,0.8912252333908405,0.0008361141256098693,0.016531547347306406
60,substitution_1pct_N_3pct,minhash_k15_s222,"MinHash k=15, s=222",420,222,0.45079365079365075,0.1830841120490406,0.45102914023354745,0.18173809269920213,0.024848797593913424
60,local_mismatch_6bp,minhash_k15_s222,"MinHash k=15, s=222",420,222,0.4806735306735307,0.11897849319308525,0.480654699707383,0.11755690094289527,0.024875834450184677
60,short_indel,minhash_k15_s222,"MinHash k=15, s=222",420,222,0.7979944229944229,0.24323777545972072,0.7989917421944741,0.24220750116976725,0.011257357880677752
75,substitution_1pct,minhash_k15_s222,"MinHash k=15, s=222",420,222,0.7732947232947234,0.23922841579395437,0.7722772673924102,0.2394333982868849,0.013861268581121022
75,N_3pct,minhash_k15_s222,"MinHash k=15, s=222",420,222,0.6441763191763192,0.10985270490811029,0.6426845911090879,0.10506327824424415,0.02454478737305082
75,trim_5bp,minhash_k15_s222,"MinHash k=15, s=222",420,222,0.9168597168597169,0.01826597480498475,0.9179886859250176,0.00046560601688645304,0.01471556399234687
75,substitution_1pct_N_3pct,minhash_k15_s222,"MinHash k=15, s=222",420,222,0.5192513942513942,0.1693112149812978,0.5189511769949262,0.1664620751358834,0.02607373344373779
75,local_mismatch_6bp,minhash_k15_s222,"MinHash k=15, s=222",420,222,0.5762012012012012,0.10460137379490163,0.5763840347880158,0.10221076477379365,0.025001602985683467
75,short_indel,minhash_k15_s222,"MinHash k=15, s=222",420,222,0.7963320463320464,0.22521993926505235,0.7964207165616923,0.2237601321515355,0.013085761785353098
