length,local_mode,binset,bins,max_bin_count,gamma,n_triplets,noise_l2_mean,local_l2_mean,local_minus_noise_l2_mean,selective_sensitivity_ratio_mean,k_dim,p_dim,m_dim,total_dim,split,classifier,accuracy,macro_f1,accuracy_std,macro_f1_std
50,center,2,2,2,1.0,180,0.38084518843385384,0.2703270510330527,-0.11051813740080114,0.7172224854237707,136,11,10,157,holdout,logistic,0.975,0.9749843652282677,,
50,center,2,2,2,1.0,180,0.38084518843385384,0.2703270510330527,-0.11051813740080114,0.7172224854237707,136,11,10,157,5fold_grouped_cv,logistic,0.95,0.9499097505289456,0.027216552697590882,0.02724818155526856
50,center,2_3,2+3,3,1.0,180,0.3809607457388545,0.270565336135008,-0.11039540960384656,0.7176499443327696,136,11,25,172,holdout,logistic,0.9916666666666667,0.9916660879227724,,
50,center,2_3,2+3,3,1.0,180,0.3809607457388545,0.270565336135008,-0.11039540960384656,0.7176499443327696,136,11,25,172,5fold_grouped_cv,logistic,0.9888888888888889,0.9888835270043064,0.010393492741038726,0.010400659235583804
50,center,2_3_4,2+3+4,4,1.0,180,0.3810910463131649,0.27084824223486076,-0.11024280407830417,0.7181398502521947,136,11,45,192,holdout,logistic,0.9916666666666667,0.9916660879227724,,
50,center,2_3_4,2+3+4,4,1.0,180,0.3810910463131649,0.27084824223486076,-0.11024280407830417,0.7181398502521947,136,11,45,192,5fold_grouped_cv,logistic,0.9833333333333334,0.9833236814444609,0.010393492741038736,0.010402379395098641
50,center,2_3_4_6,2+3+4+6,6,1.0,180,0.3813162888095856,0.27130262058056354,-0.1100136682290221,0.7189020905501567,136,11,75,222,holdout,logistic,0.9833333333333333,0.9833287024173382,,
50,center,2_3_4_6,2+3+4+6,6,1.0,180,0.3813162888095856,0.27130262058056354,-0.1100136682290221,0.7189020905501567,136,11,75,222,5fold_grouped_cv,logistic,0.9833333333333334,0.9833236814444609,0.010393492741038736,0.010402379395098641
50,jittered,2,2,2,1.0,180,0.3785960694723398,0.2701490306862382,-0.10844703878610176,0.7223582487134504,136,11,10,157,holdout,logistic,0.925,0.9248695652173913,,
50,jittered,2,2,2,1.0,180,0.3785960694723398,0.2701490306862382,-0.10844703878610176,0.7223582487134504,136,11,10,157,5fold_grouped_cv,logistic,0.9472222222222222,0.9470922686357761,0.023895347964007323,0.024046230224317344
50,jittered,2_3,2+3,3,1.0,180,0.37870636827222526,0.27040878410526126,-0.10829758416696392,0.7228409130704356,136,11,25,172,holdout,logistic,0.9333333333333333,0.9332591768631813,,
50,jittered,2_3,2+3,3,1.0,180,0.37870636827222526,0.27040878410526126,-0.10829758416696392,0.7228409130704356,136,11,25,172,5fold_grouped_cv,logistic,0.9472222222222223,0.9471291655875061,0.016197088596792492,0.016260981649093825
50,jittered,2_3_4,2+3+4,4,1.0,180,0.3788375180276955,0.2707069448677722,-0.10813057315992332,0.7233816784112502,136,11,45,192,holdout,logistic,0.9583333333333334,0.9582608695652174,,
50,jittered,2_3_4,2+3+4,4,1.0,180,0.3788375180276955,0.2707069448677722,-0.10813057315992332,0.7233816784112502,136,11,45,192,5fold_grouped_cv,logistic,0.9666666666666668,0.9666022095543256,0.01666666666666669,0.01672578629682007
50,jittered,2_3_4_6,2+3+4+6,6,1.0,180,0.3790801285886476,0.27122390081127945,-0.10785622777736815,0.7242756689025505,136,11,75,222,holdout,logistic,0.975,0.9749843652282677,,
50,jittered,2_3_4_6,2+3+4+6,6,1.0,180,0.3790801285886476,0.27122390081127945,-0.10785622777736815,0.7242756689025505,136,11,75,222,5fold_grouped_cv,logistic,0.9833333333333332,0.9833204633204634,0.013608276348795441,0.013618784670300312
50,left,2,2,2,1.0,180,0.37222858707542783,0.26876704943192226,-0.10346153764350569,0.7328602491693077,136,11,10,157,holdout,logistic,0.9583333333333334,0.9582608695652174,,
50,left,2,2,2,1.0,180,0.37222858707542783,0.26876704943192226,-0.10346153764350569,0.7328602491693077,136,11,10,157,5fold_grouped_cv,logistic,0.9638888888888889,0.9638044122627528,0.020786985482077462,0.020898170860518393
50,left,2_3,2+3,3,1.0,180,0.3723491961855681,0.26904988961818566,-0.10329930656738252,0.733389912532396,136,11,25,172,holdout,logistic,0.975,0.9749843652282677,,
50,left,2_3,2+3,3,1.0,180,0.3723491961855681,0.26904988961818566,-0.10329930656738252,0.733389912532396,136,11,25,172,5fold_grouped_cv,logistic,0.975,0.9749564843264714,0.01842569327975224,0.018483731867412718
50,left,2_3_4,2+3+4,4,1.0,180,0.37248138950844545,0.2694912642484835,-0.10299012525996193,0.734270281791304,136,11,45,192,holdout,logistic,0.9666666666666667,0.9666295884315907,,
50,left,2_3_4,2+3+4,4,1.0,180,0.37248138950844545,0.2694912642484835,-0.10299012525996193,0.734270281791304,136,11,45,192,5fold_grouped_cv,logistic,0.975,0.9749564843264714,0.01842569327975224,0.018483731867412718
50,left,2_3_4_6,2+3+4+6,6,1.0,180,0.3727279683062901,0.26991123740764017,-0.10281673089864983,0.7349318830379832,136,11,75,222,holdout,logistic,0.9916666666666667,0.9916660879227724,,
50,left,2_3_4_6,2+3+4+6,6,1.0,180,0.3727279683062901,0.26991123740764017,-0.10281673089864983,0.7349318830379832,136,11,75,222,5fold_grouped_cv,logistic,0.9944444444444445,0.994443372564152,0.006804138174397694,0.0068054509542886
50,right,2,2,2,1.0,180,0.37628567548438535,0.27078555869747517,-0.10550011678691025,0.7246982417849753,136,11,10,157,holdout,logistic,0.9583333333333334,0.9582608695652174,,
50,right,2,2,2,1.0,180,0.37628567548438535,0.27078555869747517,-0.10550011678691025,0.7246982417849753,136,11,10,157,5fold_grouped_cv,logistic,0.9833333333333334,0.9833236814444609,0.010393492741038736,0.010402379395098641
50,right,2_3,2+3,3,1.0,180,0.3764109594958693,0.27103469955369514,-0.10537625994217414,0.7251151199746027,136,11,25,172,holdout,logistic,0.975,0.9749843652282677,,
50,right,2_3,2+3,3,1.0,180,0.3764109594958693,0.27103469955369514,-0.10537625994217414,0.7251151199746027,136,11,25,172,5fold_grouped_cv,logistic,0.986111111111111,0.9861052132863826,0.008784104611578835,0.008790888587498947
50,right,2_3_4,2+3+4,4,1.0,180,0.37653492942229405,0.27131430228858,-0.10522062713371402,0.7256193812776206,136,11,45,192,holdout,logistic,0.9666666666666667,0.9666295884315907,,
50,right,2_3_4,2+3+4,4,1.0,180,0.37653492942229405,0.27131430228858,-0.10522062713371402,0.7256193812776206,136,11,45,192,5fold_grouped_cv,logistic,0.9805555555555555,0.9805453677265369,0.0068041381743977475,0.006813333716011713
50,right,2_3_4_6,2+3+4+6,6,1.0,180,0.37678184202224163,0.27191235521622226,-0.10486948680601939,0.7267284177641499,136,11,75,222,holdout,logistic,0.9916666666666667,0.9916660879227724,,
50,right,2_3_4_6,2+3+4+6,6,1.0,180,0.37678184202224163,0.27191235521622226,-0.10486948680601939,0.7267284177641499,136,11,75,222,5fold_grouped_cv,logistic,0.9916666666666668,0.991665058846228,0.006804138174397693,0.0068054509542886
51,center,2,2,2,1.0,180,0.37691229925425945,0.26495550758913083,-0.11195679166512872,0.7093246163527113,136,11,10,157,holdout,logistic,0.8833333333333333,0.8830409356725146,,
