length,binset,bins,macro_f1_mean,macro_f1_sd
50,2,2,0.9610325282179839,0.01655924589731291
50,2_3,2+3,0.9742685975511667,0.019067630428811443
50,2_3_4,2+3+4,0.9763569357629487,0.007375510272417461
50,2_3_4_6,2+3+4+6,0.988188144043826,0.005732193657750942
51,2,2,0.9520136613920553,0.029647336736423925
51,2_3,2+3,0.9638405653546742,0.035423734403434506
51,2_3_4,2+3+4,0.9694181541772243,0.024559811095445867
51,2_3_4_6,2+3+4+6,0.9805391807675544,0.017292681937408082
52,2,2,0.9554312967437486,0.021008872428269584
52,2_3,2+3,0.9673111822918717,0.02505199576921827
52,2_3_4,2+3+4,0.9749718146440265,0.018588588789544943
52,2_3_4_6,2+3+4+6,0.9826178146813309,0.008921630968574738
53,2,2,0.9574717537681123,0.018633986966282563
53,2_3,2+3,0.9742753454766507,0.016600207623144556
53,2_3_4,2+3+4,0.9742836811678568,0.011198080030420473
53,2_3_4_6,2+3+4+6,0.978461092147089,0.013869008119854526
54,2,2,0.9722010271128709,0.011348735720689035
54,2_3,2+3,0.9812377943144956,0.011432132084729664
54,2_3_4,2+3+4,0.9840142310003478,0.006169345528923085
54,2_3_4_6,2+3+4+6,0.9840166477026445,0.006953727909355876
55,2,2,0.9637718041312638,0.012716685675761225
55,2_3,2+3,0.9714695735453993,0.019339966206314337
55,2_3_4,2+3+4,0.9770294090841647,0.011450805813626735
55,2_3_4_6,2+3+4+6,0.9861003829910875,0.006809394494641939
56,2,2,0.9540206315720566,0.01968328131200797
56,2_3,2+3,0.9638247159391629,0.02372134261145096
56,2_3_4,2+3+4,0.9721730373681483,0.012664504112829279
56,2_3_4_6,2+3+4+6,0.9833199205409399,0.00393166233995883
57,2,2,0.9749559258737575,0.008213391577891653
57,2_3,2+3,0.9840015609766558,0.007663883178177102
57,2_3_4,2+3+4,0.9826264146125314,0.011206977418881027
57,2_3_4_6,2+3+4+6,0.984017452233644,0.01719320430763881
58,2,2,0.973564342959334,0.006617404595094424
58,2_3,2+3,0.9819186333285108,0.009778236455529252
58,2_3_4,2+3+4,0.9888778766062504,0.006016281715057422
58,2_3_4_6,2+3+4+6,0.9923580282137102,0.00416925845421765
59,2,2,0.9728819073457834,0.008914917448869821
59,2_3,2+3,0.9812213571434165,0.008617094685908532
59,2_3_4,2+3+4,0.9826039875200592,0.009996802289011043
59,2_3_4_6,2+3+4+6,0.9833174944854784,0.008793846770250576
60,2,2,0.9854041923903092,0.010498994021942886
60,2_3,2+3,0.9860995784600881,0.011798770653849076
60,2_3_4,2+3+4,0.9888819148330091,0.007861293791174314
60,2_3_4_6,2+3+4+6,0.9909672622927495,0.004169616268857625
61,2,2,0.9784495395734455,0.010985219374483978
61,2_3,2+3,0.9902694595206738,0.012540493213906979
61,2_3_4,2+3+4,0.9888854040363784,0.008787043618256605
61,2_3_4_6,2+3+4+6,0.9916626452532298,0.006419027803329208
62,2,2,0.9833207250719393,0.003939004596113553
62,2_3,2+3,0.988184115170232,0.007991128027022443
62,2_3_4,2+3+4,0.9930526066431913,0.004814039220657915
62,2_3_4_6,2+3+4+6,0.9916626452532299,0.00393216305339708
63,2,2,0.9784473908412219,0.011224021638960639
63,2_3,2+3,0.9888835270043065,0.006004326493065732
63,2_3_4,2+3+4,0.9909680668237488,0.0026591929162172855
63,2_3_4_6,2+3+4+6,0.9951371464626336,0.006566374651059551
64,2,2,0.9770566261636207,0.010508895083843764
64,2_3,2+3,0.9819275405827428,0.01124002429854971
64,2_3_4,2+3+4,0.980537300626184,0.009900483027116007
64,2_3_4_6,2+3+4+6,0.9839988794135845,0.01598411166869904
65,2,2,0.9784390588800944,0.00799021253034239
65,2_3,2+3,0.9826056843278638,0.010516962533058052
65,2_3_4,2+3+4,0.9874927579740471,0.008640544722777725
65,2_3_4_6,2+3+4+6,0.9881873364035281,0.007311538990776861
66,2,2,0.9798367781814382,0.008316255715462744
66,2_3,2+3,0.9874911489120484,0.010279707801690283
66,2_3_4,2+3+4,0.9853961159367917,0.010002397135595992
66,2_3_4_6,2+3+4+6,0.9923564191517115,0.006950075292373618
67,2,2,0.9819243193494466,0.006624084896159396
67,2_3,2+3,0.9854044616037418,0.006955269160293777
67,2_3_4,2+3+4,0.9826261466424583,0.006950114172610285
67,2_3_4_6,2+3+4+6,0.9909696758857476,0.0057275105996432134
68,2,2,0.9742767127368624,0.01850535102179533
68,2_3,2+3,0.982614555959216,0.015117444397771348
68,2_3_4,2+3+4,0.98610145549216,0.013422454508519319
68,2_3_4_6,2+3+4+6,0.9881841126835129,0.012714883574305438
69,2,2,0.9826202407367923,0.0047519512841328335
69,2_3,2+3,0.987480655756234,0.005798765934162374
69,2_3_4,2+3+4,0.9895756887314907,0.004172302048246233
69,2_3_4_6,2+3+4+6,0.9930534111741907,0.0057848095634210036
70,2,2,0.9874935656143451,0.002778850486016597
70,2_3,2+3,0.9923572236827107,0.0026597532376162257
70,2_3_4,2+3+4,0.9902745608953403,0.006992718178403192
70,2_3_4_6,2+3+4+6,0.994443372564152,0.0022684836514295127
71,2,2,0.9909664546524515,0.005267061241510585
71,2_3,2+3,0.995137950993633,0.004167470576885971
71,2_3_4,2+3+4,0.9958325294231141,0.003586787586686417
71,2_3_4_6,2+3+4+6,0.9958317248921146,0.004813728859360719
72,2,2,0.9930526066431913,0.003588449514973385
72,2_3,2+3,0.9944425680331526,0.004538281191562629
72,2_3_4,2+3+4,0.9979154601805577,0.004169079638884743
72,2_3_4_6,2+3+4+6,0.998610843141038,0.002778313717923984
73,2,2,0.9847104184918276,0.010286533078138847
73,2_3,2+3,0.99305421570519,0.001604060172936685
73,2_3_4,2+3+4,0.9923596372757091,0.0013891568589619997
73,2_3_4_6,2+3+4+6,0.9958317248921146,0.002778850486016594
74,2,2,0.9895797144957862,0.0013902303946677517
74,2_3,2+3,0.9930534111741907,0.003588034105068793
74,2_3_4,2+3+4,0.994443372564152,0.0022684836514295583
74,2_3_4_6,2+3+4+6,0.996527107852595,0.0026600328673917176
75,2,2,0.9840128743366603,0.011883307156424761
75,2_3,2+3,0.9923507687536552,0.007664060437914013
75,2_3_4,2+3+4,0.9895789099647868,0.010732861666414045
75,2_3_4_6,2+3+4+6,0.9930526066431913,0.007353565436823614
