retrieval_top1,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95,mean_pair_margin,margin_positive_rate,length,condition,binset,bins,max_bin_count,gamma,n_pairs,k_dim,p_dim,m_dim,total_dim
1.0,0.9910900727515656,0.9634920252675667,0.082372350211291,0.27021462271216656,0.12911480650874357,1.0,50,substitution_1pct,2,2,2,1.0,420,136,11,10,157
1.0,0.9910842576306744,0.9634699344687011,0.08240238007558137,0.27029636004582774,0.12953680267115766,1.0,50,substitution_1pct,2_3,2+3,3,1.0,420,136,11,25,172
1.0,0.991078222824019,0.9634490628787447,0.08243302500470383,0.27037355969390603,0.12992158304912604,1.0,50,substitution_1pct,2_3_4,2+3+4,4,1.0,420,136,11,45,192
1.0,0.9910670027176404,0.9634151328232426,0.08248918452498248,0.27049901259217396,0.13063462776239002,1.0,50,substitution_1pct,2_3_4_6,2+3+4+6,6,1.0,420,136,11,75,222
1.0,0.9803467197149155,0.972606496705598,0.1961860281305117,0.23406624350237396,0.12281686661924876,1.0,50,N_3pct,2,2,2,1.0,420,136,11,10,157
1.0,0.9802316897149083,0.972383970034059,0.19679370226255619,0.23501501938422645,0.12323731256671211,1.0,50,N_3pct,2_3,2+3,3,1.0,420,136,11,25,172
1.0,0.980120431931258,0.9723960801499739,0.19738477907930121,0.23496346623068545,0.12364756747733946,1.0,50,N_3pct,2_3_4,2+3+4,4,1.0,420,136,11,45,192
1.0,0.9799209565506596,0.9722445032184377,0.19843117644954603,0.23560769419947586,0.12436175095767431,1.0,50,N_3pct,2_3_4_6,2+3+4+6,6,1.0,420,136,11,75,222
1.0,0.987621450996895,0.9836133442499563,0.15623247311256108,0.1810340060187103,0.12682046272773578,1.0,50,trim_5bp,2,2,2,1.0,420,136,11,10,157
1.0,0.9875434827146939,0.9836506239975246,0.15675151223300124,0.1808279053807598,0.12717588953835968,1.0,50,trim_5bp,2_3,2+3,3,1.0,420,136,11,25,172
1.0,0.9873634011504027,0.9833251533595835,0.15790358675361651,0.1826189834272588,0.1274112408921409,1.0,50,trim_5bp,2_3_4,2+3+4,4,1.0,420,136,11,45,192
1.0,0.9870201461706234,0.9829700970376272,0.16008658360066275,0.1845529527994083,0.12782373437237346,1.0,50,trim_5bp,2_3_4_6,2+3+4+6,6,1.0,420,136,11,75,222
1.0,0.97081168125786,0.9412363754366599,0.23412824836033413,0.3428223909002461,0.11334351195100514,1.0,50,substitution_1pct_N_3pct,2,2,2,1.0,420,136,11,10,157
1.0,0.9706980724728096,0.9411652242273787,0.23464732959677606,0.34302983364370776,0.11375563406414162,1.0,50,substitution_1pct_N_3pct,2_3,2+3,3,1.0,420,136,11,25,172
1.0,0.970589168256715,0.9411849661821966,0.23514195545637512,0.34297216318645185,0.11413128849552626,1.0,50,substitution_1pct_N_3pct,2_3_4,2+3+4,4,1.0,420,136,11,45,192
1.0,0.9703777865824381,0.9409977133011105,0.23609036229988004,0.34351757227360863,0.11481647686921514,1.0,50,substitution_1pct_N_3pct,2_3_4_6,2+3+4+6,6,1.0,420,136,11,75,222
1.0,0.9574749028785282,0.941390109696739,0.28923212199777243,0.34237360040514814,0.09991057864665177,1.0,50,local_mismatch_6bp,2,2,2,1.0,420,136,11,10,157
1.0,0.9573925884254771,0.9413056735518378,0.28951657851682144,0.3426201104919527,0.10026255439757524,1.0,50,local_mismatch_6bp,2_3,2+3,3,1.0,420,136,11,25,172
1.0,0.9573125413763806,0.9412135996208464,0.28979176495084524,0.34288865211652514,0.10059649373926477,1.0,50,local_mismatch_6bp,2_3_4,2+3+4,4,1.0,420,136,11,45,192
1.0,0.9571634917291011,0.9412404677250791,0.29030500884600335,0.34281029299600846,0.10122359589567827,1.0,50,local_mismatch_6bp,2_3_4_6,2+3+4+6,6,1.0,420,136,11,75,222
1.0,0.9926674722619391,0.9719029325883736,0.07657941427794314,0.2370521166562937,0.13036550081889964,1.0,50,short_indel,2,2,2,1.0,420,136,11,10,157
1.0,0.9926588114343062,0.9717756716872958,0.07663228195931619,0.23758876369909418,0.13077327568594063,1.0,50,short_indel,2_3,2+3,3,1.0,420,136,11,25,172
1.0,0.992649988820657,0.9717955952972116,0.0766878126617891,0.23750469861316054,0.1311501894316853,1.0,50,short_indel,2_3_4,2+3+4,4,1.0,420,136,11,45,192
1.0,0.9926275516034021,0.9716046933862093,0.07682904782348564,0.23830736958623228,0.13184882082615534,1.0,50,short_indel,2_3_4_6,2+3+4+6,6,1.0,420,136,11,75,222
1.0,0.9911016490777126,0.9629062079416518,0.08235004778867891,0.27237345278769604,0.12799187743867438,1.0,51,substitution_1pct,2,2,2,1.0,420,136,11,10,157
1.0,0.9910960857584162,0.9628930329901367,0.082381108030022,0.27242179754892026,0.1283839580797544,1.0,51,substitution_1pct,2_3,2+3,3,1.0,420,136,11,25,172
1.0,0.9910896563888608,0.9628778526394234,0.08241610274668665,0.27247750517887004,0.12878983913505088,1.0,51,substitution_1pct,2_3_4,2+3+4,4,1.0,420,136,11,45,192
1.0,0.9910783175847739,0.9628541275481894,0.08247678147146027,0.2725645281936292,0.1294717560177933,1.0,51,substitution_1pct,2_3_4_6,2+3+4+6,6,1.0,420,136,11,75,222
1.0,0.9808575232601955,0.9738157974710585,0.1937877549923539,0.2288414370492358,0.12271586433011124,1.0,51,N_3pct,2,2,2,1.0,420,136,11,10,157
1.0,0.9807479356617912,0.9736972943133345,0.194368448716679,0.2293586875516547,0.12317259966898782,1.0,51,N_3pct,2_3,2+3,3,1.0,420,136,11,25,172
1.0,0.980643913784185,0.9735615519524518,0.19492404726855841,0.22994973194407392,0.12353713050134026,1.0,51,N_3pct,2_3_4,2+3+4,4,1.0,420,136,11,45,192
1.0,0.9804583932626253,0.9733172284235293,0.19590099989641954,0.2310098063590814,0.12426355986471022,1.0,51,N_3pct,2_3_4_6,2+3+4+6,6,1.0,420,136,11,75,222
1.0,0.9880414831820552,0.9844894753337987,0.15359910907521288,0.17612792705243296,0.1266631059702086,1.0,51,trim_5bp,2,2,2,1.0,420,136,11,10,157
1.0,0.9878938339463313,0.9842834489784597,0.15457269801197837,0.177293829673396,0.12692122976332046,1.0,51,trim_5bp,2_3,2+3,3,1.0,420,136,11,25,172
