length,binset,bins,l2_delta_mean,paired_cosine_mean
50,2,2,0.17245510601506894,0.9800020499769505
50,2_3,2+3,0.17279063077400877,0.9799348170654784
50,2_3_4,2+3+4,0.17322382065110517,0.9798522923932387
50,2_3_4_6,2+3+4+6,0.17403856059076006,0.9796961558923107
51,2,2,0.16730121233576808,0.9809854468509583
51,2_3,2+3,0.16770470616206398,0.9809094267769566
51,2_3_4,2+3+4,0.16807810802695697,0.9808380948991836
51,2_3_4_6,2+3+4+6,0.16889395734806087,0.9806852484391354
52,2,2,0.16560453883946116,0.9814689065710791
52,2_3,2+3,0.16595843271663305,0.9814023912270242
52,2_3_4,2+3+4,0.16637942849820778,0.9813246439262859
52,2_3_4_6,2+3+4+6,0.16715434516350716,0.9811813225650553
53,2,2,0.16549848733310413,0.981679831287051
53,2_3,2+3,0.1658358401963044,0.9816149607902025
53,2_3_4,2+3+4,0.16618221940776326,0.9815484751285558
53,2_3_4_6,2+3+4+6,0.16686984507764632,0.981419994289269
54,2,2,0.16465922442607192,0.9820895990366282
54,2_3,2+3,0.16500551793377657,0.9820263161420538
54,2_3_4,2+3+4,0.16535967017783662,0.9819606156140089
54,2_3_4_6,2+3+4+6,0.16616418485494808,0.9818166481401133
55,2,2,0.16170382088951055,0.9825118682551878
55,2_3,2+3,0.1620294418241149,0.9824520683752587
55,2_3_4,2+3+4,0.16237906129818727,0.9823883175731268
55,2_3_4_6,2+3+4+6,0.16311360832344557,0.9822574319827894
56,2,2,0.16167774265123097,0.9825656738737139
56,2_3,2+3,0.16194071018052805,0.9825159323564169
56,2_3_4,2+3+4,0.16233324878468225,0.9824463577969696
56,2_3_4_6,2+3+4+6,0.1630104857560218,0.9823260652569412
57,2,2,0.1585545169043171,0.9830475700247456
57,2_3,2+3,0.15889469727757305,0.9829877107277186
57,2_3_4,2+3+4,0.1591828123788537,0.9829336350657821
57,2_3_4_6,2+3+4+6,0.15991134807691246,0.9828071053941417
58,2,2,0.15775758975715135,0.9835851975697453
58,2_3,2+3,0.15805102109427596,0.9835333078324254
58,2_3_4,2+3+4,0.15839422819301857,0.9834727292355087
58,2_3_4_6,2+3+4+6,0.15909501600555498,0.9833535196413788
59,2,2,0.15634092716502884,0.9838078265499846
59,2_3,2+3,0.15661150913707403,0.9837593420016323
59,2_3_4,2+3+4,0.15692355228865512,0.9837050020193089
59,2_3_4_6,2+3+4+6,0.15753146606993643,0.9836002528648528
60,2,2,0.15406369429542596,0.9842963559281942
60,2_3,2+3,0.15437270457982435,0.9842440278021195
60,2_3_4,2+3+4,0.15472697567746246,0.9841842992277382
60,2_3_4_6,2+3+4+6,0.15545750776096684,0.9840622210141466
61,2,2,0.15256495900813302,0.9846030143380776
61,2_3,2+3,0.15284578167294985,0.9845552078464098
61,2_3_4,2+3+4,0.15313680031354318,0.9845047829682461
61,2_3_4_6,2+3+4+6,0.1537821584175991,0.9843978496986744
62,2,2,0.15317210988192217,0.9846199096476426
62,2_3,2+3,0.1534156178114129,0.984577099931656
62,2_3_4,2+3+4,0.15374551046543106,0.9845218569535102
62,2_3_4_6,2+3+4+6,0.15436492247944236,0.9844193223259893
63,2,2,0.14934354749984768,0.9852283120073766
63,2_3,2+3,0.1496267309047272,0.9851814039141065
63,2_3_4,2+3+4,0.14991960623627135,0.9851322200435847
63,2_3_4_6,2+3+4+6,0.15054957240722952,0.985030838129815
64,2,2,0.15042244827947845,0.9852796256639839
64,2_3,2+3,0.15067468418546667,0.9852368654251528
64,2_3_4,2+3+4,0.15100946959589642,0.9851831809638192
64,2_3_4_6,2+3+4+6,0.15160728890235395,0.9850871900796365
65,2,2,0.14564725592790723,0.9860184724583525
65,2_3,2+3,0.14589125492830493,0.9859777797785855
65,2_3_4,2+3+4,0.14617120789295238,0.9859321342955512
65,2_3_4_6,2+3+4+6,0.14671000595774478,0.9858460539896846
66,2,2,0.14762043997252594,0.985739143090519
66,2_3,2+3,0.14787628127383612,0.9856983571795981
66,2_3_4,2+3+4,0.14815461124530593,0.9856536204490253
66,2_3_4_6,2+3+4+6,0.14879265118404958,0.985555385599739
67,2,2,0.1459181629743683,0.986132539305257
67,2_3,2+3,0.14616238313749527,0.9860926242145805
67,2_3_4,2+3+4,0.14643974987817523,0.9860486105795009
67,2_3_4_6,2+3+4+6,0.14699477992578863,0.985961434387769
68,2,2,0.143483123897601,0.9864386415331724
68,2_3,2+3,0.14370212734861684,0.9864026282106896
68,2_3_4,2+3+4,0.14401614025155104,0.9863545961645984
68,2_3_4_6,2+3+4+6,0.14455498558940238,0.9862706938116449
69,2,2,0.1425494551516491,0.98672062327084
69,2_3,2+3,0.1428179713168509,0.9866788121538862
69,2_3_4,2+3+4,0.1430483038715985,0.9866417942471082
69,2_3_4_6,2+3+4+6,0.14363008477694125,0.9865533512558721
70,2,2,0.14389329307731588,0.986618626520924
70,2_3,2+3,0.14411780502473856,0.9865825447155699
70,2_3_4,2+3+4,0.1443907088558804,0.9865407874762478
70,2_3_4_6,2+3+4+6,0.14491833530863765,0.9864604312516948
71,2,2,0.1417576593797598,0.9871446918314746
71,2_3,2+3,0.1419703482831542,0.9871114344070158
71,2_3_4,2+3+4,0.14222815827876048,0.9870723580309635
71,2_3_4_6,2+3+4+6,0.14270557110426796,0.9870000346672009
72,2,2,0.1417597827708901,0.9871491081745732
72,2_3,2+3,0.14199357831708406,0.9871132478548404
72,2_3_4,2+3+4,0.14226994763148806,0.9870718697953406
