contrast,full_representation,comparator,evidence_layer,metric,metric_direction,paired_unit,n_pairs,full_mean,comparator_mean,mean_improvement_positive_is_better,bootstrap_95_ci_low,bootstrap_95_ci_high,wilcoxon_two_sided_p,full_better_fraction,bh_q
K | P+MSP,ck4_p_msp,p_msp,global_perturbation_stability,paired_cosine_mean,higher,length+condition,156,0.9844428367529093,0.9991134183655868,-0.014670581612677336,-0.01616759021357234,-0.01325251346493117,2.377567288258578e-27,0.0,4.755134576517156e-27
K | P+MSP,ck4_p_msp,p_msp,global_perturbation_stability,l2_delta_mean,lower,length+condition,156,0.15341259462613047,0.03440904827903843,-0.11900354634709205,-0.12756565132740613,-0.11101506485829478,2.377567288258578e-27,0.0,4.755134576517156e-27
K | P+MSP,ck4_p_msp,p_msp,global_perturbation_stability,retrieval_top1,higher,length+condition,156,1.0,0.9033272283272284,0.09667277167277166,0.08295177045177045,0.11103594322344322,3.9727759826715728e-19,0.6794871794871795,6.810473113151268e-19
K | P+MSP,ck4_p_msp,p_msp,grouped_local_delta_readout,macro_f1,higher,length+local_mode+split,104,0.9893620412217934,0.973642227561168,0.015719813660625526,0.011695682964931587,0.020076721174691975,1.6138718505700285e-14,0.8269230769230769,2.1518291340933713e-14
P | CK4+MSP,ck4_p_msp,ck4_msp,global_perturbation_stability,paired_cosine_mean,higher,length+condition,156,0.9844428367529093,0.9770990381344893,0.007343798618420218,0.006636438268407467,0.00807969744400835,2.377567288258578e-27,1.0,4.755134576517156e-27
P | CK4+MSP,ck4_p_msp,ck4_msp,global_perturbation_stability,l2_delta_mean,lower,length+condition,156,0.15341259462613047,0.18591745364895168,0.03250485902282121,0.03038677423049732,0.03464152502310527,2.377567288258578e-27,1.0,4.755134576517156e-27
P | CK4+MSP,ck4_p_msp,ck4_msp,global_perturbation_stability,retrieval_top1,higher,length+condition,156,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
P | CK4+MSP,ck4_p_msp,ck4_msp,grouped_local_delta_readout,macro_f1,higher,length+local_mode+split,104,0.9893620412217934,0.9887200132384977,0.000642027983295963,0.00010690970984362293,0.001177468918858985,0.014522828525967682,0.3173076923076923,0.01742739423116122
MSP | CK4+P,ck4_p_msp,ck4_p,global_perturbation_stability,paired_cosine_mean,higher,length+condition,156,0.9844428367529093,0.9771160537586522,0.007326782994257133,0.006614175740785827,0.008071179058330177,2.377567288258578e-27,1.0,4.755134576517156e-27
MSP | CK4+P,ck4_p_msp,ck4_p,global_perturbation_stability,l2_delta_mean,lower,length+condition,156,0.15341259462613047,0.18575851843293295,0.032345923806802485,0.030225214494808163,0.03456022376836123,2.377567288258578e-27,1.0,4.755134576517156e-27
MSP | CK4+P,ck4_p_msp,ck4_p,global_perturbation_stability,retrieval_top1,higher,length+condition,156,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
MSP | CK4+P,ck4_p_msp,ck4_p,grouped_local_delta_readout,macro_f1,higher,length+local_mode+split,104,0.9893620412217934,0.9671866681638346,0.02217537305795875,0.01941046906910681,0.02503905630498522,6.541383236685228e-18,0.9711538461538461,9.812074855027842e-18
