length,representation,representation_label,n_cells,macro_f1_mean,macro_f1_sd,n_features
50,ck4,CK4,4,0.9415233656260926,0.023737238344435252,136
50,ck4_msp,CK4+MSP,4,0.988188144043826,0.005732193657750942,211
50,ck4_p,CK4+P,4,0.9449958935949624,0.018549989850336384,147
50,ck4_p_msp,CK4P-MSP,4,0.988188144043826,0.005732193657750942,222
50,msp,MSP,4,0.9686939294474346,0.02951666109021996,75
50,p,P,4,0.6150056270661848,0.034273655181745286,11
50,p_msp,P+MSP,4,0.972185448774932,0.026981619911862584,86
51,ck4,CK4,4,0.9296920034617406,0.009750679591020134,136
51,ck4_msp,CK4+MSP,4,0.9784524922158884,0.018075881046871228,211
51,ck4_p,CK4+P,4,0.9373801091549395,0.007373950892167285,147
51,ck4_p_msp,CK4P-MSP,4,0.9805391807675544,0.017292681937408082,222
51,msp,MSP,4,0.9601733007883284,0.05022993009813261,75
51,p,P,4,0.6193906753437881,0.03598441678011217,11
51,p_msp,P+MSP,4,0.9693200478273558,0.03609046449493762,86
52,ck4,CK4,4,0.9324579673452128,0.014776720550822705,136
52,ck4_msp,CK4+MSP,4,0.9784597516759435,0.012087405271593002,211
52,ck4_p,CK4+P,4,0.9407978415565869,0.01908267226464242,147
52,ck4_p_msp,CK4P-MSP,4,0.9826178146813309,0.008921630968574738,222
52,msp,MSP,4,0.9651571446502717,0.036599801804658286,75
52,p,P,4,0.622089804987255,0.03603073689150701,11
52,p_msp,P+MSP,4,0.9700847210173303,0.02888705335270451,86
53,ck4,CK4,4,0.944996824902034,0.011272130567065435,136
53,ck4_msp,CK4+MSP,4,0.9805461685274577,0.009886889389539223,211
53,ck4_p,CK4+P,4,0.9456294877901,0.012399771559903554,147
53,ck4_p_msp,CK4P-MSP,4,0.978461092147089,0.013869008119854526,222
53,msp,MSP,4,0.9630539087723163,0.0371077478401788,75
53,p,P,4,0.6456084568247507,0.0265820784085249,11
53,p_msp,P+MSP,4,0.964500818481606,0.03594074945515707,86
54,ck4,CK4,4,0.9603560988197971,0.004197069477933158,136
54,ck4_msp,CK4+MSP,4,0.9854066090926059,0.006952118118128263,211
54,ck4_p,CK4+P,4,0.9582656149977244,0.003205839367085306,147
54,ck4_p_msp,CK4P-MSP,4,0.9840166477026445,0.006953727909355876,222
54,msp,MSP,4,0.9589211989051809,0.05086449411975372,75
54,p,P,4,0.6164921866558756,0.0073454009128903425,11
54,p_msp,P+MSP,4,0.9589755892533702,0.054295922101856915,86
55,ck4,CK4,4,0.9491456491527197,0.01169550832836338,136
55,ck4_msp,CK4+MSP,4,0.9826170101503315,0.009195348252896909,211
55,ck4_p,CK4+P,4,0.9512414810194998,0.014502508594704677,147
55,ck4_p_msp,CK4P-MSP,4,0.9861003829910875,0.006809394494641939,222
55,msp,MSP,4,0.9679903872170598,0.038231050506698734,75
55,p,P,4,0.6034359780727803,0.03214398469773986,11
55,p_msp,P+MSP,4,0.9686955497865076,0.036686441020482796,86
56,ck4,CK4,4,0.9456785198694324,0.009547446862607839,136
56,ck4_msp,CK4+MSP,4,0.9805389221506461,0.0075316421118308986,211
56,ck4_p,CK4+P,4,0.9442817797926658,0.014042722118605988,147
56,ck4_p_msp,CK4P-MSP,4,0.9833199205409399,0.00393166233995883,222
56,msp,MSP,4,0.9546621993973767,0.05557066613016001,75
56,p,P,4,0.5970322116205823,0.055839454248363486,11
56,p_msp,P+MSP,4,0.9574501506813757,0.0463431681710581,86
57,ck4,CK4,4,0.9596526424389378,0.008630648528601365,136
57,ck4_msp,CK4+MSP,4,0.9826266863126831,0.01821246845092293,211
57,ck4_p,CK4+P,4,0.963124971133122,0.010750887017255016,147
57,ck4_p_msp,CK4P-MSP,4,0.984017452233644,0.01719320430763881,222
57,msp,MSP,4,0.9707327336202836,0.040154144385308906,75
57,p,P,4,0.6231070235080438,0.011646783400135578,11
57,p_msp,P+MSP,4,0.9707510482613355,0.03633146614574383,86
58,ck4,CK4,4,0.9686761184194371,0.011273903640125869,136
58,ck4_msp,CK4+MSP,4,0.9944425680331527,0.00226979763516098,211
58,ck4_p,CK4+P,4,0.9714684897798871,0.0061673442406222825,147
58,ck4_p_msp,CK4P-MSP,4,0.9923580282137102,0.00416925845421765,222
58,msp,MSP,4,0.9707933149711799,0.03818405790825283,75
58,p,P,4,0.618104663200478,0.034649032652626796,11
58,p_msp,P+MSP,4,0.976344824115811,0.021871751604021716,86
59,ck4,CK4,4,0.9693809767167089,0.006835103513659377,136
59,ck4_msp,CK4+MSP,4,0.9826083690002335,0.010005845359800295,211
59,ck4_p,CK4+P,4,0.9673029349672513,0.0034840840722617037,147
59,ck4_p_msp,CK4P-MSP,4,0.9833174944854784,0.008793846770250576,222
59,msp,MSP,4,0.9721581826692142,0.02149083273692142,75
59,p,P,4,0.6127704038958716,0.046206969317511226,11
59,p_msp,P+MSP,4,0.9707881704555841,0.023470602659412056,86
60,ck4,CK4,4,0.9756728504892821,0.006173220482978697,136
60,ck4_msp,CK4+MSP,4,0.9895764932624901,0.006571488743164763,211
60,ck4_p,CK4+P,4,0.9798395009634069,0.007999745096350826,147
60,ck4_p_msp,CK4P-MSP,4,0.9909672622927495,0.004169616268857625,222
60,msp,MSP,4,0.9652283699026067,0.043737208569772035,75
60,p,P,4,0.6229154024531166,0.03151595192443246,11
60,p_msp,P+MSP,4,0.9742731598763885,0.02931079522450244,86
61,ck4,CK4,4,0.9631217874774389,0.004754738199262979,136
61,ck4_msp,CK4+MSP,4,0.9916626452532298,0.006419027803329208,211
61,ck4_p,CK4+P,4,0.965910290770859,0.006185033117326116,147
61,ck4_p_msp,CK4P-MSP,4,0.9916626452532298,0.006419027803329208,222
61,msp,MSP,4,0.9686774081002835,0.03622565424962465,75
61,p,P,4,0.6344521397858788,0.02051098593382256,11
61,p_msp,P+MSP,4,0.9742457203693905,0.030900315746690016,86
62,ck4,CK4,4,0.9707871279107685,0.008358567724942223,136
62,ck4_msp,CK4+MSP,4,0.9888811103020096,0.007867366137955592,211
62,ck4_p,CK4+P,4,0.9714806201333542,0.0065840907439375165,147
62,ck4_p_msp,CK4P-MSP,4,0.9916626452532299,0.00393216305339708,222
62,msp,MSP,4,0.9721671220658593,0.0363088316199683,75
62,p,P,4,0.6170510618420921,0.02174415415605652,11
62,p_msp,P+MSP,4,0.9763568839167034,0.029319393309857576,86
63,ck4,CK4,4,0.9714843810368753,0.007331120067913608,136
63,ck4_msp,CK4+MSP,4,0.9958317248921146,0.005321466302462662,211
63,ck4_p,CK4+P,4,0.9728792102109503,0.008907716161277317,147
63,ck4_p_msp,CK4P-MSP,4,0.9951371464626336,0.006566374651059551,222
63,msp,MSP,4,0.9784326008291058,0.02712812815862119,75
63,p,P,4,0.6086998678222816,0.05707880040090218,11
63,p_msp,P+MSP,4,0.9805397297909441,0.024968255467663646,86
64,ck4,CK4,4,0.9652278426948453,0.0015983217898121553,136
64,ck4_msp,CK4+MSP,4,0.9867893110225123,0.01189216825940372,211
64,ck4_p,CK4+P,4,0.9708000490894123,0.0015932261016179906,147
64,ck4_p_msp,CK4P-MSP,4,0.9839988794135845,0.01598411166869904,222
64,msp,MSP,4,0.9652115075609953,0.043908186100148516,75
64,p,P,4,0.6181669242697305,0.024908404362890706,11
64,p_msp,P+MSP,4,0.9665835802164263,0.037581893193151125,86
65,ck4,CK4,4,0.9679684914119288,0.00809944288307514,136
65,ck4_msp,CK4+MSP,4,0.9895751490612659,0.007984929675156252,211
