split,classifier,accuracy,macro_f1,length,local_mode,representation,representation_label,n_triplets,n_features,accuracy_std,macro_f1_std
holdout,logistic,0.975,0.9749843652282677,50,center,ck4,CK4,180,136,,
5fold_grouped_cv,logistic,0.9555555555555555,0.9554003157099131,50,center,ck4,CK4,180,136,0.022222222222222233,0.022440219176947777
holdout,logistic,0.5916666666666667,0.5893567986591242,50,center,p,P,180,11,,
5fold_grouped_cv,logistic,0.5916666666666666,0.5894740269011766,50,center,p,P,180,11,0.046976484792466015,0.048588943494196186
holdout,logistic,0.9833333333333333,0.9833287024173382,50,center,msp,MSP,180,75,,
5fold_grouped_cv,logistic,0.9777777777777779,0.9777541690754283,50,center,msp,MSP,180,75,0.01416394309331329,0.014186894319585907
holdout,logistic,0.9833333333333333,0.9833287024173382,50,center,ck4_p,CK4+P,180,147,,
5fold_grouped_cv,logistic,0.9555555555555557,0.9554631474036018,50,center,ck4_p,CK4+P,180,147,0.01619708859679253,0.0162467433411861
holdout,logistic,0.9833333333333333,0.9833287024173382,50,center,ck4_msp,CK4+MSP,180,211,,
5fold_grouped_cv,logistic,0.9833333333333334,0.9833236814444609,50,center,ck4_msp,CK4+MSP,180,211,0.010393492741038736,0.010402379395098641
holdout,logistic,0.975,0.9749843652282677,50,center,p_msp,P+MSP,180,86,,
5fold_grouped_cv,logistic,0.975,0.9749694066723149,50,center,p_msp,P+MSP,180,86,0.013608276348795441,0.013642463420249237
holdout,logistic,0.9833333333333333,0.9833287024173382,50,center,ck4_p_msp,CK4P-MSP,180,222,,
5fold_grouped_cv,logistic,0.9833333333333334,0.9833236814444609,50,center,ck4_p_msp,CK4P-MSP,180,222,0.010393492741038736,0.010402379395098641
holdout,logistic,0.925,0.9248695652173913,50,jittered,ck4,CK4,180,136,,
5fold_grouped_cv,logistic,0.9416666666666667,0.9414915622359423,50,jittered,ck4,CK4,180,136,0.01842569327975222,0.018593693278916905
holdout,logistic,0.675,0.6738903212319699,50,jittered,p,P,180,11,,
5fold_grouped_cv,logistic,0.6166666666666667,0.6163403652099304,50,jittered,p,P,180,11,0.033564016593318244,0.03360922568990346
holdout,logistic,0.9,0.899972214504029,50,jittered,msp,MSP,180,75,,
5fold_grouped_cv,logistic,0.925,0.9248143402655427,50,jittered,msp,MSP,180,75,0.01416394309331329,0.01428083114363623
holdout,logistic,0.9166666666666666,0.9164578111946533,50,jittered,ck4_p,CK4+P,180,147,,
5fold_grouped_cv,logistic,0.9388888888888889,0.9387218533937893,50,jittered,ck4_p,CK4+P,180,147,0.025760051376376984,0.025864858005292587
holdout,logistic,0.975,0.9749843652282677,50,jittered,ck4_msp,CK4+MSP,180,211,,
5fold_grouped_cv,logistic,0.9833333333333332,0.9833204633204634,50,jittered,ck4_msp,CK4+MSP,180,211,0.013608276348795441,0.013618784670300312
